CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,67.6666666666667,56,-1,-1,-1
-1,-1,119,56,-1,-1,-1
-1,-1,1764,210,-1,-1,-1
-1,-1,196,196,-1,-1,-1
-1,-1,56,56,-1,-1,-1
-1,-1,0,0,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,0,0,-1,-1,-1
-1,-1,0,0,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,0,0,-1,-1,-1
-1,-1,14,14,-1,-1,-1
-1,-1,14,14,-1,-1,-1
-1,-1,14,14,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
