CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,26.6666666666667,14,-1,-1,-1
-1,-1,14.5384615384615,0,-1,-1,-1
-1,-1,99.8148148148148,14,-1,-1,-1
-1,-1,43.0769230769231,0,-1,-1,-1
-1,-1,120.931034482759,14,-1,-1,-1
-1,-1,247.5,17.5,-1,-1,-1
-1,-1,80.5,21,-1,-1,-1
-1,-1,67.3076923076923,14,-1,-1,-1
-1,-1,54.962962962963,28,-1,-1,-1
-1,-1,56.6666666666667,14,-1,-1,-1
-1,-1,86.1304347826087,28,-1,-1,-1
-1,-1,181.391304347826,42,-1,-1,-1
-1,-1,96.0909090909091,28,-1,-1,-1
-1,-1,310.578947368421,70,-1,-1,-1
-1,-1,653.333333333333,105,-1,-1,-1
-1,-1,9074.33333333333,3976,-1,-1,-1
-1,-1,1020,1008,-1,-1,-1
-1,-1,1838.66666666667,938,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
