CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,37.3333333333333,14,-1,-1,-1
-1,-1,42,28,-1,-1,-1
-1,-1,88.6666666666667,28,-1,-1,-1
-1,-1,21,14,-1,-1,-1
-1,-1,9.33333333333333,14,-1,-1,-1
-1,-1,45.5,14,-1,-1,-1
-1,-1,17.5,14,-1,-1,-1
-1,-1,56,7,-1,-1,-1
-1,-1,39.2,56,-1,-1,-1
-1,-1,19.6,28,-1,-1,-1
-1,-1,22.1666666666667,21,-1,-1,-1
-1,-1,14,7,-1,-1,-1
-1,-1,22.4,28,-1,-1,-1
-1,-1,17.5,21,-1,-1,-1
-1,-1,18.6666666666667,28,-1,-1,-1
-1,-1,11.6666666666667,14,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
