CF1,f11,MAE1,MAE2,pred,date,countries
-1,-1,250.25,238,-1,-1,-1
-1,-1,1106,1092,-1,-1,-1
-1,-1,49,42,-1,-1,-1
-1,-1,65.3333333333333,56,-1,-1,-1
-1,-1,34.2222222222222,28,-1,-1,-1
-1,-1,65.3333333333333,42,-1,-1,-1
-1,-1,1291.11111111111,259,-1,-1,-1
-1,-1,106.75,49,-1,-1,-1
-1,-1,614.25,56,-1,-1,-1
-1,-1,168,42,-1,-1,-1
-1,-1,76.2222222222222,42,-1,-1,-1
-1,-1,36.4,28,-1,-1,-1
-1,-1,37.3333333333333,21,-1,-1,-1
-1,-1,28,28,-1,-1,-1
-1,-1,35,35,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
-1,-1,NaN,NaN,-1,-1,-1
