CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  4]
 [ 1  5]]",0.8176100850105286,98.0,84.0,"[7.988411903381348, 19.4894962310791, 7.988411903381348, 9.160265922546387, 8.77116584777832]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,86.80000305175781,84.0,"[5.939177513122559, 12.818642616271973, 5.939177513122559, 5.982034683227539, 5.783230781555176]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,70.0,56.0,"[7.249345779418945, 15.780851364135742, 7.249345779418945, 7.767119407653809, 7.736900329589844]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,56.0,42.0,"[10.129714012145996, 15.316887855529785, 10.129714012145996, 9.553204536437988, 9.109464645385742]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,44.79999923706055,42.0,"[10.980923652648926, 13.977709770202637, 10.980923652648926, 11.418196678161621, 11.07629108428955]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,25.200000762939453,28.0,"[15.072553634643555, 11.04957103729248, 15.072553634643555, 13.97763729095459, 13.254292488098145]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,16.799999237060547,14.0,"[16.563697814941406, 8.995731353759766, 16.563697814941406, 15.750051498413086, 14.902361869812012]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,14.0,14.0,"[7.760810852050781, 17.699913024902344, 16.689849853515625]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,14.0,14.0,[19.121206283569336],2021-03-29T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,0.0,0.0,[19.570695877075195],2021-04-12T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,14.0,14.0,[19.137649536132812],2021-04-26T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,-1,-1,"[[0.9426769614219666], [0.06391549110412598], [0.06290525197982788], [0.06517770886421204], [0.06290525197982788], [0.05826978012919426], [0.0637088194489479], [0.06391550600528717], [0.9448354244232178], [0.05826978012919426], [0.06477886438369751], [0.06391549110412598], [0.4687366187572479], [0.9426769614219666], [0.07387527078390121], [0.9311721920967102], [0.8584019541740417], [0.06139655411243439], [0.06241479143500328], [0.058976754546165466], [0.06391549110412598], [0.8462934494018555], [0.06644109636545181], [0.06391549110412598], [0.06753525137901306], [0.06712033599615097], [0.06616281718015671], [0.06847930699586868], [0.06391549110412598], [0.06293188035488129], [0.06391549110412598], [0.06290525197982788], [0.06391549110412598], [0.06391549110412598], [0.06802400201559067], [0.06426551938056946], [0.06290525197982788], [0.06391550600528717], [0.06489530950784683], [0.06391549110412598], [0.06625162810087204], [0.06290525197982788], [0.06674528867006302], [0.06391550600528717], [0.06604404747486115], [0.05915195122361183], [0.06873010098934174], [0.06391549110412598], [0.06391549110412598], [0.06754572689533234], [0.0575878843665123], [0.0576292909681797], [0.06391549110412598], [0.06391549110412598], [0.06644109636545181], [0.0575878843665123], [0.9042373299598694], [0.06425191462039948], [0.9336507320404053], [0.05826978012919426], [0.06775020807981491], [0.06290525197982788], [0.06559773534536362], [0.06244894489645958], [0.06391549110412598], [0.06290525197982788], [0.06391549110412598], [0.06139655411243439], [0.06323187798261642], [0.06316293776035309], [0.06391550600528717], [0.06391549110412598], [0.06331587582826614], [0.05826978012919426], [0.7983012199401855], [0.06405186653137207], [0.061092354357242584], [0.05658397823572159], [0.06284105777740479], [0.06391549110412598], [0.06477886438369751], [0.06391549110412598], [0.06559773534536362], [0.06702810525894165], [0.06290525197982788], [0.06331586092710495], [0.06200637295842171]]",2021-05-10T00:00:00.000000000,[]
