CF1,f11,MAE1,MAE2,pred,date,countries
"[[75  2]
 [ 9  1]]",0.5427615642547607,88.19999694824219,98.0,"[1.9112727642059326, 1.786428689956665, 2.215216636657715, 7.90802526473999, 2.4451098442077637, 2.0070693492889404, 2.1635043621063232, 1.8585076332092285, 1.9051344394683838, 2.3646786212921143]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'India', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,80.88888549804688,84.0,"[10.03889274597168, 12.04292106628418, 13.998558044433594, 15.916181564331055, 16.340404510498047, 11.179649353027344, 11.162458419799805, 12.085548400878906, 9.794193267822266]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,66.88888549804688,70.0,"[9.313074111938477, 12.420004844665527, 10.637618064880371, 15.532041549682617, 17.2016544342041, 10.005119323730469, 11.022503852844238, 12.142230987548828, 9.105833053588867]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,56.0,56.0,"[7.56156587600708, 9.899263381958008, 8.50987720489502, 11.992634773254395, 13.36268138885498, 7.987233638763428, 8.844034194946289, 9.659751892089844, 7.418201446533203]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,38.88888931274414,42.0,"[10.347289085388184, 13.833463668823242, 8.73737621307373, 16.80950927734375, 18.916908264160156, 10.929365158081055, 12.259052276611328, 13.457307815551758, 10.141938209533691]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,36.0,28.0,"[10.256025314331055, 13.65118408203125, 8.328714370727539, 16.374807357788086, 18.509973526000977, 13.260822296142578, 10.066642761230469]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,24.0,28.0,"[8.261323928833008, 10.434560775756836, 6.559682369232178, 12.123701095581055, 13.516119003295898, 10.177229881286621, 8.143394470214844]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,14.0,0.0,"[10.947980880737305, 14.06591796875, 7.967921257019043, 16.535411834716797, 18.514667510986328, 13.70315933227539]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,14.0,14.0,"[10.699673652648926, 13.424225807189941, 7.67390251159668, 15.595511436462402]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,7.0,0.0,"[9.10324764251709, 6.949554443359375]",2022-10-24T00:00:00.000000000,"['Australia', 'Georgia']"
"[[73  4]
 [ 3  7]]",0.8104575276374817,0.0,0.0,[7.8844075202941895],2022-11-07T00:00:00.000000000,['Georgia']
"[[73  4]
 [ 3  7]]",0.8104575276374817,-1,-1,"[[0.1397874504327774], [0.14331740140914917], [0.75443434715271], [0.1376008689403534], [0.13824328780174255], [0.1260601282119751], [0.14428219199180603], [0.14331740140914917], [0.13455623388290405], [0.556139349937439], [0.1885892152786255], [0.8430934548377991], [0.13296598196029663], [0.1397874504327774], [0.1701938360929489], [0.13741955161094666], [0.13824328780174255], [0.13363495469093323], [0.13560417294502258], [0.1280040740966797], [0.14331740140914917], [0.1329193115234375], [0.13216914236545563], [0.14331740140914917], [0.12768644094467163], [0.12936294078826904], [0.28817376494407654], [0.12397526949644089], [0.14331740140914917], [0.17486177384853363], [0.14331740140914917], [0.13824328780174255], [0.14331740140914917], [0.14331740140914917], [0.14710772037506104], [0.6295453906059265], [0.13824328780174255], [0.14331740140914917], [0.1388540267944336], [0.14331740140914917], [0.13296598196029663], [0.13824328780174255], [0.1309029459953308], [0.14331740140914917], [0.1338459700345993], [0.12848633527755737], [0.7817731499671936], [0.14331740140914917], [0.944187581539154], [0.12764447927474976], [0.12893272936344147], [0.12430201470851898], [0.14331740140914917], [0.14331740140914917], [0.13216917216777802], [0.12893272936344147], [0.1433286964893341], [0.7295225858688354], [0.13741955161094666], [0.556139349937439], [0.12682890892028809], [0.13824328780174255], [0.1357637196779251], [0.13567006587982178], [0.14331740140914917], [0.13824328780174255], [0.14331740140914917], [0.5033880472183228], [0.1410239338874817], [0.1404343694448471], [0.14331740140914917], [0.14331740140914917], [0.14174439013004303], [0.1260601282119751], [0.12944325804710388], [0.14268527925014496], [0.13304546475410461], [0.12716028094291687], [0.8357716202735901], [0.14331740140914917], [0.25110378861427307], [0.14331738650798798], [0.1357637196779251], [0.12973946332931519], [0.13824327290058136], [0.14174440503120422], [0.71088707447052]]",2022-11-21T00:00:00.000000000,[]
