CF1,f11,MAE1,MAE2,pred,date,countries
"[[71  3]
 [11  2]]",0.5662392973899841,134.61538696289062,154.0,"[2.1390368938446045, 5.1274824142456055, 1.9304606914520264, 2.312045097351074, 8.07048225402832, 1.9304606914520264, 2.2352612018585205, 2.0240368843078613, 1.8789184093475342, 2.0240368843078613, 1.968662977218628, 2.036562919616699, 2.0240368843078613]",2023-01-02T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'India', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[62 12]
 [ 1 12]]",0.776879072189331,127.16666412353516,140.0,"[7.994076251983643, 9.971538543701172, 9.174396514892578, 10.446371078491211, 9.999104499816895, 14.185039520263672, 15.164291381835938, 7.405488014221191, 15.164291381835938, 9.226691246032715, 7.853442192077637, 15.164291381835938]",2023-01-16T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[68  6]
 [ 2 11]]",0.8388888835906982,114.33333587646484,126.0,"[7.719785690307617, 9.902416229248047, 9.014984130859375, 10.007804870605469, 9.83858585357666, 13.875295639038086, 14.926755905151367, 7.289620399475098, 14.926755905151367, 9.038589477539062, 7.622339248657227, 14.926755905151367]",2023-01-30T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[68  6]
 [ 2 11]]",0.8388888835906982,103.83333587646484,112.0,"[8.352253913879395, 9.697547912597656, 9.022306442260742, 10.049659729003906, 9.661852836608887, 13.57201862335205, 13.778313636779785, 7.666084289550781, 13.778313636779785, 9.051342010498047, 7.965941429138184, 13.778313636779785]",2023-02-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 2 11]]",0.8551723957061768,89.83333587646484,98.0,"[8.228622436523438, 9.790079116821289, 9.175061225891113, 9.816672325134277, 9.739142417907715, 11.331619262695312, 13.218464851379395, 7.994663715362549, 13.218464851379395, 9.18896770477295, 8.210838317871094, 13.218464851379395]",2023-02-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 3 10]]",0.8465608358383179,84.0,84.0,"[7.936271667480469, 8.218018531799316, 8.604260444641113, 8.870253562927246, 8.95451831817627, 9.18974781036377, 11.083673477172852, 11.083673477172852, 8.600128173828125, 7.970081329345703, 11.083673477172852]",2023-03-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 3 10]]",0.8465608358383179,66.18181610107422,70.0,"[10.194151878356934, 10.633325576782227, 11.087373733520508, 11.317014694213867, 11.511775970458984, 10.143540382385254, 14.069873809814453, 14.069873809814453, 11.075888633728027, 10.280481338500977, 14.069873809814453]",2023-03-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 3 10]]",0.8465608358383179,56.0,56.0,"[9.292318344116211, 9.602300643920898, 9.894159317016602, 10.032472610473633, 10.181645393371582, 8.407958984375, 11.854764938354492, 11.854764938354492, 9.882884979248047, 9.351741790771484, 11.854764938354492]",2023-04-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 2 11]]",0.8551723957061768,47.599998474121094,42.0,"[8.655982971191406, 9.09564208984375, 9.437085151672363, 9.524910926818848, 9.775827407836914, 8.090141296386719, 11.70873737335205, 9.412557601928711, 8.740394592285156, 11.70873737335205]",2023-04-24T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 3 10]]",0.8465608358383179,33.599998474121094,28.0,"[10.16541862487793, 10.508899688720703, 10.884761810302734, 11.095296859741211, 11.24296760559082, 8.622222900390625, 13.090749740600586, 10.87453842163086, 10.219532012939453, 13.090749740600586]",2023-05-08T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 2 11]]",0.8723092079162598,19.600000381469727,14.0,"[9.450121879577637, 9.912588119506836, 10.274212837219238, 10.353169441223145, 10.615853309631348, 8.63664436340332, 12.666535377502441, 10.251457214355469, 9.542281150817871, 12.666535377502441]",2023-05-22T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
