CF1,f11,MAE1,MAE2,pred,date,countries
"[[46  5]
 [33  3]]",0.42202797532081604,109.86111450195312,119.0,"[2.201159715652466, 2.454557180404663, 2.201159715652466, 0.4773966073989868, 2.291724681854248, 2.3148443698883057, 2.5714592933654785, 2.1385412216186523, 2.3148443698883057, 2.7089035511016846, 2.664743423461914, 2.808450698852539, 0.06668567657470703, 2.3538427352905273, 2.201159715652466, 2.4235188961029053, 2.201159715652466, 2.077563762664795, 2.7100160121917725, 2.034951686859131, 2.5919039249420166, 2.201159715652466, 2.50049090385437, 2.3148443698883057, 2.3148443698883057, 2.1385412216186523, 2.230318546295166, 2.3148443698883057, 2.2475709915161133, 2.3300621509552, 2.1304001808166504, 2.1938748359680176, 2.4106850624084473, 2.3148443698883057, 2.2475709915161133, 2.0938825607299805]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[46  5]
 [26 10]]",0.5700621604919434,71.16666412353516,63.0,"[33.80477523803711, 5.274033546447754, 33.80477523803711, 29.362239837646484, 4.9255852699279785, 4.9750590324401855, 5.524194240570068, 4.597785949707031, 74.80319213867188, 5.822214603424072, 5.725492477416992, 6.040249824523926, 6.691173553466797, 28.397586822509766, 4.731783866882324, 5.207613945007324, 4.731783866882324, 4.46729850769043, 5.824651718139648, 4.376112461090088, 5.567943572998047, 4.731783866882324, 29.13338851928711, 4.975059509277344, 74.80319213867188, 22.02347755432129, 4.7941813468933105, 74.80319213867188, 4.831099987030029, 5.007624626159668, 4.580364227294922, 8.564302444458008, 5.180150032043457, 4.975059509277344, 4.831099987030029, 2.7739617824554443]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[32 19]
 [ 2 34]]",0.7584930658340454,42.599998474121094,35.0,"[51.525943756103516, 57.67861557006836, 69.75093841552734, 50.22746658325195, 83.10144805908203, 49.19712448120117, -28.39238166809082, 35.80026626586914, 90.01852416992188, 35.282230377197266, 99.38038635253906, 90.53813171386719, 54.773155212402344, 61.857540130615234, 76.64797973632812, 63.92649841308594, 7.814262866973877, 72.81815338134766, -13.23011589050293, 63.35415267944336, 37.89547348022461, 42.49662399291992, 73.18164825439453, 8.222174644470215, 90.01852416992188, 50.29288864135742, 41.437049865722656, 90.01852416992188, 57.758689880371094, 48.11079788208008, 66.96156311035156, 48.11677169799805, 32.47468566894531, 85.64314270019531, 40.7512321472168]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[32 19]
 [ 2 34]]",0.7584930658340454,38.70588302612305,21.0,"[64.77147674560547, 73.71908569335938, 87.66292572021484, 42.171024322509766, 104.26882934570312, 61.68306350708008, 146.3656463623047, 46.25358200073242, 113.3443374633789, 44.30419921875, 125.09603881835938, 113.8974838256836, 77.71415710449219, 96.16437530517578, 81.55042266845703, 9.646293640136719, 91.35587310791016, 119.94307708740234, 79.46930694580078, 47.553131103515625, 53.268699645996094, 91.93775939941406, 10.18723201751709, 113.3443374633789, 63.1590576171875, 53.6131477355957, 113.3443374633789, 72.4378433227539, 60.318355560302734, 84.90547180175781, 60.34951400756836, 40.69288635253906, 107.4620132446289, 47.87140655517578]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[38 13]
 [ 2 34]]",0.8272209763526917,35.411766052246094,28.0,"[69.94268798828125, 89.141357421875, 92.65205383300781, 67.88628387451172, 109.56690216064453, 67.38809204101562, -124.89849090576172, 72.23905944824219, 118.22132110595703, 51.25710678100586, 133.94850158691406, 122.65180969238281, 83.26727294921875, 101.25968933105469, 104.6321029663086, 15.357867240905762, 96.1247329711914, -83.05349731445312, 84.20697021484375, 54.14848709106445, 58.70520782470703, 97.8080062866211, 16.22269058227539, 118.22132110595703, 68.22784423828125, 80.2157211303711, 118.22132110595703, 77.85881805419922, 66.07913970947266, 96.03474426269531, 65.6850357055664, 46.84767532348633, 112.60440063476562, 56.39316940307617]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[36 15]
 [ 2 34]]",0.8044943809509277,33.97058868408203,21.0,"[54.2703971862793, 58.24087142944336, 70.47611236572266, 30.15282440185547, 82.55404663085938, 52.49180221557617, 113.39415740966797, 33.175926208496094, 89.09864807128906, 41.8629264831543, 97.76606750488281, 90.58545684814453, 63.99687957763672, 76.48048400878906, 60.580718994140625, 15.517826080322266, 72.61764526367188, 95.20287322998047, 64.0445556640625, 43.67481231689453, 46.1130256652832, 74.61076354980469, 16.35167121887207, 89.09864807128906, 52.89086151123047, 38.652130126953125, 89.09864807128906, 59.855831146240234, 51.58214569091797, 66.09368896484375, 51.10064697265625, 37.98776626586914, 84.6507568359375, 40.624839782714844]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[36 15]
 [ 2 34]]",0.8044943809509277,29.696969985961914,28.0,"[56.805477142333984, 71.94992065429688, 73.94454956054688, 55.03291702270508, 86.90266418457031, 55.10136032104492, -175.39463806152344, 58.48576736450195, 93.30179595947266, 44.55276870727539, 105.80916595458984, 97.69502258300781, 67.08407592773438, 80.50921630859375, 83.32866668701172, 17.139738082885742, 76.46472930908203, -117.03523254394531, 67.4119644165039, 46.30079650878906, 48.47848892211914, 78.32778930664062, 18.095605850219727, 93.30179595947266, 55.45296096801758, 64.63031005859375, 93.30179595947266, 62.98173522949219, 54.14213562011719, 76.4577407836914, 53.785987854003906, 89.13471984863281, 46.79948043823242]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[40 11]
 [ 3 33]]",0.8380318880081177,48.787879943847656,49.0,"[72.22313690185547, 79.57237243652344, 94.52965545654297, 51.05144500732422, 110.96969604492188, 69.56301879882812, 153.09091186523438, 49.756839752197266, 120.13868713378906, 55.09684371948242, 132.0995635986328, 121.89977264404297, 85.4162368774414, 102.7161865234375, 85.748046875, 19.653053283691406, 97.54449462890625, 127.88838958740234, 85.79408264160156, 57.56864547729492, 60.91658020019531, 99.85446166992188, 20.752933502197266, 120.13868713378906, 70.36659240722656, 56.955326080322266, 120.13868713378906, 79.7784194946289, 68.29302215576172, 89.98184204101562, 67.80084991455078, 113.90766143798828, 55.69722366333008]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[37 14]
 [ 3 33]]",0.8041837811470032,27.53333282470703,21.0,"[56.59164047241211, 53.45682144165039, 73.19635772705078, 15.583045959472656, 78.40327453613281, 54.923301696777344, 27.724245071411133, 92.00494384765625, 45.90309524536133, 80.6323471069336, 84.58174133300781, 66.55995178222656, 26.795351028442383, 19.483556747436523, 67.40270233154297, -33.77400588989258, 66.81958770751953, 47.28688049316406, 48.41188430786133, 77.40276336669922, 20.52123260498047, 92.00494384765625, 55.26207733154297, 33.41634750366211, 92.00494384765625, 53.023738861083984, 53.988304138183594, 55.0301628112793, 53.500003814697266, 39.605716705322266]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[40 11]
 [ 3 33]]",0.8380318880081177,24.5,21.0,"[41.32841873168945, 44.21697235107422, 52.4233283996582, 30.628131866455078, 60.71399688720703, 40.1435432434082, 25.831619262695312, 65.25728607177734, 36.50625991821289, 71.3284683227539, 66.62847900390625, 48.056156158447266, 56.51258850097656, 19.448575973510742, 53.808929443359375, 69.57360076904297, 47.91917419433594, 36.811981201171875, 35.72213363647461, 55.393096923828125, 20.54581642150879, 65.25728607177734, 40.34542465209961, 29.779123306274414, 65.25728607177734, 45.153038024902344, 39.528038024902344, 49.41299057006836, 39.136192321777344, 33.07435989379883]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
