CF1,f11,MAE1,MAE2,pred,date,countries
"[[ 0 50]
 [ 0 37]]",0.2983871102333069,91.38888549804688,98.0,"[31.46071434020996, 25.039878845214844, 19.878664016723633, 57.36541748046875, 43.17171096801758, 37.45845413208008, 70.25194549560547, 53.64683532714844, 50.237850189208984, 57.365421295166016, 56.87282943725586, 57.365421295166016, 43.983192443847656, 48.41971206665039, 29.62644386291504, 24.922571182250977, 71.0887680053711, 66.50102996826172, 35.08002853393555, 39.823875427246094, 79.15948486328125, 31.077451705932617, 21.880413055419922, 48.41971206665039, 45.550113677978516, 43.65961837768555, 57.365421295166016, 37.4503288269043, 57.36541748046875, 49.20573806762695, 49.662376403808594, 42.944583892822266, 57.365421295166016, 61.71110916137695, 43.796546936035156, 49.20573806762695]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[23 27]
 [ 0 37]]",0.6814051270484924,64.94444274902344,56.0,"[41.36259078979492, 33.635005950927734, 31.393747329711914, 73.74308776855469, 56.171112060546875, 48.69335174560547, 90.2137680053711, 69.48783874511719, 65.39653778076172, 73.74309539794922, 73.00750732421875, 73.74309539794922, 57.12053680419922, 62.48111343383789, 39.20061111450195, 33.22085189819336, 91.16522979736328, 85.37100982666016, 45.73678970336914, 52.4532356262207, 101.30724334716797, 40.70671081542969, 32.8286018371582, 62.48111343383789, 59.2293701171875, 56.516170501708984, 73.74309539794922, 48.75398254394531, 73.74308776855469, 63.509788513183594, 64.16708374023438, 55.888275146484375, 73.74309539794922, 79.51984405517578, 56.724037170410156, 63.509788513183594]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[25 25]
 [ 0 37]]",0.7070707082748413,44.33333206176758,42.0,"[48.47040557861328, 40.324806213378906, 27.577096939086914, 84.25090789794922, 65.05475616455078, 56.35469055175781, 102.92255401611328, 80.06047821044922, 75.7612533569336, 84.25090789794922, 83.28229522705078, 84.25090789794922, 66.01948547363281, 71.70242309570312, 46.25148010253906, 39.513851165771484, 103.85102081298828, 97.37090301513672, 53.10903549194336, 61.559383392333984, 115.12779998779297, 47.51580047607422, 32.532676696777344, 71.70242309570312, 68.5450210571289, 65.091796875, 84.25090789794922, 56.51369857788086, 84.25090789794922, 72.89913940429688, 73.73789978027344, 64.74362182617188, 84.25090789794922, 91.08265686035156, 65.36918640136719, 72.89913940429688]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[26 24]
 [ 0 37]]",0.7196562886238098,26.44444465637207,28.0,"[65.22692108154297, 54.304908752441406, 41.15104293823242, 113.50738525390625, 87.64393615722656, 75.82752990722656, 138.78501892089844, 107.94309997558594, 102.18096923828125, 113.50739288330078, 112.17295837402344, 113.50739288330078, 88.93083190917969, 96.55677032470703, 62.26274490356445, 53.148441314697266, 140.01620483398438, 131.25860595703125, 71.4517593383789, 83.03535461425781, 155.25450134277344, 63.89836120605469, 45.4303092956543, 96.55677032470703, 92.37305450439453, 87.63331604003906, 113.50739288330078, 76.05828094482422, 113.50738525390625, 98.18212890625, 99.33370971679688, 87.22434997558594, 113.50739288330078, 122.80476379394531, 88.01600646972656, 98.18213653564453]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[28 22]
 [ 0 37]]",0.7443910241127014,22.799999237060547,14.0,"[50.53460693359375, 42.96604537963867, 38.2314338684082, 85.6625747680664, 43.39371109008789, 58.039520263671875, 104.50572967529297, 82.1043472290039, 78.12450408935547, 85.6625747680664, 84.54276275634766, 85.6625747680664, 67.91150665283203, 73.2295913696289, 48.54130935668945, 41.78542709350586, 105.2840347290039, 98.83777618408203, 54.876441955566406, 64.29167175292969, 116.43144989013672, 49.34739685058594, 39.17807388305664, 73.2295913696289, 70.60356903076172, 60.6617431640625, 85.6625747680664, 58.29580307006836, 85.6625747680664, 74.46958923339844, 75.41511535644531, 85.6625747680664, 92.85680389404297, 67.04252624511719, 74.46958923339844]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[28 22]
 [ 0 37]]",0.7443910241127014,34.400001525878906,42.0,"[72.19276428222656, 60.80247497558594, 54.76606369018555, 124.10505676269531, 66.74015808105469, 83.44084167480469, 151.61109924316406, 118.48213195800781, 112.4508056640625, 124.10505676269531, 122.56217956542969, 124.10505676269531, 97.77442932128906, 105.80723571777344, 69.12355041503906, 59.233497619628906, 152.84970092773438, 143.3795928955078, 78.75071716308594, 91.99723815917969, 169.2722930908203, 70.6048583984375, 57.51581954956055, 105.80723571777344, 101.61097717285156, 86.99566650390625, 124.10505676269531, 83.75276184082031, 124.10505676269531, 107.59648132324219, 108.91267395019531, 124.10505676269531, 134.41275024414062, 96.64366149902344, 107.59648132324219]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[28 22]
 [ 0 37]]",0.7443910241127014,24.0,28.0,"[53.634681701660156, 45.84153366088867, 39.99903106689453, 89.27767181396484, 46.32639694213867, 61.21088409423828, 108.61336517333984, 85.93989562988281, 81.78182983398438, 89.27767944335938, 88.05630493164062, 89.27767944335938, 71.38998413085938, 76.63677215576172, 51.53815841674805, 44.66416931152344, 109.33161926269531, 102.76422882080078, 58.03858184814453, 67.53265380859375, 120.6522216796875, 52.45538330078125, 41.8409423828125, 76.63677215576172, 74.15194702148438, 62.57762145996094, 89.27767944335938, 61.517127990722656, 89.27767181396484, 77.92558288574219, 78.94584655761719, 89.27767944335938, 96.81094360351562, 70.39122772216797, 77.92558288574219]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,42.0,42.0,"[57.56855773925781, 37.768341064453125, 110.11697387695312, 40.66681671142578, 76.1385726928711, 133.36190795898438, 105.79364013671875, 100.91290283203125, 110.11698913574219, 108.70687866210938, 110.11698913574219, 24.95853042602539, 94.82382202148438, 64.44110107421875, 56.11037826538086, 134.29347229003906, 126.3590087890625, 72.23945617675781, 51.83442306518555, 148.00010681152344, 65.42401123046875, 43.65214538574219, 94.82382202148438, 91.62301635742188, 74.28579711914062, 110.11698913574219, 110.11697387695312, 96.36013793945312, 97.54301452636719, 110.11698913574219, 119.01758575439453, 87.2221908569336, 96.36013793945312]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,30.1875,28.0,"[42.136112213134766, 41.43204879760742, 87.24337005615234, 54.51569747924805, 52.55430603027344, 9.737730026245117, 72.21310424804688, 63.37779998779297, 87.24337768554688, 86.32542419433594, 87.24337768554688, 37.38148498535156, 53.55980682373047, 51.72907257080078, 45.419403076171875, 9.198779106140137, 9.073312759399414, 49.52075958251953, 52.04800033569336, 116.39813232421875, 46.10716247558594, 38.34857940673828, 75.50287628173828, 25.102632522583008, 56.70586013793945, 87.24337005615234, 73.04059600830078, 36.95962905883789, 87.24337768554688, 12.965869903564453, 47.477691650390625, 54.67724609375]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[30 20]
 [ 0 37]]",0.7686170339584351,22.399999618530273,14.0,"[35.153560638427734, 37.7910041809082, 25.223812103271484, 45.75959396362305, 44.00643539428711, -42.1988410949707, 51.7372932434082, 42.41123580932617, 72.74209594726562, 72.14998626708984, 72.74209594726562, 29.226512908935547, 43.70170593261719, 38.716644287109375, -43.214134216308594, -39.6772346496582, 41.49659729003906, 5.924262046813965, 95.65778350830078, 39.55556869506836, 32.54218673706055, 21.421123504638672, 9.511727333068848, 33.516231536865234, 25.223812103271484, 25.266620635986328, 6.880682468414307, 72.74209594726562, -27.79119110107422, 29.338985443115234]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
