CF1,f11,MAE1,MAE2,pred,date,countries
"[[51  0]
 [ 0 36]]",1.0,0,0,[],2021-01-04 00:00:00,[]
"[[51  0]
 [ 0 36]]",1.0,0,0,[],2021-02-01 00:00:00,[]
"[[51  0]
 [ 0 36]]",1.0,0,0,[],2021-02-08 00:00:00,[]
"[[51  0]
 [ 0 36]]",1.0,0,0,[],2021-02-15 00:00:00,[]
"[[51  0]
 [ 0 36]]",1.0,0,0,[],2021-02-22 00:00:00,[]
"[[51  0]
 [ 0 36]]",1.0,0,0,[],2021-03-01 00:00:00,[]
"[[51  0]
 [ 0 36]]",1.0,0,0,[],2021-03-08 00:00:00,[]
"[[51  0]
 [ 0 36]]",1.0,0,0,[],2021-03-15 00:00:00,[]
"[[51  0]
 [ 0 36]]",1.0,0,0,[],2021-03-22 00:00:00,[]
"[[51  0]
 [ 0 36]]",1.0,0,0,[],2021-03-29 00:00:00,[]
"[[51  0]
 [ 0 36]]",1.0,0,0,[],2021-04-05 00:00:00,[]
"[[51  0]
 [ 0 36]]",1.0,0,0,[],2021-04-12 00:00:00,[]
"[[51  0]
 [ 0 36]]",1.0,0,0,[],2021-04-19 00:00:00,[]
"[[51  0]
 [ 0 36]]",1.0,0,0,[],2021-04-26 00:00:00,[]
"[[51  0]
 [ 0 36]]",1.0,0,0,[],2021-05-03 00:00:00,[]
"[[51  0]
 [ 0 36]]",1.0,0,0,[],2021-05-10 00:00:00,[]
"[[51  0]
 [ 0 36]]",1.0,0,0,[],2021-05-17 00:00:00,[]
"[[51  0]
 [ 0 36]]",1.0,0,0,[],2021-05-24 00:00:00,[]
"[[51  0]
 [ 0 36]]",1.0,0,0,[],2021-05-31 00:00:00,[]
"[[51  0]
 [ 0 36]]",1.0,0,0,[],2021-06-07 00:00:00,[]
"[[51  0]
 [ 0 36]]",1.0,0,0,[],2021-06-14 00:00:00,[]
0,0,-1,-1,[],2021-06-21 00:00:00,[]
