CF1,f11,MAE1,MAE2,pred,date,countries
0,0,109.86111111111111,119.0,[],2021-01-04 00:00:00,[]
0,0,69.22222222222223,77.0,[],2021-02-01 00:00:00,[]
0,0,45.0,28.0,[],2021-02-08 00:00:00,[]
0,0,37.05882352941177,21.0,[],2021-02-15 00:00:00,[]
0,0,39.11764705882353,28.0,[],2021-02-22 00:00:00,[]
0,0,37.6764705882353,21.0,[],2021-03-01 00:00:00,[]
0,0,59.39393939393939,56.0,[],2021-03-08 00:00:00,[]
0,0,32.666666666666664,21.0,[],2021-03-15 00:00:00,[]
0,0,26.133333333333333,14.0,[],2021-03-22 00:00:00,[]
0,0,36.63333333333333,35.0,[],2021-03-29 00:00:00,[]
0,0,34.06666666666667,38.5,[],2021-04-05 00:00:00,[]
0,0,43.93103448275862,42.0,[],2021-04-12 00:00:00,[]
0,0,28.807692307692307,28.0,[],2021-04-19 00:00:00,[]
0,0,35.28,35.0,[],2021-04-26 00:00:00,[]
0,0,48.3,35.0,[],2021-05-03 00:00:00,[]
0,0,46.2,49.0,[],2021-05-10 00:00:00,[]
0,0,30.0,31.5,[],2021-05-17 00:00:00,[]
0,0,18.083333333333332,10.5,[],2021-05-24 00:00:00,[]
0,0,47.09090909090909,49.0,[],2021-05-31 00:00:00,[]
0,0,19.833333333333332,7.0,[],2021-06-07 00:00:00,[]
0,0,35.0,49.0,[],2021-06-14 00:00:00,[]
0,0,-1,-1,[],2021-06-21 00:00:00,[]
