CF1,f11,MAE1,MAE2,pred,date,countries
0,0,119.38888888888889,126.0,[],2021-01-04 00:00:00,[]
0,0,91.38888888888889,98.0,[],2021-01-18 00:00:00,[]
0,0,29.166666666666668,28.0,[],2021-02-01 00:00:00,[]
0,0,51.72222222222222,56.0,[],2021-02-15 00:00:00,[]
0,0,18.0,14.0,[],2021-03-01 00:00:00,[]
0,0,39.6,42.0,[],2021-03-15 00:00:00,[]
0,0,12.8,14.0,[],2021-03-29 00:00:00,[]
0,0,28.848484848484848,28.0,[],2021-04-12 00:00:00,[]
0,0,16.1875,14.0,[],2021-04-26 00:00:00,[]
0,0,32.2,28.0,[],2021-05-10 00:00:00,[]
0,0,14.583333333333334,14.0,[],2021-05-24 00:00:00,[]
0,0,1.2727272727272727,0.0,[],2021-06-07 00:00:00,[]
0,0,-1,-1,[],2021-06-21 00:00:00,[]
