CF1,f11,MAE1,MAE2,pred,date,countries
0,0,92.4,98.0,[],2022-06-20 00:00:00,[]
0,0,70.0,70.0,[],2022-07-04 00:00:00,[]
0,0,70.0,70.0,[],2022-07-18 00:00:00,[]
0,0,23.333333333333332,14.0,[],2022-08-01 00:00:00,[]
0,0,17.11111111111111,14.0,[],2022-08-15 00:00:00,[]
0,0,14.0,14.0,[],2022-08-29 00:00:00,[]
0,0,24.0,28.0,[],2022-09-12 00:00:00,[]
0,0,21.0,21.0,[],2022-09-26 00:00:00,[]
0,0,10.5,7.0,[],2022-10-10 00:00:00,[]
0,0,0.0,0.0,[],2022-10-24 00:00:00,[]
0,0,56.0,56.0,[],2022-11-07 00:00:00,[]
0,0,-1,-1,[],2022-11-21 00:00:00,[]
