CF1,f11,MAE1,MAE2,pred,date,countries
0,0,109.47222222222223,119.0,[],2021-01-04 00:00:00,[]
0,0,80.5,91.0,[],2021-02-01 00:00:00,[]
0,0,67.8,70.0,[],2021-02-08 00:00:00,[]
0,0,71.6470588235294,77.0,[],2021-02-15 00:00:00,[]
0,0,66.70588235294117,70.0,[],2021-02-22 00:00:00,[]
0,0,53.3235294117647,56.0,[],2021-03-01 00:00:00,[]
0,0,43.696969696969695,35.0,[],2021-03-08 00:00:00,[]
0,0,44.121212121212125,49.0,[],2021-03-15 00:00:00,[]
0,0,41.53333333333333,28.0,[],2021-03-22 00:00:00,[]
0,0,38.5,35.0,[],2021-03-29 00:00:00,[]
0,0,35.0,28.0,[],2021-04-05 00:00:00,[]
0,0,28.0,35.0,[],2021-04-12 00:00:00,[]
0,0,32.03846153846154,35.0,[],2021-04-19 00:00:00,[]
0,0,22.4,21.0,[],2021-04-26 00:00:00,[]
0,0,26.6,28.0,[],2021-05-03 00:00:00,[]
0,0,23.8,10.5,[],2021-05-10 00:00:00,[]
0,0,17.0,10.5,[],2021-05-17 00:00:00,[]
0,0,29.75,10.5,[],2021-05-24 00:00:00,[]
0,0,16.545454545454547,21.0,[],2021-05-31 00:00:00,[]
0,0,33.833333333333336,21.0,[],2021-06-07 00:00:00,[]
0,0,35.0,21.0,[],2021-06-14 00:00:00,[]
0,0,-1,-1,[],2021-06-21 00:00:00,[]
