CF1,f11,MAE1,MAE2,pred,date,countries
0,0,135.69230769230768,154.0,[],2023-01-02 00:00:00,[]
0,0,115.5,126.0,[],2023-01-16 00:00:00,[]
0,0,85.16666666666667,98.0,[],2023-01-30 00:00:00,[]
0,0,14.0,14.0,[],2023-02-13 00:00:00,[]
0,0,28.0,28.0,[],2023-02-27 00:00:00,[]
0,0,28.0,28.0,[],2023-03-13 00:00:00,[]
0,0,42.0,42.0,[],2023-03-27 00:00:00,[]
0,0,42.0,42.0,[],2023-04-10 00:00:00,[]
0,0,56.0,56.0,[],2023-04-24 00:00:00,[]
0,0,51.8,56.0,[],2023-05-08 00:00:00,[]
0,0,53.2,70.0,[],2023-05-22 00:00:00,[]
0,0,31.5,21.0,[],2023-06-05 00:00:00,[]
0,0,36.4,14.0,[],2023-06-19 00:00:00,[]
0,0,0.0,0.0,[],2023-07-03 00:00:00,[]
0,0,-1,-1,[],2023-07-17 00:00:00,[]
