CF1,f11,MAE1,MAE2,pred,date,countries
0,0,111.80555555555556,119.0,[],2021-01-04 00:00:00,[]
0,0,79.33333333333333,91.0,[],2021-02-01 00:00:00,[]
0,0,67.0,70.0,[],2021-02-08 00:00:00,[]
0,0,63.0,63.0,[],2021-02-15 00:00:00,[]
0,0,59.705882352941174,63.0,[],2021-02-22 00:00:00,[]
0,0,52.088235294117645,56.0,[],2021-03-01 00:00:00,[]
0,0,54.303030303030305,56.0,[],2021-03-08 00:00:00,[]
0,0,44.54545454545455,49.0,[],2021-03-15 00:00:00,[]
0,0,48.06666666666667,52.5,[],2021-03-22 00:00:00,[]
0,0,36.63333333333333,35.0,[],2021-03-29 00:00:00,[]
0,0,34.53333333333333,38.5,[],2021-04-05 00:00:00,[]
0,0,26.06896551724138,21.0,[],2021-04-12 00:00:00,[]
0,0,31.5,28.0,[],2021-04-19 00:00:00,[]
0,0,29.68,28.0,[],2021-04-26 00:00:00,[]
0,0,28.0,21.0,[],2021-05-03 00:00:00,[]
0,0,30.8,21.0,[],2021-05-10 00:00:00,[]
0,0,10.0,7.0,[],2021-05-17 00:00:00,[]
0,0,19.25,7.0,[],2021-05-24 00:00:00,[]
0,0,16.545454545454547,7.0,[],2021-05-31 00:00:00,[]
0,0,19.833333333333332,7.0,[],2021-06-07 00:00:00,[]
0,0,49.0,7.0,[],2021-06-14 00:00:00,[]
0,0,-1,-1,[],2021-06-21 00:00:00,[]
