CF1,f11,MAE1,MAE2,pred,date,countries
0,0,57.94444444444444,42.0,[],2021-01-04 00:00:00,[]
0,0,108.11111111111111,112.0,[],2021-01-18 00:00:00,[]
0,0,14.0,14.0,[],2021-02-01 00:00:00,[]
0,0,75.44444444444444,84.0,[],2021-02-15 00:00:00,[]
0,0,42.0,42.0,[],2021-03-01 00:00:00,[]
0,0,51.2,56.0,[],2021-03-15 00:00:00,[]
0,0,29.2,28.0,[],2021-03-29 00:00:00,[]
0,0,20.78787878787879,14.0,[],2021-04-12 00:00:00,[]
0,0,31.5,28.0,[],2021-04-26 00:00:00,[]
0,0,24.266666666666666,14.0,[],2021-05-10 00:00:00,[]
0,0,21.583333333333332,14.0,[],2021-05-24 00:00:00,[]
0,0,1.2727272727272727,0.0,[],2021-06-07 00:00:00,[]
0,0,-1,-1,[],2021-06-21 00:00:00,[]
