CF1,f11,MAE1,MAE2,pred,date,countries
0,0,93.8,98.0,[],2022-06-20 00:00:00,[]
0,0,82.44444444444444,84.0,[],2022-07-04 00:00:00,[]
0,0,62.22222222222222,70.0,[],2022-07-18 00:00:00,[]
0,0,14.0,14.0,[],2022-08-01 00:00:00,[]
0,0,32.666666666666664,28.0,[],2022-08-15 00:00:00,[]
0,0,24.0,28.0,[],2022-08-29 00:00:00,[]
0,0,24.0,14.0,[],2022-09-12 00:00:00,[]
0,0,39.666666666666664,42.0,[],2022-09-26 00:00:00,[]
0,0,28.0,28.0,[],2022-10-10 00:00:00,[]
0,0,49.0,49.0,[],2022-10-24 00:00:00,[]
0,0,84.0,84.0,[],2022-11-07 00:00:00,[]
0,0,-1,-1,[],2022-11-21 00:00:00,[]
