CF1,f11,MAE1,MAE2,pred,date,countries
0,0,136.76923076923077,154.0,[],2023-01-02 00:00:00,[]
0,0,123.66666666666667,133.0,[],2023-01-16 00:00:00,[]
0,0,117.83333333333333,126.0,[],2023-01-30 00:00:00,[]
0,0,21.0,14.0,[],2023-02-13 00:00:00,[]
0,0,82.83333333333333,98.0,[],2023-02-27 00:00:00,[]
0,0,48.36363636363637,56.0,[],2023-03-13 00:00:00,[]
0,0,67.45454545454545,70.0,[],2023-03-27 00:00:00,[]
0,0,43.27272727272727,42.0,[],2023-04-10 00:00:00,[]
0,0,33.6,35.0,[],2023-04-24 00:00:00,[]
0,0,14.0,14.0,[],2023-05-08 00:00:00,[]
0,0,57.4,70.0,[],2023-05-22 00:00:00,[]
0,0,22.75,21.0,[],2023-06-05 00:00:00,[]
0,0,11.2,14.0,[],2023-06-19 00:00:00,[]
0,0,14.0,14.0,[],2023-07-03 00:00:00,[]
0,0,-1,-1,[],2023-07-17 00:00:00,[]
