CF1,f11,MAE1,MAE2,pred,date,countries
0,0,89.6,98.0,[],2022-06-20 00:00:00,[]
0,0,63.77777777777778,70.0,[],2022-07-04 00:00:00,[]
0,0,57.55555555555556,56.0,[],2022-07-18 00:00:00,[]
0,0,15.555555555555555,14.0,[],2022-08-01 00:00:00,[]
0,0,29.555555555555557,28.0,[],2022-08-15 00:00:00,[]
0,0,32.0,28.0,[],2022-08-29 00:00:00,[]
0,0,46.0,42.0,[],2022-09-12 00:00:00,[]
0,0,49.0,42.0,[],2022-09-26 00:00:00,[]
0,0,56.0,56.0,[],2022-10-10 00:00:00,[]
0,0,56.0,56.0,[],2022-10-24 00:00:00,[]
0,0,70.0,70.0,[],2022-11-07 00:00:00,[]
0,0,-1,-1,[],2022-11-21 00:00:00,[]
