CF1,f11,MAE1,MAE2,pred,date,countries
0,0,110.25,119.0,[],2021-01-04 00:00:00,[]
0,0,82.63888888888889,91.0,[],2021-02-01 00:00:00,[]
0,0,78.2,84.0,[],2021-02-08 00:00:00,[]
0,0,73.29411764705883,77.0,[],2021-02-15 00:00:00,[]
0,0,66.29411764705883,70.0,[],2021-02-22 00:00:00,[]
0,0,59.705882352941174,63.0,[],2021-03-01 00:00:00,[]
0,0,54.303030303030305,56.0,[],2021-03-08 00:00:00,[]
0,0,48.57575757575758,49.0,[],2021-03-15 00:00:00,[]
0,0,45.733333333333334,42.0,[],2021-03-22 00:00:00,[]
0,0,38.733333333333334,35.0,[],2021-03-29 00:00:00,[]
0,0,32.2,28.0,[],2021-04-05 00:00:00,[]
0,0,27.517241379310345,21.0,[],2021-04-12 00:00:00,[]
0,0,23.423076923076923,21.0,[],2021-04-19 00:00:00,[]
0,0,19.88,14.0,[],2021-04-26 00:00:00,[]
0,0,16.1,21.0,[],2021-05-03 00:00:00,[]
0,0,13.3,14.0,[],2021-05-10 00:00:00,[]
0,0,11.0,7.0,[],2021-05-17 00:00:00,[]
0,0,5.833333333333333,7.0,[],2021-05-24 00:00:00,[]
0,0,5.090909090909091,7.0,[],2021-05-31 00:00:00,[]
0,0,3.5,3.5,[],2021-06-07 00:00:00,[]
0,0,7.0,7.0,[],2021-06-14 00:00:00,[]
0,0,-1,-1,[],2021-06-21 00:00:00,[]
