CF1,f11,MAE1,MAE2,pred,date,countries
0,0,133.38888888888889,140.0,[],2021-01-04 00:00:00,[]
0,0,119.38888888888889,126.0,[],2021-01-18 00:00:00,[]
0,0,105.38888888888889,112.0,[],2021-02-01 00:00:00,[]
0,0,91.38888888888889,98.0,[],2021-02-15 00:00:00,[]
0,0,80.0,84.0,[],2021-03-01 00:00:00,[]
0,0,66.0,70.0,[],2021-03-15 00:00:00,[]
0,0,52.0,56.0,[],2021-03-29 00:00:00,[]
0,0,41.15151515151515,42.0,[],2021-04-12 00:00:00,[]
0,0,28.4375,28.0,[],2021-04-26 00:00:00,[]
0,0,16.333333333333332,14.0,[],2021-05-10 00:00:00,[]
0,0,6.416666666666667,0.0,[],2021-05-24 00:00:00,[]
0,0,0.0,0.0,[],2021-06-07 00:00:00,[]
0,0,-1,-1,[],2021-06-21 00:00:00,[]
