CF1,f11,MAE1,MAE2,pred,date,countries
0,0,105.38888888888889,112.0,[],2021-01-04 00:00:00,[]
0,0,64.94444444444444,70.0,[],2021-01-18 00:00:00,[]
0,0,40.05555555555556,42.0,[],2021-02-01 00:00:00,[]
0,0,29.166666666666668,28.0,[],2021-02-15 00:00:00,[]
0,0,18.0,14.0,[],2021-03-01 00:00:00,[]
0,0,18.0,14.0,[],2021-03-15 00:00:00,[]
0,0,12.8,14.0,[],2021-03-29 00:00:00,[]
0,0,14.848484848484848,14.0,[],2021-04-12 00:00:00,[]
0,0,24.9375,28.0,[],2021-04-26 00:00:00,[]
0,0,32.666666666666664,28.0,[],2021-05-10 00:00:00,[]
0,0,32.666666666666664,42.0,[],2021-05-24 00:00:00,[]
0,0,25.454545454545453,42.0,[],2021-06-07 00:00:00,[]
0,0,-1,-1,[],2021-06-21 00:00:00,[]
