CF1,f11,MAE1,MAE2,pred,date,countries
"[[74  0]
 [13  0]]",0.45962732919254656,0,0,[],2023-01-02 00:00:00,[]
"[[74  0]
 [13  0]]",0.45962732919254656,0,0,[],2023-01-16 00:00:00,[]
"[[74  0]
 [13  0]]",0.45962732919254656,0,0,[],2023-01-30 00:00:00,[]
"[[74  0]
 [13  0]]",0.45962732919254656,0,0,[],2023-02-13 00:00:00,[]
"[[74  0]
 [13  0]]",0.45962732919254656,0,0,[],2023-02-27 00:00:00,[]
"[[74  0]
 [13  0]]",0.45962732919254656,0,0,[],2023-03-13 00:00:00,[]
"[[74  0]
 [13  0]]",0.45962732919254656,0,0,[],2023-03-27 00:00:00,[]
"[[74  0]
 [13  0]]",0.45962732919254656,0,0,[],2023-04-10 00:00:00,[]
"[[74  0]
 [13  0]]",0.45962732919254656,0,0,[],2023-04-24 00:00:00,[]
"[[74  0]
 [13  0]]",0.45962732919254656,0,0,[],2023-05-08 00:00:00,[]
"[[74  0]
 [13  0]]",0.45962732919254656,0,0,[],2023-05-22 00:00:00,[]
"[[74  0]
 [13  0]]",0.45962732919254656,0,0,[],2023-06-05 00:00:00,[]
"[[74  0]
 [13  0]]",0.45962732919254656,0,0,[],2023-06-19 00:00:00,[]
"[[74  0]
 [13  0]]",0.45962732919254656,0,0,[],2023-07-03 00:00:00,[]
0,0,-1,-1,[],2023-07-17 00:00:00,[]
