CF1,f11,MAE1,MAE2,pred,date,countries
"[[64 17]
 [ 0  6]]",0.6482758522033691,89.5999984741211,84.0,"[16.250452041625977, 13.763697624206543, 17.410812377929688, 19.82845687866211, 20.21788787841797]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[76  5]
 [ 1  5]]",0.7935126423835754,64.4000015258789,56.0,"[27.00873374938965, 23.13251495361328, 29.193950653076172, 33.61137008666992, 34.35844421386719]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[81  0]
 [ 6  0]]",0.4821428656578064,58.79999923706055,56.0,"[19.245811462402344, 18.158973693847656, 20.754741668701172, 23.80694580078125, 24.549694061279297]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[81  0]
 [ 6  0]]",0.4821428656578064,30.799999237060547,28.0,"[29.147750854492188, 30.93878936767578, 31.18366813659668, 35.35076904296875, 36.89417266845703]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[81  0]
 [ 6  0]]",0.4821428656578064,11.199999809265137,0.0,"[38.91740036010742, 41.0345344543457, 41.66164016723633, 47.41299819946289, 49.37823486328125]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[81  0]
 [ 5  1]]",0.6278870701789856,25.200000762939453,28.0,"[53.38570785522461, 55.35031509399414, 57.339569091796875, 65.36610412597656, 68.01754760742188]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[78  3]
 [ 2  4]]",0.7921643853187561,30.799999237060547,42.0,"[50.02342224121094, 53.98439025878906, 53.34368896484375, 60.49407196044922, 63.03326416015625]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[80  1]
 [ 3  3]]",0.787804901599884,18.66666603088379,14.0,"[17.07868766784668, 18.342670440673828, 20.444316864013672]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Panama']"
"[[81  0]
 [ 3  3]]",0.8242424130439758,28.0,28.0,[4.899350166320801],2021-03-29T00:00:00.000000000,['Panama']
"[[78  3]
 [ 2  4]]",0.7921643853187561,14.0,14.0,[2.3455026149749756],2021-04-12T00:00:00.000000000,['Panama']
"[[81  0]
 [ 6  0]]",0.4821428656578064,14.0,14.0,[27.189346313476562],2021-04-26T00:00:00.000000000,['Panama']
"[[81  0]
 [ 5  1]]",0.6278870701789856,-1,-1,"[[0.18912449479103088], [0.09289148449897766], [0.037292495369911194], [0.041913967579603195], [0.024852801114320755], [0.023081839084625244], [0.043940700590610504], [0.02097116783261299], [0.1438782662153244], [0.01991443708539009], [0.031032610684633255], [0.01963222026824951], [0.11420605331659317], [0.21835710108280182], [0.048323627561330795], [0.4332655668258667], [0.2689439058303833], [0.03077298030257225], [0.03436828777194023], [0.04180503264069557], [0.1550857275724411], [0.29463207721710205], [0.029085936024785042], [0.023157499730587006], [0.037439845502376556], [0.08951548486948013], [0.02632802724838257], [0.07600808888673782], [0.03308085352182388], [0.038756076246500015], [0.04441859945654869], [0.18792550265789032], [0.04355669766664505], [0.034150075167417526], [0.03739358112215996], [0.023868389427661896], [0.038611672818660736], [0.038608063012361526], [0.06077065318822861], [0.08570177108049393], [0.04151582717895508], [0.03424794226884842], [0.03341056779026985], [0.027009759098291397], [0.030231937766075134], [0.03146374598145485], [0.033632516860961914], [0.021819481626152992], [0.026537686586380005], [0.16758620738983154], [0.0214280616492033], [0.111552394926548], [0.030406014993786812], [0.03633783385157585], [0.03782635182142258], [0.033584676682949066], [0.5444267988204956], [0.02022041752934456], [0.3960477113723755], [0.030339105054736137], [0.04068000242114067], [0.04163540527224541], [0.04872215539216995], [0.033525459468364716], [0.050664275884628296], [0.02509835548698902], [0.02156313881278038], [0.039722803980112076], [0.025007622316479683], [0.026787450537085533], [0.04133540764451027], [0.041922736912965775], [0.09517163783311844], [0.027513155713677406], [0.0802038386464119], [0.03740964084863663], [0.051049161702394485], [0.032319582998752594], [0.04127656668424606], [0.07620727270841599], [0.052747033536434174], [0.14375995099544525], [0.0228184312582016], [0.03566201776266098], [0.05541358143091202], [0.07784448564052582], [0.02559695951640606]]",2021-05-10T00:00:00.000000000,[]
