CF1,f11,MAE1,MAE2,pred,date,countries
"[[51  0]
 [36  0]]",0.3695652186870575,109.86111450195312,119.0,"[1.5794930458068848, 1.4469273090362549, 1.4140446186065674, 1.704235553741455, 1.396768569946289, 1.0688825845718384, 1.5434002876281738, 1.1128190755844116, 1.0445855855941772, 1.4141113758087158, 1.871075987815857, 1.8950660228729248, 2.3560197353363037, 1.4631879329681396, 1.1333084106445312, 1.7740641832351685, 1.4930062294006348, 1.0377033948898315, 1.0942894220352173, 1.6570910215377808, 1.2701284885406494, 1.158250093460083, 2.0302622318267822, 1.6624443531036377, 1.3796199560165405, 1.9339933395385742, 1.1287086009979248, 1.8154633045196533, 1.4358265399932861, 1.2865262031555176, 1.5157520771026611, 2.153358221054077, 1.9409849643707275, 1.5948221683502197, 1.9663825035095215, 1.4333305358886719]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [36  0]]",0.3695652186870575,68.05555725097656,63.0,"[38.022193908691406, 18.30101203918457, 21.371824264526367, 22.79360008239746, 18.16082763671875, 10.781949996948242, 21.103784561157227, 12.488372802734375, 31.64931297302246, 17.5310001373291, 25.382465362548828, 25.798828125, 27.113059997558594, 31.413829803466797, 13.695882797241211, 22.528865814208984, 20.870046615600586, 11.200063705444336, 14.263917922973633, 21.316438674926758, 15.018574714660645, 14.120308876037598, 28.681591033935547, 24.00598907470703, 20.518653869628906, 35.98593521118164, 12.218294143676758, 34.8960075378418, 18.500089645385742, 15.605449676513672, 20.116668701171875, 32.95386505126953, 23.481821060180664, 26.12599754333496, 25.296411514282227, 25.9204044342041]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[ 3 48]
 [ 0 36]]",0.35555556416511536,49.0,42.0,"[116.20557403564453, 131.6659393310547, 83.4949722290039, 90.66382598876953, 135.06991577148438, 67.8617172241211, 122.88119506835938, 95.43692779541016, 69.34864044189453, 124.2481918334961, 166.2444305419922, 163.34072875976562, 129.86813354492188, 103.20985412597656, 108.8017807006836, 151.71435546875, 101.7228775024414, 86.81803131103516, 79.0468521118164, 152.2859344482422, 117.90999603271484, 99.4513931274414, 143.79745483398438, 141.1302490234375, 70.26950073242188, 133.43959045410156, 77.42623138427734, 129.90411376953125, 140.551025390625, 115.05070495605469, 137.90330505371094, 144.8787841796875, 155.75119018554688, 166.31201171875, 97.08467864990234]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[ 0 51]
 [ 0 36]]",0.2926829159259796,35.411766052246094,28.0,"[83.78462219238281, 92.73888397216797, 57.42654800415039, 60.662784576416016, 95.55764770507812, 47.67399597167969, 93.92317199707031, 66.60040283203125, 52.86656188964844, 87.59783935546875, 119.32723999023438, 116.11100006103516, 72.25198364257812, 77.34933471679688, 106.79850769042969, 71.6459732055664, 61.49238967895508, 62.52839279174805, 111.36981964111328, 83.88601684570312, 71.52909851074219, 99.15518188476562, 98.62382507324219, 47.44792556762695, 91.67303466796875, 52.25155258178711, 90.61005401611328, 104.0061264038086, 81.51605224609375, 97.49322509765625, 99.28871154785156, 108.4795150756836, 118.35502624511719, 67.92240142822266]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[ 1 50]
 [ 0 36]]",0.31431272625923157,53.117645263671875,42.0,"[113.0752944946289, 131.69256591796875, 82.5843276977539, 89.1934814453125, 134.90322875976562, 66.45397186279297, 121.81645965576172, 98.06958770751953, 67.9953384399414, 124.7588882446289, 164.26400756835938, 161.5418243408203, 100.48868560791016, 109.47798919677734, 150.53369140625, 100.4866714477539, 88.06500244140625, 78.74787902832031, 151.03744506835938, 118.25169372558594, 100.3875961303711, 141.76535034179688, 140.5192108154297, 69.54521942138672, 131.56796264648438, 81.72370910644531, 128.2558135986328, 139.443115234375, 115.54907989501953, 137.5780029296875, 142.83200073242188, 154.3687744140625, 164.40052795410156, 95.3354263305664]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[ 6 45]
 [ 0 36]]",0.41295546293258667,47.97058868408203,35.0,"[105.4841537475586, 115.75434112548828, 72.18164825439453, 76.31623077392578, 119.52125549316406, 60.4241828918457, 118.05321502685547, 82.98051452636719, 66.9279556274414, 109.29378509521484, 149.39620971679688, 145.410888671875, 90.96170806884766, 96.57825469970703, 133.61672973632812, 90.47405242919922, 76.77379608154297, 79.151123046875, 139.7949676513672, 104.73229217529297, 89.39785766601562, 124.2524642944336, 123.39142608642578, 60.033512115478516, 114.90906524658203, 64.97763061523438, 113.46215057373047, 130.34230041503906, 101.69926452636719, 121.65454864501953, 124.33786010742188, 135.891357421875, 148.26565551757812, 85.38421630859375]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[ 7 44]
 [ 0 36]]",0.43103447556495667,33.09090805053711,28.0,"[74.6421890258789, 81.64476776123047, 52.95042037963867, 56.35718536376953, 83.475341796875, 45.05341720581055, 78.95757293701172, 61.364952087402344, 46.68907928466797, 77.36502075195312, 102.31700897216797, 100.12359619140625, 66.78006744384766, 68.58892822265625, 92.72197723388672, 64.43263244628906, 55.61949920654297, 52.834896087646484, 94.37052917480469, 73.93506622314453, 62.446571350097656, 88.08184814453125, 87.66525268554688, 46.934349060058594, 84.34937286376953, 52.041194915771484, 82.23192596435547, 87.28837585449219, 72.1623764038086, 84.93595886230469, 89.85330963134766, 101.8243179321289, 62.70530319213867]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[10 41]
 [ 2 34]]",0.46503645181655884,47.93939208984375,35.0,"[100.6105728149414, 104.72899627685547, 67.44152069091797, 70.95372772216797, 107.23035430908203, 57.61781692504883, 110.52536010742188, 75.17576599121094, 64.88274383544922, 99.02987670898438, 135.86459350585938, 131.65330505371094, 87.21050262451172, 87.5162124633789, 120.34894561767578, 83.31183624267578, 70.06205749511719, 74.68514251708984, 126.53987884521484, 95.13504028320312, 80.69751739501953, 113.49076080322266, 112.12195587158203, 58.17085647583008, 107.9507064819336, 60.06632995605469, 106.7055435180664, 118.24263763427734, 92.56061553955078, 109.95841217041016, 115.3579330444336, 134.2723846435547, 81.36356353759766]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[ 9 42]
 [ 0 36]]",0.46578946709632874,24.733333587646484,21.0,"[58.680015563964844, 56.955997467041016, 36.14312744140625, 37.15760803222656, 58.37458801269531, 40.59718704223633, 44.27757263183594, 40.33024597167969, 53.86442947387695, 68.23223876953125, 66.87173461914062, 52.52201461791992, 49.349609375, 48.091556549072266, 40.548858642578125, 39.86029052734375, 64.41791534423828, 51.97595977783203, 44.814353942871094, 59.142452239990234, 59.69460678100586, 34.27052307128906, 62.35509490966797, 37.613399505615234, 61.39728546142578, 60.223716735839844, 51.32994079589844, 58.720848083496094, 63.01152038574219, 48.22563552856445]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[ 2 49]
 [ 0 36]]",0.33525651693344116,28.700000762939453,21.0,"[69.9876937866211, 73.09992218017578, 47.882938385009766, 50.269813537597656, 74.84120178222656, 41.18391418457031, 53.301361083984375, 45.99468994140625, 69.27070617675781, 94.03871154785156, 91.25023651123047, 60.97018814086914, 61.55352783203125, 58.67186737060547, 49.789703369140625, 52.790687561035156, 87.89020538330078, 66.67141723632812, 57.000972747802734, 79.00895690917969, 78.09391784667969, 41.606204986572266, 75.1273422241211, 43.17161178588867, 74.25540161132812, 82.21732330322266, 64.92674255371094, 76.60519409179688, 80.18605041503906, 57.116058349609375]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
