CF1,f11,MAE1,MAE2,pred,date,countries
"[[ 1 49]
 [ 0 37]]",0.32042086124420166,107.72222137451172,112.0,"[25.453521728515625, 36.091304779052734, 22.10095977783203, 19.396038055419922, 27.816970825195312, 35.3118782043457, 34.29546356201172, 42.930702209472656, 43.61427688598633, 21.905696868896484, 13.466612815856934, 32.5864372253418, 21.82115936279297, 30.796894073486328, 32.57767105102539, 30.32880401611328, 29.239486694335938, 28.254173278808594, 24.76568603515625, 28.84813690185547, 21.78400421142578, 41.275455474853516, 25.03404998779297, 29.73080062866211, 37.24039077758789, 28.8155517578125, 38.43498611450195, 31.94232940673828, 32.039669036865234, 38.510231018066406, 32.330726623535156, 43.13652420043945, 37.43368148803711, 30.152156829833984, 42.61357498168945, 43.74513626098633]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 3 47]
 [ 0 37]]",0.3623889088630676,41.61111068725586,42.0,"[75.77149200439453, 106.32262420654297, 61.64762878417969, 57.491851806640625, 81.77458190917969, 103.9939956665039, 100.8299331665039, 127.26477813720703, 128.57089233398438, 64.75758361816406, 44.20737838745117, 94.09821319580078, 64.4603271484375, 91.85708618164062, 95.39678192138672, 89.08245086669922, 86.46977996826172, 83.90213012695312, 73.57963562011719, 82.50601959228516, 67.81031036376953, 124.00407409667969, 70.7893295288086, 88.15130615234375, 107.04546356201172, 85.0549545288086, 112.95568084716797, 92.12226104736328, 93.65626525878906, 116.08916473388672, 95.2836685180664, 125.76380157470703, 114.1662826538086, 89.1409683227539, 123.88513946533203, 128.90792846679688]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 7 43]
 [ 1 36]]",0.43103447556495667,89.05555725097656,98.0,"[19.85887908935547, 26.498069763183594, 14.683545112609863, 15.278995513916016, 20.668485641479492, 25.93610191345215, 25.12417984008789, 31.837692260742188, 31.811201095581055, 16.90818977355957, 14.101887702941895, 22.946407318115234, 16.922990798950195, 23.600223541259766, 23.687284469604492, 22.40703582763672, 21.99101448059082, 21.540508270263672, 19.110111236572266, 20.002016067504883, 19.224275588989258, 31.782752990722656, 16.985984802246094, 22.484268188476562, 25.580184936523438, 21.583045959472656, 27.96624183654785, 22.430198669433594, 23.281177520751953, 30.00119400024414, 23.919750213623047, 30.513710021972656, 30.196788787841797, 22.617977142333984, 29.970096588134766, 31.88774871826172]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 8 42]
 [ 1 36]]",0.4486367106437683,46.27777862548828,42.0,"[47.532447814941406, 66.10762786865234, 39.16010665893555, 36.11030578613281, 50.99257278442383, 64.67178344726562, 62.74531173706055, 79.09635925292969, 79.9263687133789, 40.56734848022461, 27.718210220336914, 59.02622604370117, 40.58635330200195, 57.078025817871094, 59.431556701660156, 55.629051208496094, 53.84040451049805, 52.23435592651367, 45.893096923828125, 51.97669219970703, 42.32273483276367, 76.94110107421875, 44.68061447143555, 54.84807586669922, 66.95458984375, 52.9773063659668, 70.28239440917969, 57.780757904052734, 58.50460433959961, 71.9830093383789, 59.28430938720703, 78.28011322021484, 70.86544799804688, 55.50448226928711, 77.23824310302734, 80.17384338378906]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 5 45]
 [ 0 37]]",0.4018334746360779,30.799999237060547,28.0,"[92.6451187133789, 126.33403015136719, 74.65620422363281, 70.15711975097656, 97.61937713623047, 123.39486694335938, 119.88774871826172, 151.3588409423828, 152.8455352783203, 76.32801055908203, 52.692501068115234, 114.59302520751953, 79.1244888305664, 108.95352172851562, 113.4421615600586, 107.12570190429688, 102.6755599975586, 99.41014862060547, 87.4178466796875, 100.78063201904297, 81.37783813476562, 146.7811737060547, 85.07734680175781, 104.47325134277344, 128.2987060546875, 101.23381042480469, 134.67221069335938, 112.10608673095703, 112.72557830810547, 137.5831756591797, 113.5799789428711, 136.72438049316406, 106.09688568115234, 147.71920776367188, 153.1560516357422]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 9 41]
 [ 1 36]]",0.46578946709632874,39.20000076293945,42.0,"[93.06382751464844, 125.11492919921875, 73.64584350585938, 70.23957824707031, 96.77701568603516, 122.16371154785156, 118.70848083496094, 150.38882446289062, 151.55381774902344, 75.82283020019531, 54.14559555053711, 113.95625305175781, 79.4249038696289, 108.21272277832031, 112.24116516113281, 106.47543334960938, 101.82125091552734, 98.66265106201172, 86.877197265625, 100.17816925048828, 82.36670684814453, 146.29428100585938, 83.95112609863281, 103.61616516113281, 126.70939636230469, 100.38291931152344, 133.45718383789062, 111.37797546386719, 111.92699432373047, 137.10626220703125, 112.56250762939453, 137.29673767089844, 105.26782989501953, 146.10401916503906, 151.91249084472656]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 8 42]
 [ 1 36]]",0.4486367106437683,32.79999923706055,28.0,"[77.24362182617188, 102.86505889892578, 61.097938537597656, 58.37845993041992, 79.77533721923828, 100.44593811035156, 97.6433334350586, 123.63021850585938, 124.53521728515625, 62.77823257446289, 45.555667877197266, 94.11614227294922, 66.08491516113281, 89.10860443115234, 92.35812377929688, 87.86068725585938, 83.88409423828125, 81.32096862792969, 71.74311065673828, 82.91264343261719, 68.49366760253906, 120.22142028808594, 69.45780944824219, 85.33892822265625, 104.296142578125, 82.70829010009766, 109.74327087402344, 91.976806640625, 92.31071472167969, 112.81609344482422, 92.63046264648438, 113.13717651367188, 86.7232437133789, 120.11810302734375, 124.84329223632812]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 5 45]
 [ 1 36]]",0.3943704664707184,32.24242401123047,28.0,"[92.68508911132812, 50.08348846435547, 53.59016418457031, 73.88532257080078, 91.5228042602539, 88.1944351196289, 109.80269622802734, 110.507568359375, 57.272987365722656, 43.173927307128906, 69.3758316040039, 45.19514846801758, 82.76847839355469, 83.0540542602539, 77.79369354248047, 78.12040710449219, 76.0469970703125, 66.95994567871094, 61.4709587097168, 61.8328857421875, 108.312744140625, 59.28060531616211, 78.9245376586914, 88.11314392089844, 76.58124542236328, 97.27314758300781, 81.05118560791016, 103.29296112060547, 84.9937515258789, 98.65178680419922, 80.26946258544922, 101.76441192626953, 111.14312744140625]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 9 41]
 [ 1 36]]",0.46578946709632874,11.375,14.0,"[46.07671356201172, 24.881298065185547, 36.605377197265625, 39.4329719543457, 44.85386276245117, 41.74764633178711, 52.58382034301758, 49.90801239013672, 31.154451370239258, 29.462251663208008, 33.025474548339844, 20.7307071685791, 43.27167892456055, 40.84918212890625, 42.08599090576172, 40.50701141357422, 39.59104537963867, 35.97323226928711, 28.270465850830078, 37.195133209228516, 53.142845153808594, 29.63877296447754, 42.02927780151367, 39.65742111206055, 39.67467498779297, 42.98994827270508, 53.5887451171875, 43.17332458496094, 51.63117980957031, 41.68535614013672, 47.384796142578125, 49.75056076049805]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 9 41]
 [ 1 36]]",0.46578946709632874,11.199999809265137,14.0,"[39.55612564086914, 21.169832229614258, 27.205793380737305, 34.350181579589844, 38.898868560791016, 36.160682678222656, 44.67397689819336, 40.82658767700195, 25.20888900756836, 27.452709197998047, 24.263086318969727, 37.86121368408203, 35.62677001953125, 29.310497283935547, 36.09170913696289, 35.555084228515625, 31.842897415161133, 20.828407287597656, 33.068782806396484, 44.022796630859375, 26.302549362182617, 34.24993133544922, 31.15135955810547, 34.42701721191406, 29.100290298461914, 45.80242919921875, 37.5970458984375, 43.30762481689453, 36.66044235229492, 35.61042404174805]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
