CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  0]
 [10  0]]",0.4695121943950653,88.19999694824219,98.0,"[4.198677062988281, 3.0274813175201416, 3.0122835636138916, 5.030564785003662, 4.711315155029297, 3.559353828430176, 5.054175853729248, 4.761495590209961, 5.16743803024292, 3.5860936641693115]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'India', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[75  2]
 [ 8  2]]",0.6116071343421936,59.11111068725586,70.0,"[38.82018280029297, 31.606796264648438, 17.61629867553711, 41.08958435058594, 25.19188117980957, 35.81031799316406, 41.35338592529297, 40.6331787109375, 33.837646484375]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [10  0]]",0.4695121943950653,52.88888931274414,56.0,"[27.703250885009766, 22.557483673095703, 13.603219985961914, 29.022281646728516, 18.352317810058594, 25.990276336669922, 29.323368072509766, 28.939208984375, 24.124248504638672]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [10  0]]",0.4695121943950653,37.33333206176758,42.0,"[36.744163513183594, 29.32953643798828, 18.09416961669922, 39.371620178222656, 25.01174545288086, 35.674903869628906, 39.592681884765625, 39.63932800292969, 31.89484977722168]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [10  0]]",0.4695121943950653,31.11111068725586,28.0,"[34.39790344238281, 27.181800842285156, 20.485841751098633, 35.42561340332031, 25.299226760864258, 35.82150650024414, 34.91537094116211, 37.13231658935547, 29.4163818359375]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [10  0]]",0.4695121943950653,26.0,28.0,"[22.220060348510742, 15.500570297241211, 19.59737205505371, 18.36145782470703, 18.594526290893555, 20.60050392150879, 16.538570404052734]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[77  0]
 [10  0]]",0.4695121943950653,18.0,14.0,"[34.49187469482422, 27.722827911376953, 20.855438232421875, 33.64695739746094, 18.834983825683594, 33.87113952636719, 28.986164093017578]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[77  0]
 [10  0]]",0.4695121943950653,9.333333015441895,0.0,"[25.2458553314209, 18.126220703125, 18.925643920898438, 20.054576873779297, 10.949734687805176, 18.734682083129883]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand']"
"[[75  2]
 [ 7  3]]",0.6716980934143066,10.5,0.0,"[-2.4465627670288086, 2.2967827320098877, 12.269859313964844, -33.02302551269531]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia']"
"[[65 12]
 [ 3  7]]",0.6896551847457886,7.0,0.0,"[-146.8227996826172, -5.824950218200684]",2022-10-24T00:00:00.000000000,"['Australia', 'Georgia']"
"[[71  6]
 [ 5  5]]",0.7021475434303284,0.0,0.0,[7.953386306762695],2022-11-07T00:00:00.000000000,['Georgia']
"[[60 17]
 [ 2  8]]",0.6602261066436768,-1,-1,"[[0.13626034557819366], [0.08088827133178711], [0.6533371806144714], [0.42835041880607605], [0.38868623971939087], [0.4867662191390991], [0.4140254557132721], [0.11266428977251053], [0.20076654851436615], [0.5188481211662292], [0.25309622287750244], [0.4705691337585449], [0.3933832347393036], [0.16212336719036102], [0.715419590473175], [0.12013491988182068], [0.0783139169216156], [0.21363401412963867], [0.30301690101623535], [0.3748481273651123], [0.16763493418693542], [0.10289366543292999], [0.25737935304641724], [0.36867013573646545], [0.37953126430511475], [0.6257920861244202], [0.33203592896461487], [0.6356170177459717], [0.21887539327144623], [0.35806095600128174], [0.08697465062141418], [0.07012093812227249], [0.7060679793357849], [0.18905861675739288], [0.6478269100189209], [0.6016793251037598], [0.2670186758041382], [0.47609299421310425], [0.5507014989852905], [0.09115932881832123], [0.6293087601661682], [0.37306836247444153], [0.3114143908023834], [0.3100492060184479], [0.2949085831642151], [0.17177662253379822], [0.6805781722068787], [0.43191152811050415], [0.4476048946380615], [0.18718735873699188], [0.4742836654186249], [0.5273128747940063], [0.4821566641330719], [0.25652816891670227], [0.31145521998405457], [0.49241045117378235], [0.1266890913248062], [0.4816693067550659], [0.11852671951055527], [0.6282731890678406], [0.3449666500091553], [0.27716177701950073], [0.7013362050056458], [0.28870904445648193], [0.570715606212616], [0.23912619054317474], [0.2793465852737427], [0.6897159814834595], [0.14737817645072937], [0.19142352044582367], [0.478107213973999], [0.6634483337402344], [0.39918622374534607], [0.5740321278572083], [0.08006765693426132], [0.31039270758628845], [0.45668134093284607], [0.5911080241203308], [0.7142257690429688], [0.09313921630382538], [0.6632790565490723], [0.5239488482475281], [0.21208658814430237], [0.32904380559921265], [0.7522222399711609], [0.6528236865997314], [0.584820568561554]]",2022-11-21T00:00:00.000000000,[]
