CF1,f11,MAE1,MAE2,pred,date,countries
"[[74  0]
 [13  0]]",0.45962733030319214,134.61538696289062,154.0,"[4.092395305633545, 3.8998863697052, 2.78822922706604, 5.172133445739746, 5.151297569274902, 3.460216760635376, 4.224209785461426, 3.7108991146087646, 4.738730430603027, 4.529431343078613, 4.399077892303467, 3.6888010501861572, 4.8109002113342285]",2023-01-02T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'India', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,103.83333587646484,112.0,"[36.4938850402832, 24.685224533081055, 26.98836898803711, 45.724449157714844, 31.697834014892578, 34.78513717651367, 23.609373092651367, 35.31480026245117, 35.97124099731445, 42.49737548828125, 32.7033576965332, 45.652774810791016]",2023-01-16T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,100.33333587646484,112.0,"[27.302160263061523, 18.80635643005371, 20.575706481933594, 34.16901397705078, 23.887937545776367, 25.84056282043457, 18.2668399810791, 26.568330764770508, 26.795068740844727, 31.74678611755371, 24.530048370361328, 34.17331314086914]",2023-01-30T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,72.33333587646484,70.0,"[44.07170486450195, 31.402603149414062, 31.991987228393555, 55.81338882446289, 38.02595901489258, 42.35726547241211, 30.088258743286133, 44.073158264160156, 44.21201705932617, 50.9878044128418, 39.40447998046875, 55.0317268371582]",2023-02-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[72  2]
 [11  2]]",0.5762457847595215,68.83333587646484,70.0,"[32.513328552246094, 21.510683059692383, 25.455066680908203, 40.67560958862305, 28.859739303588867, 28.8480167388916, 21.920135498046875, 27.572589874267578, 30.01903533935547, 38.152156829833984, 29.443397521972656, 40.49458312988281]",2023-02-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,54.727272033691406,56.0,"[40.197383880615234, 25.160018920898438, 32.165306091308594, 50.185279846191406, 36.006446838378906, 34.1414909362793, 26.11239242553711, 35.5335693359375, 47.68961715698242, 36.53074264526367, 50.16276550292969]",2023-03-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,45.818180084228516,56.0,"[33.22959899902344, 19.635862350463867, 27.96221923828125, 41.51421356201172, 30.488332748413086, 27.208213806152344, 21.358583450317383, 28.29730796813965, 40.04058837890625, 30.426952362060547, 42.035301208496094]",2023-03-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,29.272727966308594,28.0,"[39.27552795410156, 28.437868118286133, 30.868125915527344, 48.48135757446289, 34.96415710449219, 36.024471282958984, 28.02621078491211, 37.472625732421875, 44.981414794921875, 35.81290054321289, 47.93244171142578]",2023-04-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,18.200000762939453,14.0,"[39.1871337890625, 23.55232810974121, 35.02275848388672, 47.52745819091797, 36.645565032958984, 28.942516326904297, 25.807395935058594, 48.20685577392578, 36.033634185791016, 47.423095703125]",2023-04-24T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,9.800000190734863,14.0,"[33.251670837402344, 19.498552322387695, 30.45060157775879, 39.606407165527344, 32.20318603515625, 19.326618194580078, 19.469629287719727, 39.59761047363281, 31.042924880981445, 38.5367431640625]",2023-05-08T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[66  8]
 [ 9  4]]",0.6029530167579651,19.600000381469727,14.0,"[7.205428600311279, 8.344104766845703, 12.613981246948242, 5.602831840515137, 10.32626724243164, -0.42727231979370117, -4.200072765350342, 8.480016708374023, 9.624204635620117, 4.555612564086914]",2023-05-22T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[68  6]
 [10  3]]",0.5837320685386658,10.5,14.0,"[6.6725921630859375, -15.179075241088867, -7.252062797546387, 11.593381881713867, -11.395401954650879, 3.2504162788391113, 10.624235153198242, -16.88864517211914]",2023-06-05T00:00:00.000000000,"['Austria', 'Costa Rica', 'France', 'Ireland', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[73  1]
 [11  2]]",0.5870253443717957,5.599999904632568,0.0,"[-37.58175277709961, 15.788738250732422, -11.523279190063477, 13.926441192626953, -46.2214469909668]",2023-06-19T00:00:00.000000000,"['France', 'Ireland', 'Spain', 'Sweden', 'USA']"
