CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  4]
 [ 0  6]]",0.8623417615890503,100.80000305175781,98.0,"[6.873807430267334, 2.805405855178833, 6.872975826263428, 6.1138176918029785, 5.36566686630249]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,86.80000305175781,84.0,"[10.216379165649414, 5.1701226234436035, 10.208932876586914, 9.388934135437012, 8.40344524383545]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,72.80000305175781,70.0,"[8.743894577026367, 5.944920539855957, 8.724971771240234, 8.434109687805176, 7.793626308441162]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,58.79999923706055,56.0,"[5.374428749084473, 6.1735944747924805, 5.355885982513428, 5.832401275634766, 5.60142707824707]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,44.79999923706055,42.0,"[8.880781173706055, 10.162431716918945, 8.838859558105469, 9.531023025512695, 9.299704551696777]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,30.799999237060547,28.0,"[12.492115020751953, 13.166023254394531, 12.40969181060791, 13.214971542358398, 13.118217468261719]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,16.799999237060547,14.0,"[12.584250450134277, 12.929018020629883, 12.49358081817627, 13.205318450927734, 13.193405151367188]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,14.0,0.0,"[10.192158699035645, 7.83905553817749, 7.924337863922119]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,28.0,28.0,[9.503968238830566],2021-03-29T00:00:00.000000000,['Panama']
"[[77  4]
 [ 0  6]]",0.8623417615890503,14.0,14.0,[9.371888160705566],2021-04-12T00:00:00.000000000,['Panama']
"[[77  4]
 [ 0  6]]",0.8623417615890503,0.0,0.0,[8.665427207946777],2021-04-26T00:00:00.000000000,['Panama']
"[[77  4]
 [ 0  6]]",0.8623417615890503,-1,-1,"[[0.8965915441513062], [0.0520150251686573], [0.05419781059026718], [0.04944624379277229], [0.05419781059026718], [0.05717221274971962], [0.052452098578214645], [0.0520150251686573], [0.8852741122245789], [0.05717221274971962], [0.05023965612053871], [0.0520150251686573], [0.7771387100219727], [0.8972770571708679], [0.03533976897597313], [0.9115545153617859], [0.894543468952179], [0.05543670803308487], [0.05489972233772278], [0.05676782503724098], [0.0520150251686573], [0.888713002204895], [0.04703851044178009], [0.0520150251686573], [0.04507577791810036], [0.04580724239349365], [0.047555483877658844], [0.04346751049160957], [0.0520150251686573], [0.054138779640197754], [0.0520150251686573], [0.05419781059026718], [0.0520150251686573], [0.0520150251686573], [0.044233571738004684], [0.05128555744886398], [0.05419781059026718], [0.0520150251686573], [0.050006307661533356], [0.0520150251686573], [0.04738972708582878], [0.05419781059026718], [0.04648187384009361], [0.0520150251686573], [0.047778353095054626], [0.0566687136888504], [0.043052926659584045], [0.0520150251686573], [0.0520150251686573], [0.045057494193315506], [0.057569198310375214], [0.05754489824175835], [0.0520150251686573], [0.0520150251686573], [0.04703851044178009], [0.057569198310375214], [0.9045888781547546], [0.0513136051595211], [0.9072746634483337], [0.05717221274971962], [0.04470280557870865], [0.05419781059026718], [0.04862828180193901], [0.05488195642828941], [0.0520150251686573], [0.05419781059026718], [0.0520150251686573], [0.05543670803308487], [0.05347923934459686], [0.053629834204912186], [0.0520150251686573], [0.0520150251686573], [0.05329645425081253], [0.05717221274971962], [0.7155390977859497], [0.05172920972108841], [0.055599719285964966], [0.05816664174199104], [0.054340578615665436], [0.0520150251686573], [0.05023965612053871], [0.0520150251686573], [0.04862828180193901], [0.045971959829330444], [0.05419781059026718], [0.05329645425081253], [0.0551135279238224]]",2021-05-10T00:00:00.000000000,[]
