CF1,f11,MAE1,MAE2,pred,date,countries
"[[47  4]
 [34  2]]",0.40367963910102844,109.86111450195312,119.0,"[0.7104784250259399, 0.7753444910049438, 0.7104784250259399, 5.0172505378723145, 0.7337150573730469, 0.7396469116210938, 0.8068468570709229, 0.6944122314453125, 0.7396469116210938, 0.844037652015686, 0.8320884704589844, 0.8706663846969604, 8.229589462280273, 0.7496528625488281, 0.7104784250259399, 0.767451286315918, 0.7104784250259399, 0.6787669658660889, 0.8443387746810913, 0.6678338050842285, 0.8123788833618164, 0.7104784250259399, 0.7876434326171875, 0.7396469116210938, 0.7396469116210938, 0.6944122314453125, 0.7179597616195679, 0.7396469116210938, 0.7223864793777466, 0.7435513734817505, 0.6923234462738037, 0.7086093425750732, 0.7641875743865967, 0.7396469116210938, 0.7223864793777466, 1.3606115579605103]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[44  7]
 [26 10]]",0.5523155927658081,80.11111450195312,91.0,"[11.541753768920898, 2.852010726928711, 11.495261192321777, 12.734342575073242, 2.6514925956726074, 2.679962635040283, 2.995968818664551, 2.4628560543060303, 23.50593376159668, 3.1652231216430664, 3.11084246635437, 3.287808895111084, 12.3757963180542, 9.91618537902832, 2.5399670600891113, 2.813788890838623, 2.5399670600891113, 2.387765884399414, 3.166592597961426, 2.335291624069214, 3.0211448669433594, 2.5399670600891113, 10.216079711914062, 2.6799628734588623, 23.50593376159668, 7.840898036956787, 2.5758743286132812, 25.491104125976562, 2.5971200466156006, 2.698702812194824, 2.4528310298919678, 3.690567970275879, 2.7979848384857178, 2.6799628734588623, 2.5971200466156006, 2.8939571380615234]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[32 19]
 [ 2 34]]",0.7584930658340454,51.400001525878906,42.0,"[49.23049545288086, 25.064485549926758, 56.119483947753906, 56.181434631347656, 36.22200012207031, 20.86634635925293, 49.91177749633789, 15.500067710876465, 103.73003387451172, 16.31133460998535, 43.34078598022461, 39.38587188720703, 58.02044677734375, 47.5438117980957, 34.17330551147461, 27.739368438720703, 5.1018500328063965, 31.82703399658203, 40.704158782958984, 27.635175704956055, 17.095714569091797, 18.24323272705078, 52.62828826904297, 5.434131145477295, 103.73003387451172, 37.31922149658203, 17.958759307861328, 103.73003387451172, 24.934276580810547, 20.57946014404297, 29.2534236907959, 23.954627990722656, 13.911230087280273, 37.94112777709961, 19.235864639282227]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[27 24]
 [ 2 34]]",0.6992021203041077,56.0,49.0,"[34.6592903137207, 98.14503479003906, 67.665771484375, 16.666553497314453, 140.0970001220703, 78.83827209472656, 199.2747802734375, 64.99036407470703, 23.778366088867188, 52.2295036315918, 169.04547119140625, 152.13812255859375, 63.27314376831055, 128.8712615966797, 112.91203308105469, 4.822168350219727, 122.5289077758789, 160.7009735107422, 105.65371704101562, 57.39164352416992, 67.27274322509766, 81.43287658691406, 5.100733757019043, 23.778366088867188, 53.33940505981445, 75.03069305419922, 36.65401840209961, 94.58846282958984, 76.80924987792969, 114.76081848144531, 71.15821838378906, 48.259883880615234, 144.88345336914062, 60.3016357421875]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[33 18]
 [ 2 34]]",0.77008455991745,54.764705657958984,42.0,"[123.51115417480469, 59.03793716430664, 131.3016815185547, 148.4208221435547, 41.934043884277344, 23.73051643371582, 54.20517349243164, 77.87702178955078, 277.8489990234375, 19.132347106933594, 58.835777282714844, 52.59490966796875, 108.79803466796875, 41.72154998779297, 82.54029846191406, 6.658452987670898, 36.83985137939453, 44.71073913574219, 31.99946403503418, 19.947559356689453, 21.454702377319336, 115.08808898925781, 7.080650329589844, 277.8489990234375, 83.53050994873047, 82.68962097167969, 277.8489990234375, 28.91907501220703, 24.015291213989258, 53.14961242675781, 36.361480712890625, 17.47060775756836, 45.466880798339844, 26.984819412231445]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[27 24]
 [ 2 34]]",0.6992021203041077,130.3235321044922,84.0,"[51.869930267333984, 208.82281494140625, 122.39543151855469, 17.898366928100586, 302.0892333984375, 168.329345703125, 430.8653259277344, 135.40570068359375, 14.790164947509766, 109.4432144165039, 364.34075927734375, 327.31512451171875, 117.242431640625, 277.71563720703125, 240.07180786132812, 6.613733291625977, 264.0504150390625, 346.45794677734375, 227.27438354492188, 120.93995666503906, 143.2476806640625, 155.99658203125, 7.025356292724609, 14.790164947509766, 100.27719116210938, 157.10150146484375, 32.3836784362793, 202.80960083007812, 163.87786865234375, 246.0786895751953, 148.93008422851562, 101.43792724609375, 312.60223388671875, 128.02085876464844]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[35 16]
 [ 2 34]]",0.7930760979652405,69.1515121459961,56.0,"[151.8757781982422, 49.68253707885742, 152.02377319335938, 189.64193725585938, 19.52151107788086, 10.695915222167969, 24.059274673461914, 82.94412994384766, 356.7111511230469, 10.015217781066895, 33.28771209716797, 29.06792640686035, 123.5799789428711, 20.76107406616211, 77.16322326660156, 5.439634323120117, 17.34981346130371, 19.794937133789062, 15.126667022705078, 10.082926750183105, 10.160114288330078, 127.4814224243164, 5.743147850036621, 356.7111511230469, 93.34516143798828, 86.2079849243164, 356.7111511230469, 13.462586402893066, 11.162873268127441, 39.0199089050293, 28.32084846496582, 22.11823272705078, 19.01603889465332]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[47  4]
 [28  8]]",0.5396825671195984,93.75757598876953,63.0,"[37.51066207885742, 150.18194580078125, 88.23870086669922, 13.028376579284668, 215.4243621826172, 120.02418518066406, 307.1187744140625, 99.39878845214844, 4.365508079528809, 77.9627914428711, 260.0074462890625, 233.44342041015625, 84.2881088256836, 198.088134765625, 173.45938110351562, 4.929121971130371, 188.40492248535156, 246.8555908203125, 162.2000732421875, 86.18710327148438, 102.19456481933594, 111.88301086425781, 5.1843695640563965, 4.365508079528809, 72.11109161376953, 114.91048431396484, 23.541790008544922, 144.6468963623047, 116.84207153320312, 176.44618225097656, 106.36803436279297, 222.9436798095703, 91.40304565429688]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[42  9]
 [17 19]]",0.6786931753158569,42.0,42.0,"[72.98963928222656, 24.826824188232422, 72.9115982055664, 69.1122817993164, 8.345253944396973, 5.727125644683838, 41.04974365234375, 167.45591735839844, 6.996696472167969, 14.87605094909668, 13.368144989013672, 60.019893646240234, 10.090932846069336, 5.880280494689941, 7.637800216674805, 7.798890113830566, 6.913782119750977, 6.674107551574707, 5.864285469055176, 61.20182800292969, 6.172226905822754, 167.45591735839844, 45.88117980957031, 42.61991500854492, 167.45591735839844, 6.688357353210449, 6.1416826248168945, 18.75670051574707, 14.414508819580078, 6.747892379760742]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[44  7]
 [15 21]]",0.7281249761581421,34.766666412353516,35.0,"[20.604324340820312, 68.97531127929688, 39.821109771728516, 10.736427307128906, 88.37805938720703, 52.31345748901367, 53.72690200805664, 7.612795352935791, 37.40074157714844, 107.80817413330078, 97.8994369506836, 38.83540344238281, 81.51749420166016, 8.804763793945312, 77.44908142089844, 101.63932800292969, 67.3841781616211, 40.20235824584961, 45.191123962402344, 49.7625846862793, 9.260307312011719, 7.612795352935791, 33.54218673706055, 60.20378494262695, 15.564203262329102, 61.423194885253906, 51.15728759765625, 76.2220230102539, 46.73741912841797, 40.93282699584961]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
