CF1,f11,MAE1,MAE2,pred,date,countries
"[[22 28]
 [ 0 37]]",0.6683006286621094,123.66666412353516,126.0,"[10.573493957519531, 8.39786148071289, 11.587133407592773, 19.211698532104492, 14.256683349609375, 12.68163013458252, 23.593584060668945, 18.191377639770508, 16.931224822998047, 18.714204788208008, 19.196117401123047, 18.692033767700195, 14.749099731445312, 16.477863311767578, 9.85465145111084, 8.414321899414062, 23.84178924560547, 22.242238998413086, 11.947725296020508, 13.282791137695312, 26.784387588500977, 10.577796936035156, 11.08050537109375, 16.527231216430664, 15.189766883850098, 14.45798110961914, 19.112472534179688, 12.593713760375977, 19.211698532104492, 16.789169311523438, 16.785932540893555, 14.187204360961914, 19.593894958496094, 20.445493698120117, 14.593546867370605, 16.748859405517578]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[23 27]
 [ 0 37]]",0.6814051270484924,107.72222137451172,112.0,"[13.335517883300781, 11.339335441589355, 13.515422821044922, 22.612720489501953, 17.093217849731445, 15.602242469787598, 27.892864227294922, 22.453372955322266, 21.053539276123047, 21.29063606262207, 22.70819664001465, 21.231718063354492, 17.910751342773438, 20.087602615356445, 12.488069534301758, 11.133100509643555, 27.98630714416504, 26.06858253479004, 14.998932838439941, 16.859914779663086, 31.702518463134766, 13.425820350646973, 13.064763069152832, 20.2652587890625, 18.470497131347656, 17.10050392150879, 22.34903907775879, 15.418532371520996, 22.612720489501953, 20.60302734375, 20.31934356689453, 17.029281616210938, 23.825077056884766, 23.955751419067383, 17.42616844177246, 20.457975387573242]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[23 27]
 [ 0 37]]",0.6814051270484924,96.44444274902344,98.0,"[11.85414981842041, 11.024921417236328, 13.015692710876465, 17.99085235595703, 13.643937110900879, 13.535333633422852, 22.548099517822266, 19.753326416015625, 18.550819396972656, 15.050798416137695, 18.479537963867188, 14.921480178833008, 15.027559280395508, 17.390464782714844, 10.997034072875977, 10.61826229095459, 22.280452728271484, 20.575443267822266, 13.529661178588867, 15.047390937805176, 26.046226501464844, 12.267287254333496, 12.212060928344727, 17.788837432861328, 15.40097713470459, 13.372720718383789, 17.399566650390625, 13.130520820617676, 17.99085235595703, 18.102890014648438, 17.211322784423828, 13.629213333129883, 20.709449768066406, 18.54714584350586, 14.040732383728027, 17.77762222290039]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[23 27]
 [ 0 37]]",0.6814051270484924,91.38888549804688,98.0,"[6.592095851898193, 6.729670524597168, 8.696647644042969, 8.66185474395752, 6.298280715942383, 7.46724271774292, 11.258733749389648, 11.25228500366211, 10.424219131469727, 5.183764457702637, 9.39803695678711, 5.027217864990234, 7.777926445007324, 9.772382736206055, 5.8848114013671875, 6.421078681945801, 10.830621719360352, 9.771316528320312, 7.922552585601807, 8.336434364318848, 13.62104606628418, 7.2488203048706055, 7.7494072914123535, 10.23971939086914, 7.823904991149902, 6.02891731262207, 7.968201160430908, 6.955352306365967, 8.66185474395752, 10.42733383178711, 9.243825912475586, 6.325113773345947, 11.851099014282227, 8.27532958984375, 6.7463250160217285, 10.045753479003906]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[23 27]
 [ 0 37]]",0.6814051270484924,74.4000015258789,84.0,"[9.808072090148926, 9.829553604125977, 15.611042022705078, 13.431766510009766, 9.093955993652344, 11.426152229309082, 17.852783203125, 17.848234176635742, 16.30278968811035, 7.090029716491699, 14.790733337402344, 6.797911167144775, 11.845035552978516, 15.454378128051758, 8.397573471069336, 9.492701530456543, 17.13311767578125, 15.289778709411621, 12.23129653930664, 12.504786491394043, 22.042110443115234, 11.056303977966309, 13.457663536071777, 16.283203125, 11.854503631591797, 8.796464920043945, 12.20156478881836, 10.486991882324219, 13.431766510009766, 16.594175338745117, 14.456517219543457, 19.087907791137695, 12.535682678222656, 10.084281921386719, 15.917442321777344]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 23]
 [ 2 35]]",0.7101932168006897,62.79999923706055,70.0,"[9.405089378356934, 8.915550231933594, 15.38768482208252, 11.96601390838623, 12.606332778930664, 10.575789451599121, 15.08324909210205, 15.046503067016602, 13.898970603942871, 6.567278861999512, 12.942848205566406, 6.280853271484375, 10.851054191589355, 13.429091453552246, 7.908452033996582, 9.138094902038574, 14.572542190551758, 13.267091751098633, 11.153881072998047, 10.808347702026367, 18.061145782470703, 10.323051452636719, 13.429388999938965, 14.020845413208008, 10.83907413482666, 9.904082298278809, 11.087692260742188, 9.902182579040527, 11.96601390838623, 14.239323616027832, 12.7081880569458, 16.004314422607422, 11.057979583740234, 9.590348243713379, 13.756159782409668]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[25 25]
 [ 0 37]]",0.7070707082748413,46.400001525878906,56.0,"[10.291337966918945, 10.280741691589355, 21.168136596679688, 12.787566184997559, 17.0850887298584, 11.367293357849121, 15.961505889892578, 15.99827766418457, 14.97288990020752, 8.075061798095703, 13.707428932189941, 7.706516265869141, 11.72434139251709, 14.194788932800293, 9.405647277832031, 10.095117568969727, 15.431121826171875, 14.131233215332031, 11.938741683959961, 12.339916229248047, 18.87056541442871, 11.114675521850586, 18.12339210510254, 14.775007247924805, 11.771273612976074, 12.102884292602539, 11.926366806030273, 10.729148864746094, 12.787566184997559, 15.00398063659668, 13.53009033203125, 16.747150421142578, 12.181920051574707, 10.450040817260742, 14.530234336853027]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[23 27]
 [ 0 37]]",0.6814051270484924,33.09090805053711,42.0,"[11.697001457214355, 19.506790161132812, 14.079764366149902, 21.43100357055664, 12.821330070495605, 16.725614547729492, 16.669864654541016, 16.210433959960938, 8.676481246948242, 14.491405487060547, 8.115608215332031, 13.486546516418457, 14.82360553741455, 11.436758995056152, 12.192137718200684, 16.247482299804688, 15.299528121948242, 13.202231407165527, 13.8114595413208, 18.581287384033203, 12.612153053283691, 17.389801025390625, 15.19723129272461, 13.747828483581543, 15.014725685119629, 13.525203704833984, 14.079764366149902, 15.4171724319458, 14.598974227905273, 16.629491806030273, 13.700579643249512, 12.422266960144043, 15.112107276916504]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[25 25]
 [ 0 37]]",0.7070707082748413,27.125,28.0,"[9.741459846496582, 13.782322883605957, 11.535843849182129, 9.18381404876709, 10.864300727844238, 12.806102752685547, 12.640538215637207, 12.667847633361816, 7.167146682739258, 11.312972068786621, 6.600708961486816, 11.226448059082031, 11.541603088378906, 10.081616401672363, 10.55801010131836, 12.560194969177246, 12.162898063659668, 10.991307258605957, 11.068245887756348, 13.045110702514648, 10.737526893615723, 12.755660057067871, 11.561423301696777, 11.367464065551758, 10.278430938720703, 11.535843849182129, 11.711665153503418, 11.758427619934082, 11.957061767578125, 11.02641773223877, 10.648454666137695, 11.695483207702637]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 23]
 [ 0 37]]",0.7320926785469055,16.799999237060547,14.0,"[9.75200080871582, 10.464350700378418, 11.113483428955078, 8.33975887298584, 11.355157852172852, 11.906044960021973, 12.940595626831055, 13.852617263793945, 5.975958824157715, 10.796891212463379, 5.173305511474609, 11.418912887573242, 9.114927291870117, 10.396737098693848, 11.746072769165039, 11.541757583618164, 11.793403625488281, 9.895079612731934, 11.999770164489746, 11.598503112792969, 10.222923278808594, 10.983154296875, 15.268003463745117, 9.915367126464844, 11.113483428955078, 11.400479316711426, 11.743697166442871, 11.138901710510254, 10.286865234375, 13.706940650939941]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
