CF1,f11,MAE1,MAE2,pred,date,countries
"[[72  5]
 [ 9  1]]",0.5181962251663208,89.5999984741211,98.0,"[4.054941177368164, 3.6932363510131836, 4.935540676116943, 15.246864318847656, 5.601599216461182, 4.3324875831604, 4.785717964172363, 3.902066946029663, 4.037156581878662, 4.7874932289123535]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'India', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[66 11]
 [ 0 10]]",0.7841191291809082,66.88888549804688,70.0,"[19.1561279296875, 24.24356460571289, 19.82993507385254, 32.60969924926758, 33.75349807739258, 22.090717315673828, 21.950075149536133, 24.28607177734375, 18.338905334472656]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[66 11]
 [ 0 10]]",0.7841191291809082,57.55555725097656,56.0,"[14.618244171142578, 18.49039077758789, 18.3516845703125, 24.520858764648438, 25.611705780029297, 16.210983276367188, 16.775854110717773, 18.42800521850586, 13.455253601074219]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[67 10]
 [ 1  9]]",0.7724137902259827,49.77777862548828,56.0,"[11.125572204589844, 14.162348747253418, 15.882450103759766, 17.887285232543945, 19.203380584716797, 12.039074897766113, 12.82494068145752, 13.982708930969238, 10.501876831054688]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[66 11]
 [ 0 10]]",0.7841191291809082,40.44444274902344,42.0,"[7.957823276519775, 7.436216831207275, 18.398590087890625, 9.55294132232666, 8.248062133789062, 7.749114990234375, 7.901136875152588, 7.8277177810668945, 7.315234661102295]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[67 10]
 [ 0 10]]",0.7986111044883728,38.0,42.0,"[8.907739639282227, 8.488282203674316, 19.902481079101562, 10.315315246582031, 9.48214340209961, 8.864168167114258, 7.854940414428711]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[67 10]
 [ 0 10]]",0.7986111044883728,22.0,28.0,"[6.603074073791504, 5.915455341339111, 17.957706451416016, 6.443886756896973, 6.430188179016113, 6.137420177459717, 5.899773597717285]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[65 12]
 [ 0 10]]",0.7702465057373047,16.33333396911621,14.0,"[8.504947662353516, 7.219839096069336, 18.086151123046875, 7.55347204208374, 15.758843421936035, 7.676826477050781]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand']"
"[[66 11]
 [ 0 10]]",0.7841191291809082,7.0,0.0,"[8.805793762207031, 4.511955738067627, 18.615657806396484, 4.7850728034973145]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia']"
"[[67 10]
 [ 1  9]]",0.7724137902259827,0.0,0.0,"[9.086750030517578, 17.47498321533203]",2022-10-24T00:00:00.000000000,"['Australia', 'Georgia']"
"[[67 10]
 [ 1  9]]",0.7724137902259827,14.0,14.0,[16.99197006225586],2022-11-07T00:00:00.000000000,['Georgia']
"[[67 10]
 [ 1  9]]",0.7724137902259827,-1,-1,"[[0.09136155992746353], [0.09057604521512985], [0.9087972044944763], [0.08940860629081726], [0.7969922423362732], [0.6577425599098206], [0.09077057242393494], [0.09057604521512985], [0.0887758657336235], [0.9281858801841736], [0.2785431444644928], [0.8811836838722229], [0.08844219148159027], [0.09136155992746353], [0.25337761640548706], [0.08937113732099533], [0.09153611212968826], [0.09206882864236832], [0.09183900058269501], [0.09263185411691666], [0.09057604521512985], [0.09215320646762848], [0.08827416598796844], [0.09057604521512985], [0.08690545707941055], [0.08754388242959976], [0.4651270806789398], [0.08548177033662796], [0.09057604521512985], [0.3275012671947479], [0.09057604521512985], [0.09153611212968826], [0.09057604521512985], [0.09057604521512985], [0.7985994219779968], [0.8472225666046143], [0.09153611212968826], [0.09057604521512985], [0.08966677635908127], [0.09057604521512985], [0.08844219148159027], [0.09153611212968826], [0.08800597488880157], [0.09057604521512985], [0.08862710744142532], [0.09259027987718582], [0.9412081241607666], [0.09057604521512985], [0.9643717408180237], [0.08688941597938538], [0.6896999478340149], [0.09295623749494553], [0.09057604521512985], [0.09057604521512985], [0.08827416598796844], [0.6896999478340149], [0.09057832509279251], [0.869184136390686], [0.08937113732099533], [0.8509387969970703], [0.08657778799533844], [0.09153611212968826], [0.8495851159095764], [0.09183135628700256], [0.09057604521512985], [0.09153611212968826], [0.09057604521512985], [0.8303651809692383], [0.09122316539287567], [0.09128900617361069], [0.09057604521512985], [0.09057604521512985], [0.09114308655261993], [0.6577425599098206], [0.09250818192958832], [0.09044822305440903], [0.09213831275701523], [0.27181145548820496], [0.8750727772712708], [0.09057604521512985], [0.4425134062767029], [0.09057604521512985], [0.08902774751186371], [0.08768688142299652], [0.7969922423362732], [0.09114306420087814], [0.8937230706214905]]",2022-11-21T00:00:00.000000000,[]
