CF1,f11,MAE1,MAE2,pred,date,countries
"[[71  3]
 [11  2]]",0.5662392973899841,135.6923065185547,154.0,"[4.734323978424072, 10.728785514831543, 4.223175525665283, 5.158308029174805, 16.881092071533203, 4.223175525665283, 4.970137119293213, 4.452498435974121, 4.096863269805908, 4.452498435974121, 4.31679630279541, 4.483195781707764, 4.452498435974121]",2023-01-02T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'India', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[58 16]
 [ 1 12]]",0.7287731766700745,117.83333587646484,126.0,"[13.756174087524414, 15.062137603759766, 16.467632293701172, 18.768205642700195, 18.132293701171875, 19.20647621154785, 29.11121368408203, 12.715288162231445, 28.81427001953125, 16.43816375732422, 13.571657180786133, 28.851953506469727]",2023-01-16T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[58 16]
 [ 1 12]]",0.7287731766700745,113.16666412353516,126.0,"[9.741023063659668, 11.909280776977539, 11.928221702575684, 13.204395294189453, 13.240405082702637, 15.528749465942383, 21.322378158569336, 9.307635307312012, 21.305496215820312, 11.935264587402344, 9.744037628173828, 21.30763816833496]",2023-01-30T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[61 13]
 [ 1 12]]",0.7643188834190369,103.83333587646484,112.0,"[7.411304473876953, 7.266838550567627, 7.990915775299072, 8.86895751953125, 8.577862739562988, 12.672581672668457, 12.77231502532959, 6.832854270935059, 12.554055213928223, 7.951587200164795, 7.154664039611816, 12.581757545471191]",2023-02-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[56 18]
 [ 1 12]]",0.706550657749176,88.66666412353516,98.0,"[7.067037105560303, 6.318699359893799, 6.2391767501831055, 7.595897674560547, 6.765212535858154, 14.007457733154297, 6.324008464813232, 6.49567174911499, 8.137561798095703, 7.002603054046631, 6.64566707611084, 7.899262428283691]",2023-02-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[57 17]
 [ 1 12]]",0.7175324559211731,84.0,84.0,"[6.412835121154785, 8.517387390136719, 5.650014400482178, 6.507220268249512, 6.042989730834961, 12.369293212890625, 5.213855743408203, 6.758251190185547, 6.301408767700195, 6.079306602478027, 6.543028831481934]",2023-03-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[57 17]
 [ 1 12]]",0.7175324559211731,70.0,70.0,"[6.903011322021484, 10.619121551513672, 6.002459526062012, 6.978516578674316, 6.50832462310791, 11.179954528808594, 5.161862373352051, 7.306767463684082, 6.833362579345703, 6.518070220947266, 7.034533500671387]",2023-03-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[60 14]
 [ 2 11]]",0.7306501269340515,56.0,56.0,"[6.468653678894043, 4.68869686126709, 5.1943135261535645, 6.0044379234313965, 5.609506130218506, 11.959102630615234, 3.101081371307373, 4.94564962387085, 6.126315116882324, 6.058156967163086, 4.727548599243164]",2023-04-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[61 13]
 [ 2 11]]",0.7425527572631836,47.599998474121094,42.0,"[4.4369306564331055, 1.8624969720840454, 2.9047141075134277, 3.7195873260498047, 4.075023174285889, 6.254559516906738, 4.500528335571289, 4.745309352874756, 3.913940191268921, 4.104585647583008]",2023-04-24T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[61 13]
 [ 2 11]]",0.7425527572631836,33.599998474121094,28.0,"[7.80318546295166, 3.2356152534484863, 5.922380447387695, 8.269584655761719, 8.221697807312012, 13.471230506896973, 10.533196449279785, 8.539499282836914, 6.886409759521484, 10.465682983398438]",2023-05-08T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
