CF1,f11,MAE1,MAE2,pred,date,countries
"[[65 16]
 [ 0  6]]",0.6594911813735962,89.5999984741211,84.0,"[15.926740646362305, 13.394868850708008, 17.082788467407227, 19.500795364379883, 19.883668899536133]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[78  3]
 [ 1  5]]",0.8446428775787354,72.80000305175781,70.0,"[19.214712142944336, 16.76228904724121, 20.88216209411621, 24.195402145385742, 24.81976890563965]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[76  5]
 [ 1  5]]",0.7935126423835754,58.79999923706055,56.0,"[17.957326889038086, 17.438661575317383, 19.407209396362305, 22.321170806884766, 23.089311599731445]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[80  1]
 [ 4  2]]",0.7070707082748413,30.799999237060547,28.0,"[31.315643310546875, 31.357337951660156, 33.625160217285156, 38.34748077392578, 39.77613067626953]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[76  5]
 [ 2  4]]",0.7446540594100952,11.199999809265137,0.0,"[35.83595657348633, 38.519691467285156, 38.32947540283203, 43.43133544921875, 45.37528610229492]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[81  0]
 [ 4  2]]",0.7379518151283264,22.399999618530273,28.0,"[49.125099182128906, 51.60271072387695, 52.69956970214844, 60.01720428466797, 62.573883056640625]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[76  5]
 [ 2  4]]",0.7446540594100952,36.400001525878906,42.0,"[54.13815689086914, 59.35783004760742, 57.88766098022461, 65.59606170654297, 68.68592071533203]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,18.66666603088379,14.0,"[17.154869079589844, 16.56516456604004, 18.733671188354492]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Panama']"
"[[79  2]
 [ 3  3]]",0.7573898434638977,28.0,28.0,[3.2143802642822266],2021-03-29T00:00:00.000000000,['Panama']
"[[77  4]
 [ 0  6]]",0.8623417615890503,14.0,14.0,[2.7562026977539062],2021-04-12T00:00:00.000000000,['Panama']
"[[81  0]
 [ 6  0]]",0.4821428656578064,14.0,14.0,[18.846967697143555],2021-04-26T00:00:00.000000000,['Panama']
"[[81  0]
 [ 6  0]]",0.4821428656578064,-1,-1,"[[0.1883966624736786], [0.19324947893619537], [0.028471512719988823], [0.03149162232875824], [0.026937883347272873], [0.024419039487838745], [0.03136705979704857], [0.024741368368268013], [0.21509921550750732], [0.019167037680745125], [0.029372021555900574], [0.01760643534362316], [0.10235319286584854], [0.17542068660259247], [0.031008565798401833], [0.34765440225601196], [0.21653421223163605], [0.02861776575446129], [0.029155060648918152], [0.03199126198887825], [0.1939021348953247], [0.20496056973934174], [0.027993155643343925], [0.02101522870361805], [0.028203697875142097], [0.05081230401992798], [0.02642815001308918], [0.0464995801448822], [0.04063309356570244], [0.031754788011312485], [0.045738428831100464], [0.16910472512245178], [0.03148050978779793], [0.035765498876571655], [0.029995989054441452], [0.019521156325936317], [0.03475344553589821], [0.032574739307165146], [0.0389377623796463], [0.12205442041158676], [0.03325275704264641], [0.031146764755249023], [0.02939995564520359], [0.029594818130135536], [0.026438944041728973], [0.03435121476650238], [0.02433965913951397], [0.024214589968323708], [0.02874135412275791], [0.19499245285987854], [0.02134549245238304], [0.08695424348115921], [0.02665274776518345], [0.04210846871137619], [0.030769504606723785], [0.032716989517211914], [0.426567941904068], [0.017847225069999695], [0.2699560523033142], [0.024156469851732254], [0.033645156770944595], [0.039367713034152985], [0.03337356075644493], [0.03323118016123772], [0.03500217944383621], [0.027771806344389915], [0.025230782106518745], [0.03002244420349598], [0.026971375569701195], [0.027452630922198296], [0.034731898456811905], [0.03148890286684036], [0.06910194456577301], [0.02469641901552677], [0.2009478062391281], [0.03215957060456276], [0.03884519264101982], [0.02644628845155239], [0.027952617034316063], [0.16463230550289154], [0.03253200650215149], [0.11932097375392914], [0.02905368246138096], [0.0334765762090683], [0.0323408767580986], [0.0476493276655674], [0.022166525945067406]]",2021-05-10T00:00:00.000000000,[]
