CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  0]
 [10  0]]",0.4695121943950653,88.19999694824219,98.0,"[5.206507205963135, 3.6112444400787354, 3.614658832550049, 6.232501029968262, 5.85162878036499, 4.293453216552734, 6.344475269317627, 5.935605525970459, 6.479110240936279, 4.352762699127197]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'India', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[67 10]
 [ 2  8]]",0.7446184158325195,54.44444274902344,56.0,"[40.35226821899414, 32.98970413208008, 18.01140022277832, 43.25063705444336, 26.51322364807129, 37.447940826416016, 43.283084869384766, 42.647865295410156, 35.36677169799805]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [10  0]]",0.4695121943950653,48.22222137451172,56.0,"[31.372329711914062, 25.307838439941406, 15.95026969909668, 33.11603546142578, 21.12335968017578, 30.113786697387695, 33.409088134765625, 33.264347076416016, 27.227298736572266]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [10  0]]",0.4695121943950653,34.22222137451172,28.0,"[48.240760803222656, 38.199241638183594, 23.974857330322266, 51.593997955322266, 32.727237701416016, 47.289207458496094, 51.99542999267578, 52.26810073852539, 41.64035415649414]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [10  0]]",0.4695121943950653,28.0,28.0,"[38.84844207763672, 31.032302856445312, 23.294689178466797, 39.81265640258789, 28.07343864440918, 40.587127685546875, 39.502079010009766, 41.849117279052734, 33.14795684814453]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[76  1]
 [ 8  2]]",0.6258958578109741,26.0,28.0,"[25.4637451171875, 19.76138687133789, 18.816436767578125, 23.10263442993164, 19.601970672607422, 24.489341735839844, 20.573741912841797]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[75  2]
 [ 7  3]]",0.6716980934143066,16.0,14.0,"[34.032386779785156, 28.00153923034668, 20.234113693237305, 34.06679916381836, 19.81928825378418, 34.143531799316406, 29.45168685913086]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[77  0]
 [10  0]]",0.4695121943950653,11.666666984558105,14.0,"[16.787158966064453, 11.943832397460938, 15.303997039794922, 12.484155654907227, 5.853521823883057, 9.922845840454102]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand']"
"[[76  1]
 [ 7  3]]",0.6892856955528259,3.5,0.0,"[14.605988502502441, 12.351153373718262, 15.169074058532715, 3.554853916168213]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia']"
"[[65 12]
 [ 2  8]]",0.7180555462837219,7.0,0.0,"[-179.8013458251953, -2.1109580993652344]",2022-10-24T00:00:00.000000000,"['Australia', 'Georgia']"
"[[70  7]
 [ 4  6]]",0.7244457006454468,0.0,0.0,[13.303884506225586],2022-11-07T00:00:00.000000000,['Georgia']
"[[62 15]
 [ 3  7]]",0.6553696990013123,-1,-1,"[[0.1334516555070877], [0.07934780418872833], [0.6838210821151733], [0.4014108180999756], [0.36123326420783997], [0.4430142045021057], [0.39736518263816833], [0.10585910826921463], [0.17930901050567627], [0.4882444441318512], [0.24879717826843262], [0.41389402747154236], [0.31919804215431213], [0.14348579943180084], [0.7688019275665283], [0.11802034080028534], [0.07867783308029175], [0.2159879058599472], [0.2985376715660095], [0.33895567059516907], [0.16140788793563843], [0.10527308285236359], [0.2645180821418762], [0.33625122904777527], [0.3450254201889038], [0.5559296607971191], [0.3402833342552185], [0.565783679485321], [0.2049645334482193], [0.3598112463951111], [0.0861070528626442], [0.0710400864481926], [0.7597977519035339], [0.1933416724205017], [0.6855540871620178], [0.6058186292648315], [0.2624487578868866], [0.4337925910949707], [0.5001590251922607], [0.08895044773817062], [0.6336300373077393], [0.31342512369155884], [0.32087406516075134], [0.288374662399292], [0.30407559871673584], [0.15778404474258423], [0.7244446277618408], [0.3878536522388458], [0.3888906240463257], [0.16750773787498474], [0.42732226848602295], [0.4629349410533905], [0.430223286151886], [0.2358425110578537], [0.2992023527622223], [0.44978851079940796], [0.121043860912323], [0.4311952292919159], [0.11786650121212006], [0.6418740153312683], [0.33616966009140015], [0.2742564380168915], [0.7553788423538208], [0.27124157547950745], [0.5156155228614807], [0.22828415036201477], [0.24537639319896698], [0.7339757680892944], [0.12447211146354675], [0.18751801550388336], [0.39603087306022644], [0.6877447366714478], [0.3621423542499542], [0.5313977599143982], [0.08171708881855011], [0.28948140144348145], [0.41919389367103577], [0.5701216459274292], [0.7730965614318848], [0.0906924232840538], [0.6205681562423706], [0.44821858406066895], [0.19810570776462555], [0.32382330298423767], [0.7713234424591064], [0.5790287256240845], [0.5585119724273682]]",2022-11-21T00:00:00.000000000,[]
