CF1,f11,MAE1,MAE2,pred,date,countries
"[[74  0]
 [13  0]]",0.45962733030319214,134.61538696289062,154.0,"[4.638519287109375, 4.185489654541016, 3.1146395206451416, 5.939661502838135, 5.6116557121276855, 3.9030954837799072, 4.681382656097412, 4.0093584060668945, 5.258175849914551, 5.029620170593262, 5.076247692108154, 4.134166240692139, 5.56334924697876]",2023-01-02T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'India', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,103.83333587646484,112.0,"[36.45429229736328, 24.698715209960938, 26.11789321899414, 45.64544677734375, 31.49164581298828, 34.470863342285156, 23.55364418029785, 35.20378112792969, 35.744136810302734, 42.113433837890625, 32.31056213378906, 44.9775390625]",2023-01-16T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,88.66666412353516,98.0,"[40.10002136230469, 27.242660522460938, 29.242549896240234, 50.20293045043945, 34.83696746826172, 37.689369201660156, 26.25640869140625, 38.70210647583008, 39.12900161743164, 46.41959762573242, 35.60708999633789, 49.66066360473633]",2023-01-30T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,79.33333587646484,84.0,"[34.13824462890625, 24.36312484741211, 24.81418800354004, 43.11582565307617, 29.57731819152832, 32.211143493652344, 23.725221633911133, 33.92829132080078, 33.72306823730469, 39.33635711669922, 30.317058563232422, 42.423362731933594]",2023-02-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[68  6]
 [ 9  4]]",0.6242441534996033,65.33333587646484,70.0,"[40.71048355102539, 26.93117904663086, 30.904125213623047, 50.83375930786133, 35.93388366699219, 35.91994857788086, 26.816415786743164, 35.07167434692383, 37.49563980102539, 47.45791244506836, 36.48476028442383, 49.93547439575195]",2023-02-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,58.54545593261719,56.0,"[33.90945053100586, 19.88130760192871, 27.5698184967041, 42.23139190673828, 30.730165481567383, 27.418668746948242, 21.739749908447266, 28.5418643951416, 40.58773422241211, 30.629465103149414, 42.36296463012695]",2023-03-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,40.727272033691406,42.0,"[40.181671142578125, 27.083999633789062, 31.092256546020508, 49.75531768798828, 35.741485595703125, 35.23631286621094, 27.11100196838379, 36.768829345703125, 46.59718322753906, 36.23143768310547, 48.91297149658203]",2023-03-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,29.272727966308594,28.0,"[38.58494186401367, 27.638399124145508, 29.44597816467285, 48.789878845214844, 33.975555419921875, 35.08079528808594, 27.853641510009766, 36.940521240234375, 44.715179443359375, 34.51073455810547, 48.19677734375]",2023-04-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,16.799999237060547,14.0,"[41.464210510253906, 26.137622833251953, 34.449241638183594, 50.74699401855469, 37.91556930541992, 33.26932144165039, 32.39412307739258, 49.473358154296875, 37.67498779296875, 49.73387908935547]",2023-04-24T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,18.200000762939453,14.0,"[26.24479103088379, 17.723337173461914, 22.660871505737305, 29.750288009643555, 24.794029235839844, 13.232649803161621, 13.007733345031738, 29.395044326782227, 24.194292068481445, 28.790985107421875]",2023-05-08T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[72  2]
 [11  2]]",0.5762457847595215,14.0,14.0,"[15.732837677001953, 17.727867126464844, 21.929115295410156, 13.296121597290039, 21.20235824584961, 4.583683013916016, 3.809917688369751, 18.89420509338379, 20.192428588867188, 9.619709014892578]",2023-05-22T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[72  2]
 [10  3]]",0.6282051205635071,10.5,14.0,"[0.8772536516189575, -20.903841018676758, -17.62735366821289, 3.0885608196258545, -14.479266166687012, -8.138466835021973, 3.0258519649505615, -24.1937198638916]",2023-06-05T00:00:00.000000000,"['Austria', 'Costa Rica', 'France', 'Ireland', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [11  2]]",0.5987421274185181,8.399999618530273,14.0,"[-8.154546737670898, 19.214553833007812, 2.127829074859619, 16.149667739868164, -13.274396896362305]",2023-06-19T00:00:00.000000000,"['France', 'Ireland', 'Spain', 'Sweden', 'USA']"
"[[59 15]
 [ 7  6]]",0.5978991389274597,0.0,0.0,[-18.254777908325195],2023-07-03T00:00:00.000000000,['USA']
"[[74  0]
 [12  1]]",0.5339285731315613,-1,-1,"[[0.2546834945678711], [0.17141106724739075], [0.28265661001205444], [0.4935230016708374], [0.18985773622989655], [0.23062218725681305], [0.42357179522514343], [0.10877962410449982], [0.29869475960731506], [0.17185214161872864], [0.337322860956192], [0.18746323883533478], [0.41336119174957275], [0.2530256509780884], [0.3766734302043915], [0.3095583915710449], [0.34883418679237366], [0.3297231197357178], [0.4233844578266144], [0.46536633372306824], [0.29962313175201416], [0.21338140964508057], [0.3068851828575134], [0.17011816799640656], [0.44041183590888977], [0.5091561079025269], [0.2616560161113739], [0.45437729358673096], [0.17098528146743774], [0.4207203984260559], [0.1600104570388794], [0.29463693499565125], [0.3263123333454132], [0.24060730636119843], [0.31692013144493103], [0.24538293480873108], [0.4179822504520416], [0.38623151183128357], [0.45540961623191833], [0.16512420773506165], [0.35278311371803284], [0.20728470385074615], [0.3677380681037903], [0.2077159285545349], [0.351946622133255], [0.2832748293876648], [0.3097916841506958], [0.20721350610256195], [0.1780128926038742], [0.3418751358985901], [0.20886658132076263], [0.4610191583633423], [0.20342501997947693], [0.1799364984035492], [0.4417879581451416], [0.2659772038459778], [0.30623501539230347], [0.18061189353466034], [0.2728370428085327], [0.25529301166534424], [0.4510980248451233], [0.3406859040260315], [0.3351367115974426], [0.3167736232280731], [0.4344201683998108], [0.1367550790309906], [0.13823504745960236], [0.32785534858703613], [0.22139872610569], [0.23417219519615173], [0.22891691327095032], [0.35069596767425537], [0.49728459119796753], [0.23857206106185913], [0.12392379343509674], [0.42682746052742004], [0.43661049008369446], [0.2603280246257782], [0.3541141152381897], [0.1453060358762741], [0.408701628446579], [0.46372196078300476], [0.1273418366909027], [0.36551907658576965], [0.35708820819854736], [0.4369537830352783], [0.23513191938400269]]",2023-07-17T00:00:00.000000000,[]
