CF1,f11,MAE1,MAE2,pred,date,countries
"[[ 0 50]
 [ 0 37]]",0.2983871102333069,64.94444274902344,70.0,"[74.4068374633789, 74.4068374633789, 74.4068374633789, 74.4068374633789, 74.4068374633789, 74.4068374633789, 74.4068374633789, 74.4068374633789, 74.4068374633789, 74.4068374633789, 74.4068374633789, 74.4068374633789, 74.4068374633789, 74.4068374633789, 74.4068374633789, 74.4068374633789, 74.4068374633789, 74.4068374633789, 74.4068374633789, 74.4068374633789, 74.4068374633789, 74.4068374633789, 74.4068374633789, 74.4068374633789, 74.4068374633789, 74.4068374633789, 74.4068374633789, 74.4068374633789, 74.4068374633789, 74.4068374633789, 74.4068374633789, 74.4068374633789, 74.4068374633789, 74.4068374633789, 74.40684509277344, 74.40684509277344]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 0 50]
 [ 0 37]]",0.2983871102333069,78.16666412353516,84.0,"[50.04395294189453, 50.04395294189453, 50.04395294189453, 50.04395294189453, 50.04395294189453, 50.04395294189453, 50.04395294189453, 50.04395294189453, 50.04395294189453, 50.04395294189453, 50.04395294189453, 50.04395294189453, 50.04395294189453, 50.04395294189453, 50.04395294189453, 50.04395294189453, 50.04395294189453, 50.04395294189453, 50.04395294189453, 50.04395294189453, 50.04395294189453, 50.04395294189453, 50.04395294189453, 50.04395294189453, 50.04395294189453, 50.04395294189453, 50.04395294189453, 50.04395294189453, 50.04395294189453, 50.04395294189453, 50.04395294189453, 50.04395294189453, 50.04395294189453, 50.04395294189453, 50.04395294189453, 50.04395294189453]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 0 50]
 [ 0 37]]",0.2983871102333069,51.72222137451172,56.0,"[58.193790435791016, 58.193790435791016, 58.193790435791016, 58.193790435791016, 58.193790435791016, 58.193790435791016, 58.193790435791016, 58.193790435791016, 58.193790435791016, 58.193790435791016, 58.193790435791016, 58.193790435791016, 58.193790435791016, 58.193790435791016, 58.193790435791016, 58.193790435791016, 58.193790435791016, 58.193790435791016, 58.193790435791016, 58.193790435791016, 58.193790435791016, 58.193790435791016, 58.193790435791016, 58.193790435791016, 58.193790435791016, 58.193790435791016, 58.193790435791016, 58.193790435791016, 58.193790435791016, 58.193790435791016, 58.193790435791016, 58.193790435791016, 58.193790435791016, 58.193790435791016, 58.19379425048828, 58.19379425048828]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 0 50]
 [ 0 37]]",0.2983871102333069,20.61111068725586,14.0,"[124.27723693847656, 124.27723693847656, 124.27723693847656, 124.27723693847656, 124.27723693847656, 124.27723693847656, 124.27723693847656, 124.27723693847656, 124.27723693847656, 124.27723693847656, 124.27723693847656, 124.27723693847656, 124.27723693847656, 124.27723693847656, 124.27723693847656, 124.27723693847656, 124.27723693847656, 124.27723693847656, 124.27723693847656, 124.27723693847656, 124.27723693847656, 124.27723693847656, 124.27723693847656, 124.27723693847656, 124.27723693847656, 124.27723693847656, 124.27723693847656, 124.27723693847656, 124.27723693847656, 124.27723693847656, 124.27723693847656, 124.27723693847656, 124.27723693847656, 124.27723693847656, 124.27723693847656, 124.27723693847656]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 0 50]
 [ 0 37]]",0.2983871102333069,32.0,28.0,"[120.9989242553711, 120.9989242553711, 120.9989242553711, 120.9989242553711, 120.9989242553711, 120.9989242553711, 120.9989242553711, 120.9989242553711, 120.9989242553711, 120.9989242553711, 120.9989242553711, 120.9989242553711, 120.9989242553711, 120.9989242553711, 120.9989242553711, 120.9989242553711, 120.9989242553711, 120.9989242553711, 120.9989242553711, 120.9989242553711, 120.9989242553711, 120.9989242553711, 120.9989242553711, 120.9989242553711, 120.9989242553711, 120.9989242553711, 120.9989242553711, 120.9989242553711, 120.9989242553711, 120.9989242553711, 120.9989242553711, 120.9989242553711, 120.9989242553711, 120.9989242553711, 120.9989242553711]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 0 50]
 [ 0 37]]",0.2983871102333069,12.800000190734863,14.0,"[78.94986724853516, 78.94986724853516, 78.94986724853516, 78.94986724853516, 78.94986724853516, 78.94986724853516, 78.94986724853516, 78.94986724853516, 78.94986724853516, 78.94986724853516, 78.94986724853516, 78.94986724853516, 78.94986724853516, 78.94986724853516, 78.94986724853516, 78.94986724853516, 78.94986724853516, 78.94986724853516, 78.94986724853516, 78.94986724853516, 78.94986724853516, 78.94986724853516, 78.94986724853516, 78.94986724853516, 78.94986724853516, 78.94986724853516, 78.94986724853516, 78.94986724853516, 78.94986724853516, 78.94986724853516, 78.94986724853516, 78.94986724853516, 78.94986724853516, 78.94986724853516, 78.94986724853516]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 0 50]
 [ 0 37]]",0.2983871102333069,60.0,56.0,"[115.67943572998047, 115.67943572998047, 115.67943572998047, 115.67943572998047, 115.67943572998047, 115.67943572998047, 115.67943572998047, 115.67943572998047, 115.67943572998047, 115.67943572998047, 115.67943572998047, 115.67943572998047, 115.67943572998047, 115.67943572998047, 115.67943572998047, 115.67943572998047, 115.67943572998047, 115.67943572998047, 115.67943572998047, 115.67943572998047, 115.67943572998047, 115.67943572998047, 115.67943572998047, 115.67943572998047, 115.67943572998047, 115.67943572998047, 115.67943572998047, 115.67943572998047, 115.67943572998047, 115.67943572998047, 115.67943572998047, 115.67943572998047, 115.67943572998047, 115.679443359375, 115.679443359375]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 0 50]
 [ 0 37]]",0.2983871102333069,28.84848403930664,28.0,"[80.9848403930664, 80.9848403930664, 80.9848403930664, 80.9848403930664, 80.9848403930664, 80.9848403930664, 80.9848403930664, 80.9848403930664, 80.9848403930664, 80.9848403930664, 80.9848403930664, 80.9848403930664, 80.9848403930664, 80.9848403930664, 80.9848403930664, 80.9848403930664, 80.9848403930664, 80.9848403930664, 80.9848403930664, 80.9848403930664, 80.9848403930664, 80.9848403930664, 80.9848403930664, 80.9848403930664, 80.9848403930664, 80.9848403930664, 80.9848403930664, 80.9848403930664, 80.9848403930664, 80.9848403930664, 80.9848403930664, 80.9848403930664, 80.9848403930664]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 0 50]
 [ 0 37]]",0.2983871102333069,10.5,14.0,"[39.45899963378906, 39.45899963378906, 39.45899963378906, 39.45899963378906, 39.45899963378906, 39.45899963378906, 39.45899963378906, 39.45899963378906, 39.45899963378906, 39.45899963378906, 39.45899963378906, 39.45899963378906, 39.45899963378906, 39.45899963378906, 39.45899963378906, 39.45899963378906, 39.45899963378906, 39.45899963378906, 39.45899963378906, 39.45899963378906, 39.45899963378906, 39.45899963378906, 39.45899963378906, 39.45899963378906, 39.45899963378906, 39.45899963378906, 39.45899963378906, 39.45899963378906, 39.45899963378906, 39.45899963378906, 39.45899963378906, 39.45899963378906]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 0 50]
 [ 0 37]]",0.2983871102333069,39.66666793823242,42.0,"[63.12232971191406, 63.12232971191406, 63.12232971191406, 63.12232971191406, 63.12232971191406, 63.12232971191406, 63.12232971191406, 63.12232971191406, 63.12232971191406, 63.12232971191406, 63.12232971191406, 63.12232971191406, 63.12232971191406, 63.12232971191406, 63.12232971191406, 63.12232971191406, 63.12232971191406, 63.12232971191406, 63.12232971191406, 63.12232971191406, 63.12232971191406, 63.12232971191406, 63.12232971191406, 63.12232971191406, 63.12232971191406, 63.12232971191406, 63.12232971191406, 63.12232971191406, 63.12232971191406, 63.12232971191406]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
