CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  0]
 [10  0]]",0.4695121943950653,88.19999694824219,98.0,"[4.274448871612549, 4.274448871612549, 4.274448871612549, 4.274448871612549, 4.274448871612549, 4.274448871612549, 4.274448871612549, 4.274448871612549, 4.274448871612549, 4.274448871612549]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'India', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [10  0]]",0.4695121943950653,70.0,70.0,"[26.8101806640625, 26.8101806640625, 26.8101806640625, 26.8101806640625, 26.8101806640625, 26.8101806640625, 26.8101806640625, 26.8101806640625, 26.8101806640625]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [10  0]]",0.4695121943950653,42.0,42.0,"[31.515390396118164, 31.515390396118164, 31.515390396118164, 31.515390396118164, 31.515390396118164, 31.515390396118164, 31.515390396118164, 31.515390396118164, 31.515390396118164]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [10  0]]",0.4695121943950653,42.0,42.0,"[27.608428955078125, 27.608428955078125, 27.608428955078125, 27.608428955078125, 27.608428955078125, 27.608428955078125, 27.608428955078125, 27.608428955078125, 27.608427047729492]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [10  0]]",0.4695121943950653,26.44444465637207,28.0,"[30.891094207763672, 30.891094207763672, 30.891094207763672, 30.891094207763672, 30.891094207763672, 30.891094207763672, 30.891094207763672, 30.891094207763672, 30.891094207763672]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [10  0]]",0.4695121943950653,16.0,14.0,"[30.95790672302246, 30.95790672302246, 30.95790672302246, 30.95790672302246, 30.95790672302246, 30.95790672302246, 30.95790672302246]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[77  0]
 [10  0]]",0.4695121943950653,16.0,14.0,"[28.968111038208008, 28.968111038208008, 28.968111038208008, 28.968111038208008, 28.968111038208008, 28.968111038208008, 28.968111038208008]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[77  0]
 [10  0]]",0.4695121943950653,11.666666984558105,14.0,"[20.957012176513672, 20.957012176513672, 20.957012176513672, 20.957012176513672, 20.957012176513672, 20.957012176513672]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand']"
"[[77  0]
 [10  0]]",0.4695121943950653,10.5,0.0,"[5.657757759094238, 5.657757759094238, 5.657757759094238, 5.657757759094238]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia']"
"[[ 0 77]
 [ 0 10]]",0.10309278219938278,7.0,0.0,"[-35.17609405517578, -35.17609405517578]",2022-10-24T00:00:00.000000000,"['Australia', 'Georgia']"
"[[77  0]
 [10  0]]",0.4695121943950653,0.0,0.0,[-43.41693878173828],2022-11-07T00:00:00.000000000,['Georgia']
"[[77  0]
 [10  0]]",0.4695121943950653,-1,-1,"[[0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939431667328], [0.4722939729690552], [0.4722939729690552], [0.4722939729690552]]",2022-11-21T00:00:00.000000000,[]
