CF1,f11,MAE1,MAE2,pred,date,countries
"[[74  0]
 [13  0]]",0.45962733030319214,134.61538696289062,154.0,"[5.038388252258301, 5.038388252258301, 5.038388252258301, 5.038388252258301, 5.038388252258301, 5.038388252258301, 5.038388252258301, 5.038388252258301, 5.038388252258301, 5.038388252258301, 5.038388252258301, 5.038388252258301, 5.038388252258301]",2023-01-02T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'India', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,103.83333587646484,112.0,"[35.93801498413086, 35.93801498413086, 35.93801498413086, 35.93801498413086, 35.93801498413086, 35.93801498413086, 35.93801498413086, 35.93801498413086, 35.93801498413086, 35.93801498413086, 35.93801498413086, 35.93801498413086]",2023-01-16T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,89.83333587646484,98.0,"[38.37452697753906, 38.37452697753906, 38.37452697753906, 38.37452697753906, 38.37452697753906, 38.37452697753906, 38.37452697753906, 38.37452697753906, 38.37452697753906, 38.37452697753906, 38.37452697753906, 38.37452697753906]",2023-01-30T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,66.5,70.0,"[43.511207580566406, 43.511207580566406, 43.511207580566406, 43.511207580566406, 43.511207580566406, 43.511207580566406, 43.511207580566406, 43.511207580566406, 43.511207580566406, 43.511207580566406, 43.511207580566406, 43.511207580566406]",2023-02-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,66.5,70.0,"[39.07654571533203, 39.07654571533203, 39.07654571533203, 39.07654571533203, 39.07654571533203, 39.07654571533203, 39.07654571533203, 39.07654571533203, 39.07654571533203, 39.07654571533203, 39.07654571533203, 39.07654571533203]",2023-02-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,70.0,70.0,"[25.236129760742188, 25.236129760742188, 25.236129760742188, 25.236129760742188, 25.236129760742188, 25.236129760742188, 25.236129760742188, 25.236129760742188, 25.236129760742188, 25.236129760742188, 25.236129760742188]",2023-03-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,44.54545593261719,42.0,"[41.73731231689453, 41.73731231689453, 41.73731231689453, 41.73731231689453, 41.73731231689453, 41.73731231689453, 41.73731231689453, 41.73731231689453, 41.73731231689453, 41.73731231689453, 41.73731231689453]",2023-03-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,33.09090805053711,28.0,"[36.76713180541992, 36.76713180541992, 36.76713180541992, 36.76713180541992, 36.76713180541992, 36.76713180541992, 36.76713180541992, 36.76713180541992, 36.76713180541992, 36.76713180541992, 36.76713180541992]",2023-04-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,19.600000381469727,14.0,"[38.215091705322266, 38.215091705322266, 38.215091705322266, 38.215091705322266, 38.215091705322266, 38.215091705322266, 38.215091705322266, 38.215091705322266, 38.215091705322266, 38.215091705322266]",2023-04-24T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,19.600000381469727,14.0,"[16.603038787841797, 16.603038787841797, 16.603038787841797, 16.603038787841797, 16.603038787841797, 16.603038787841797, 16.603038787841797, 16.603038787841797, 16.603038787841797, 16.603038787841797]",2023-05-08T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,11.199999809265137,14.0,"[14.564874649047852, 14.564874649047852, 14.564874649047852, 14.564874649047852, 14.564874649047852, 14.564874649047852, 14.564874649047852, 14.564874649047852, 14.564874649047852, 14.564874649047852]",2023-05-22T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,10.5,14.0,"[-5.38827657699585, -5.38827657699585, -5.38827657699585, -5.38827657699585, -5.38827657699585, -5.38827657699585, -5.38827657699585, -5.38827657699585]",2023-06-05T00:00:00.000000000,"['Austria', 'Costa Rica', 'France', 'Ireland', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,2.799999952316284,0.0,"[2.682983636856079, 2.682983636856079, 2.682983636856079, 2.682983636856079, 2.682983636856079]",2023-06-19T00:00:00.000000000,"['France', 'Ireland', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,0.0,0.0,[-31.68153190612793],2023-07-03T00:00:00.000000000,['USA']
"[[ 0 74]
 [ 0 13]]",0.12999999523162842,-1,-1,"[[0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269], [0.510222315788269]]",2023-07-17T00:00:00.000000000,[]
