CF1,f11,MAE1,MAE2,pred,date,countries
"[[81  0]
 [ 3  3]]",0.8242424130439758,100.80000305175781,98.0,"[-0.22002729773521423, -0.2200816124677658, -0.22002729773521423, -0.22003768384456635, -0.22004739940166473]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[78  3]
 [ 1  5]]",0.8446428775787354,86.80000305175781,84.0,"[-0.22004389762878418, -0.22008754312992096, -0.22004389762878418, -0.22005224227905273, -0.22006003558635712]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,72.80000305175781,70.0,"[-0.2200610190629959, -0.22009365260601044, -0.2200610190629959, -0.22006724774837494, -0.22007308900356293]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,58.79999923706055,56.0,"[-0.220066636800766, -0.2200956493616104, -0.220066636800766, -0.2200721800327301, -0.22007736563682556]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,44.79999923706055,42.0,"[-0.22007358074188232, -0.22009813785552979, -0.22007358074188232, -0.2200782746076584, -0.22008267045021057]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,30.799999237060547,28.0,"[-0.2200673371553421, -0.2200959026813507, -0.2200673371553421, -0.22007279098033905, -0.22007790207862854]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,16.799999237060547,14.0,"[-0.22007636725902557, -0.22009912133216858, -0.22007636725902557, -0.22008071839809418, -0.2200847864151001]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,14.0,0.0,"[-0.22008544206619263, -0.22004707157611847, -0.22005555033683777]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,28.0,28.0,[-0.2200583964586258],2021-03-29T00:00:00.000000000,['Panama']
"[[77  4]
 [ 0  6]]",0.8623417615890503,14.0,14.0,[-0.22005416452884674],2021-04-12T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,0.0,0.0,[-0.2200590819120407],2021-04-26T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,-1,-1,"[[0.9024322628974915], [0.12969015538692474], [0.13343240320682526], [0.1252138316631317], [0.13343240320682526], [0.13844607770442963], [0.13044388592243195], [0.12969015538692474], [0.9105859398841858], [0.13844607770442963], [0.12660503387451172], [0.12969015538692474], [0.3936462998390198], [0.9024322628974915], [0.1019747257232666], [0.8924829363822937], [0.8553050756454468], [0.13553239405155182], [0.13462430238723755], [0.13777005672454834], [0.12969015538692474], [0.8453191518783569], [0.12094300985336304], [0.12969015538692474], [0.1174045279622078], [0.11872942000627518], [0.1218663826584816], [0.1144648864865303], [0.12969015538692474], [0.13333189487457275], [0.12969015538692474], [0.13343240320682526], [0.12969015538692474], [0.12969015538692474], [0.11586976051330566], [0.12842713296413422], [0.13343240320682526], [0.12969015538692474], [0.1261966973543167], [0.12969015538692474], [0.1215706616640091], [0.13343240320682526], [0.11994481086730957], [0.12969015538692474], [0.1222633495926857], [0.13760413229465485], [0.11370103806257248], [0.12969015538692474], [0.12969015538692474], [0.1173713356256485], [0.1391081064939499], [0.1390676200389862], [0.12969015538692474], [0.12969015538692474], [0.12094300985336304], [0.1391081064939499], [0.8765745162963867], [0.12847580015659332], [0.8955562114715576], [0.13844607770442963], [0.1167261004447937], [0.13343240320682526], [0.1237713173031807], [0.13459420204162598], [0.12969015538692474], [0.13343240320682526], [0.12969015538692474], [0.13553239405155182], [0.1322064846754074], [0.13246393203735352], [0.12969015538692474], [0.12969015538692474], [0.13189370930194855], [0.13844607770442963], [0.8259865045547485], [0.12919606268405914], [0.13580748438835144], [0.14010122418403625], [0.13367527723312378], [0.12969015538692474], [0.12660503387451172], [0.12969015538692474], [0.1237713173031807], [0.11902673542499542], [0.13343238830566406], [0.13189372420310974], [0.13498623669147491]]",2021-05-10T00:00:00.000000000,[]
