CF1,f11,MAE1,MAE2,pred,date,countries
"[[51  0]
 [36  0]]",0.3695652186870575,109.86111450195312,119.0,"[-0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.13386593759059906, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.13507072627544403, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.13239984214305878]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[47  4]
 [26 10]]",0.5790322422981262,81.27777862548828,91.0,"[-0.13820667564868927, -0.1321348249912262, -0.13820667564868927, -0.13979676365852356, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.14670725166797638, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.13969556987285614, -0.1370072215795517, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1370924711227417, -0.1321348249912262, -0.14670725166797638, -0.13577793538570404, -0.1321348249912262, -0.14670725166797638, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.13294440507888794, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.13256417214870453]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[43  8]
 [ 8 28]]",0.8104575276374817,78.19999694824219,84.0,"[-0.1335575133562088, -0.13934148848056793, -0.13624177873134613, -0.1321348249912262, -0.1431773602962494, -0.1381707787513733, -0.14795701205730438, -0.13629667460918427, -0.1321348249912262, -0.1359139382839203, -0.14536544680595398, -0.14398238062858582, -0.13249050080776215, -0.1359851211309433, -0.14227773249149323, -0.1402791440486908, -0.1321348249912262, -0.14178308844566345, -0.14478111267089844, -0.14041313529014587, -0.13636000454425812, -0.13724777102470398, -0.1375001221895218, -0.1321348249912262, -0.1321348249912262, -0.13541913032531738, -0.13707533478736877, -0.1321348249912262, -0.13946956396102905, -0.13800223171710968, -0.14089082181453705, -0.1374102681875229, -0.13565580546855927, -0.143576517701149, -0.13666179776191711]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[47  4]
 [24 12]]",0.6160151362419128,68.76470947265625,77.0,"[-0.1366948038339615, -0.1332920342683792, -0.1366948038339615, -0.13788896799087524, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1345042586326599, -0.1430787742137909, -0.1321348249912262, -0.13245727121829987, -0.13238202035427094, -0.1357940137386322, -0.1321348249912262, -0.13412940502166748, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.13585802912712097, -0.1321348249912262, -0.1430787742137909, -0.13487081229686737, -0.134577676653862, -0.1430787742137909, -0.1321348249912262, -0.1321348249912262, -0.13289228081703186, -0.13274282217025757, -0.1321348249912262, -0.1321348249912262, -0.13245727121829987]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[41 10]
 [ 8 28]]",0.7883783578872681,66.29412078857422,70.0,"[-0.13325394690036774, -0.13780374825000763, -0.13536544144153595, -0.1321348249912262, -0.14082111418247223, -0.13688284158706665, -0.1445809006690979, -0.13540862500667572, -0.1321348249912262, -0.13510756194591522, -0.14254231750965118, -0.14145436882972717, -0.1351635456085205, -0.1401134580373764, -0.1385413259267807, -0.1321348249912262, -0.13972435891628265, -0.14208266139030457, -0.13864672183990479, -0.13545843958854675, -0.13615678250789642, -0.13635528087615967, -0.1321348249912262, -0.1321348249912262, -0.13471832871437073, -0.13602113723754883, -0.1321348249912262, -0.13790449500083923, -0.136750265955925, -0.13902248442173004, -0.13628460466861725, -0.13490450382232666, -0.141135111451149, -0.13569584488868713]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[47  4]
 [23 13]]",0.6337127685546875,58.264705657958984,63.0,"[-0.13566425442695618, -0.1332920342683792, -0.13566425442695618, -0.13658855855464935, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1345042586326599, -0.14060547947883606, -0.1321348249912262, -0.13245727121829987, -0.13238202035427094, -0.13496704399585724, -0.1321348249912262, -0.13412940502166748, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.13501659035682678, -0.1321348249912262, -0.14060547947883606, -0.13425248861312866, -0.134577676653862, -0.14060547947883606, -0.1321348249912262, -0.1321348249912262, -0.13289228081703186, -0.1326054185628891, -0.1321348249912262, -0.1321348249912262, -0.13238438963890076]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[36 15]
 [ 7 29]]",0.7454787492752075,54.30303192138672,56.0,"[-0.13404114544391632, -0.14179135859012604, -0.1376379132270813, -0.1321348249912262, -0.14693120121955872, -0.1402226686477661, -0.15333566069602966, -0.13771146535873413, -0.1321348249912262, -0.13719862699508667, -0.1498631089925766, -0.14800989627838135, -0.1372939944267273, -0.14572575688362122, -0.1430477499961853, -0.1321348249912262, -0.14506296813488007, -0.14908012747764587, -0.14322729408740997, -0.1377963125705719, -0.13898588716983795, -0.13932402431964874, -0.1321348249912262, -0.1321348249912262, -0.1365356147289276, -0.13875482976436615, -0.1321348249912262, -0.1419629603624344, -0.13999682664871216, -0.1438673734664917, -0.13920362293720245, -0.1474660485982895, -0.13820071518421173]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[41 10]
 [22 14]]",0.5929824709892273,47.09090805053711,49.0,"[-0.13894565403461456, -0.1332920342683792, -0.13894565403461456, -0.14072927832603455, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1345042586326599, -0.14848080277442932, -0.1321348249912262, -0.13245727121829987, -0.13238202035427094, -0.13760022819042206, -0.1321348249912262, -0.13412940502166748, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.13769584894180298, -0.1321348249912262, -0.14848080277442932, -0.13622131943702698, -0.134577676653862, -0.14848080277442932, -0.1321348249912262, -0.1321348249912262, -0.13289228081703186, -0.13304293155670166, -0.1321348249912262, -0.13261643052101135]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[32 19]
 [ 5 31]]",0.7241014838218689,45.733333587646484,42.0,"[-0.13364240527153015, -0.13977152109146118, -0.13648684322834015, -0.13459670543670654, -0.14383627474308014, -0.13853095471858978, -0.13654501736164093, -0.1321348249912262, -0.13613943755626678, -0.14615492522716522, -0.14468935132026672, -0.13621486723423004, -0.14288297295570374, -0.1321348249912262, -0.14235882461071014, -0.14553572237491608, -0.14090710878372192, -0.13661211729049683, -0.137552872300148, -0.1378202736377716, -0.1321348249912262, -0.1321348249912262, -0.13561511039733887, -0.13737013936042786, -0.1321348249912262, -0.13990724086761475, -0.13835234940052032, -0.14141331613063812, -0.1377250701189041, -0.13730882108211517]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[42  9]
 [22 14]]",0.6025055050849915,37.56666564941406,35.0,"[-0.13727711141109467, -0.1332920342683792, -0.13727711141109467, -0.13862377405166626, -0.1321348249912262, -0.1321348249912262, -0.1345042586326599, -0.1444762945175171, -0.1321348249912262, -0.13245727121829987, -0.13238202035427094, -0.13626128435134888, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.1321348249912262, -0.13633348047733307, -0.1321348249912262, -0.1444762945175171, -0.13522019982337952, -0.134577676653862, -0.1444762945175171, -0.1321348249912262, -0.1321348249912262, -0.13289228081703186, -0.13282045722007751, -0.13249844312667847]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
