CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  0]
 [10  0]]",0.4695121943950653,78.4000015258789,84.0,"[15.500314712524414, 13.838539123535156, 19.54604148864746, 21.775217056274414, 22.606103897094727, 16.775442123413086, 18.857711791992188, 14.797966957092285, 15.41860580444336, 14.979748725891113]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'India', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[64 13]
 [ 0 10]]",0.7569310069084167,79.33333587646484,84.0,"[13.759275436401367, 11.820967674255371, 17.870525360107422, 19.239681243896484, 13.841994285583496, 16.69997787475586, 12.877371788024902, 13.254862785339355, 13.32084846496582]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[65 12]
 [ 0 10]]",0.7702465057373047,70.0,70.0,"[1.075225830078125, 0.8367306590080261, 12.007652282714844, 0.8070691823959351, 0.7727939486503601, 1.012387752532959, 0.8558586835861206, 0.8414908647537231, 1.1839356422424316]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[65 12]
 [ 0 10]]",0.7702465057373047,54.44444274902344,56.0,"[2.068389415740967, 1.3494617938995361, 16.398906707763672, 1.161274790763855, 0.9431393146514893, 2.0318284034729004, 1.5961108207702637, 1.4176766872406006, 2.2013137340545654]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[65 12]
 [ 0 10]]",0.7702465057373047,40.44444274902344,42.0,"[3.454699993133545, 3.183697462081909, 14.896404266357422, 3.018706798553467, 2.8193225860595703, 3.3888540267944336, 3.2736568450927734, 3.2058849334716797, 3.4843931198120117]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[66 11]
 [ 0 10]]",0.7841191291809082,38.0,42.0,"[4.339723110198975, 4.300835132598877, 14.661128997802734, 4.219786167144775, 4.187015533447266, 4.298427581787109, 4.34492301940918]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[67 10]
 [ 1  9]]",0.7724137902259827,24.0,28.0,"[3.8179473876953125, 3.2186484336853027, 12.560792922973633, 3.0810482501983643, 2.6846301555633545, 3.2857491970062256, 3.8510026931762695]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[67 10]
 [ 1  9]]",0.7724137902259827,16.33333396911621,14.0,"[3.4708492755889893, 2.508206844329834, 9.33262825012207, 2.413548231124878, 2.042470693588257, 2.7555665969848633]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand']"
"[[67 10]
 [ 1  9]]",0.7724137902259827,10.5,0.0,"[3.3602547645568848, 2.969170331954956, 9.206993103027344, 2.9643797874450684]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia']"
"[[67 10]
 [ 1  9]]",0.7724137902259827,7.0,0.0,"[3.698831558227539, 7.5751495361328125]",2022-10-24T00:00:00.000000000,"['Australia', 'Georgia']"
"[[67 10]
 [ 1  9]]",0.7724137902259827,0.0,0.0,[6.464599609375],2022-11-07T00:00:00.000000000,['Georgia']
"[[67 10]
 [ 1  9]]",0.7724137902259827,-1,-1,"[[0.14830145239830017], [0.14241953194141388], [0.9042015671730042], [0.1339585930109024], [0.8710071444511414], [0.8171841502189636], [0.14386187493801117], [0.14241953194141388], [0.1295134574174881], [0.9359835982322693], [0.21231912076473236], [0.9296919703483582], [0.1272091418504715], [0.14830145239830017], [0.34388723969459534], [0.13369274139404297], [0.1496291607618332], [0.153727188706398], [0.15195055305957794], [0.15813389420509338], [0.14241953194141388], [0.1543826013803482], [0.12605902552604675], [0.14241953194141388], [0.11964735388755798], [0.12203358113765717], [0.45018091797828674], [0.11441586911678314], [0.14241953194141388], [0.2703605592250824], [0.14241953194141388], [0.1496291607618332], [0.14241953194141388], [0.14241953194141388], [0.8891737461090088], [0.8972439169883728], [0.1496291607618332], [0.14241953194141388], [0.1358007937669754], [0.14241953194141388], [0.1272091418504715], [0.1496291607618332], [0.12423788756132126], [0.14241953194141388], [0.12848277390003204], [0.15780571103096008], [0.9555143713951111], [0.14241953194141388], [0.9817091822624207], [0.11958774924278259], [0.8175097107887268], [0.16070768237113953], [0.14241953194141388], [0.14241953194141388], [0.12605902552604675], [0.8175097107887268], [0.1424364447593689], [0.9030157327651978], [0.13369274139404297], [0.8807470798492432], [0.11843223124742508], [0.1496291607618332], [0.9038442373275757], [0.15189173817634583], [0.14241953194141388], [0.1496291607618332], [0.14241953194141388], [0.8694083094596863], [0.147254079580307], [0.14775177836418152], [0.14241953194141388], [0.14241953194141388], [0.14665016531944275], [0.8171841502189636], [0.15715928375720978], [0.14147678017616272], [0.15426667034626007], [0.31286564469337463], [0.9367597103118896], [0.14241953194141388], [0.4389322102069855], [0.14241953194141388], [0.13127118349075317], [0.12257145345211029], [0.8710071444511414], [0.14665016531944275], [0.8995766639709473]]",2022-11-21T00:00:00.000000000,[]
