CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  4]
 [ 0  6]]",0.8623417615890503,75.5999984741211,70.0,"[33.807472229003906, 15.796762466430664, 33.807472229003906, 29.93522834777832, 29.048309326171875]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,72.80000305175781,70.0,"[24.616168975830078, 14.040495872497559, 24.616168975830078, 22.147512435913086, 22.3507022857666]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,42.0,42.0,"[44.314701080322266, 27.214916229248047, 44.314701080322266, 40.09175109863281, 40.16889953613281]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,19.600000381469727,14.0,"[47.384883880615234, 33.40840530395508, 47.384883880615234, 44.13570785522461, 42.95098114013672]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,14.0,14.0,"[49.98354721069336, 43.318973541259766, 49.983551025390625, 48.92646408081055, 46.8538932800293]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,28.0,28.0,"[68.10845947265625, 50.377811431884766, 68.10845947265625, 63.38544464111328, 62.08467483520508]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,44.79999923706055,42.0,"[74.10054779052734, 61.07207107543945, 74.10055541992188, 69.27174377441406, 67.76056671142578]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,9.333333015441895,0.0,"[-4.154791355133057, 36.8050422668457, 46.69234085083008]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,14.0,14.0,[25.860071182250977],2021-03-29T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,14.0,14.0,[38.16317367553711],2021-04-12T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,28.0,28.0,[31.830581665039062],2021-04-26T00:00:00.000000000,['Panama']
"[[78  3]
 [ 1  5]]",0.8446428775787354,-1,-1,"[[0.9112758636474609], [0.0464562252163887], [0.04722755402326584], [0.0455247201025486], [0.04722755402326584], [0.04655013978481293], [0.04661209508776665], [0.04645620286464691], [0.8140002489089966], [0.04655013978481293], [0.04581528902053833], [0.04645620286464691], [0.19503642618656158], [0.9133897423744202], [0.03993995487689972], [0.6701369285583496], [0.8435897827148438], [0.04746821150183678], [0.04747185483574867], [0.04676017537713051], [0.0464562252163887], [0.29572242498397827], [0.044626303017139435], [0.0464562252163887], [0.0438743531703949], [0.04415677860379219], [0.044821418821811676], [0.043244145810604095], [0.0464562252163887], [0.04720693826675415], [0.0464562252163887], [0.04722755402326584], [0.0464562252163887], [0.0464562252163887], [0.04354596138000488], [0.04619438946247101], [0.04722755402326584], [0.04645620286464691], [0.04573008790612221], [0.0464562252163887], [0.044758982956409454], [0.04722755402326584], [0.04441491514444351], [0.04645620286464691], [0.04490513354539871], [0.0468120202422142], [0.04307950660586357], [0.0464562252163887], [0.0464562252163887], [0.04386728256940842], [0.046346116811037064], [0.04635855555534363], [0.0464562252163887], [0.0464562252163887], [0.044626303017139435], [0.046346116811037064], [0.8566260933876038], [0.046204518526792526], [0.6674282550811768], [0.04655013978481293], [0.043729379773139954], [0.04722755402326584], [0.045222364366054535], [0.04746568948030472], [0.0464562252163887], [0.04722755402326584], [0.0464562252163887], [0.04746821150183678], [0.04697559028863907], [0.047028549015522], [0.04645620286464691], [0.0464562252163887], [0.04691120609641075], [0.04655013978481293], [0.7996625900268555], [0.046353887766599655], [0.047380127012729645], [0.046043213456869125], [0.04727739095687866], [0.0464562252163887], [0.04581528902053833], [0.0464562252163887], [0.045222364366054535], [0.0442199744284153], [0.04722753167152405], [0.04691120609641075], [0.04754592105746269]]",2021-05-10T00:00:00.000000000,[]
