CF1,f11,MAE1,MAE2,pred,date,countries
"[[26 24]
 [ 0 37]]",0.7196562886238098,89.44444274902344,84.0,"[34.32242202758789, 28.132396697998047, 24.722240447998047, 61.31154251098633, 46.67607116699219, 40.42207336425781, 75.06282043457031, 57.83110809326172, 54.46473693847656, 61.311546325683594, 60.69084548950195, 61.311546325683594, 47.46331024169922, 51.91963195800781, 32.52869415283203, 27.582731246948242, 75.84986877441406, 71.01661682128906, 37.95882034301758, 43.842716217041016, 84.30663299560547, 33.76454544067383, 26.273881912231445, 51.91963195800781, 49.2750244140625, 46.94691467285156, 61.311546325683594, 40.477088928222656, 61.31154251098633, 52.77995681762695, 53.333290100097656, 46.44040298461914, 61.311546325683594, 66.18061828613281, 47.12248992919922, 52.77995681762695]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[28 22]
 [ 0 37]]",0.7443910241127014,71.94444274902344,70.0,"[39.2324104309082, 33.55221939086914, 22.974990844726562, 66.14981842041016, 52.0960693359375, 44.78456497192383, 81.02315521240234, 63.894527435302734, 61.048946380615234, 66.14982604980469, 65.14794158935547, 66.14982604980469, 52.67386245727539, 56.52737045288086, 37.8613395690918, 32.47732925415039, 81.5061264038086, 76.49530792236328, 42.38033676147461, 50.54122543334961, 90.1120376586914, 38.111228942871094, 25.825870513916016, 56.52737045288086, 54.916194915771484, 51.52030563354492, 66.14982604980469, 45.06553268432617, 66.14981842041016, 57.53289794921875, 58.36105728149414, 51.864444732666016, 66.14982604980469, 72.07559967041016, 51.8126220703125, 57.53289794921875]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[28 22]
 [ 0 37]]",0.7443910241127014,38.88888931274414,28.0,"[53.77201843261719, 45.73667526245117, 36.41506576538086, 91.7987060546875, 71.7465591430664, 61.80960464477539, 112.38752746582031, 88.15364837646484, 83.9347915649414, 91.7987060546875, 90.52310180664062, 91.7987060546875, 72.63850402832031, 78.29818725585938, 51.68252182006836, 44.31654357910156, 113.18009185791016, 106.17073059082031, 58.393951416015625, 69.00019073486328, 125.275146484375, 52.3942985534668, 39.209171295166016, 78.29818725585938, 75.6311264038086, 71.24198150634766, 91.7987060546875, 62.12398910522461, 91.7987060546875, 79.66486358642578, 80.73394775390625, 71.41808319091797, 91.7987060546875, 99.76788330078125, 71.61215209960938, 79.66486358642578]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[28 22]
 [ 0 37]]",0.7443910241127014,30.33333396911621,28.0,"[76.15889739990234, 64.57074737548828, 50.94570541381836, 130.60670471191406, 101.86135864257812, 87.70072937011719, 160.0137176513672, 125.30524444580078, 119.22703552246094, 130.60670471191406, 128.8042755126953, 130.60670471191406, 103.1515121459961, 111.29227447509766, 73.14083862304688, 62.6135368347168, 161.16749572753906, 151.1432342529297, 82.80679321289062, 97.81077575683594, 178.47479248046875, 74.22169494628906, 54.35786819458008, 111.29227447509766, 107.4057846069336, 101.19197082519531, 130.60670471191406, 88.1366958618164, 130.60670471191406, 113.2398681640625, 114.75330352783203, 101.39083862304688, 130.60670471191406, 141.94618225097656, 101.71463775634766, 113.2398681640625]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[28 22]
 [ 0 37]]",0.7443910241127014,23.200000762939453,14.0,"[58.45881652832031, 50.374595642089844, 40.43114471435547, 98.20157623291016, 49.788719177246094, 66.67998504638672, 120.11911010742188, 94.8219223022461, 90.59707641601562, 98.20158386230469, 96.73716735839844, 98.20158386230469, 78.29536437988281, 84.0054702758789, 56.415069580078125, 48.60590362548828, 120.8420639038086, 113.4514389038086, 63.12701416015625, 75.06092071533203, 133.5403289794922, 56.825782775878906, 43.10393524169922, 84.0054702758789, 81.58394622802734, 68.13771057128906, 98.20158386230469, 67.08555603027344, 98.20157623291016, 85.48493957519531, 86.69831848144531, 98.20158386230469, 106.90789794921875, 77.04331970214844, 85.48494720458984]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,20.0,14.0,"[44.427181243896484, 38.897483825683594, 30.65361785888672, 73.06709289550781, 37.656089782714844, 50.1937255859375, 89.19944763183594, 71.00086975097656, 68.11764526367188, 73.06709289550781, 71.89956665039062, 73.06709289550781, 58.817745208740234, 62.7611198425293, 43.079200744628906, 37.35896682739258, 89.63325500488281, 84.25126647949219, 47.64956283569336, 57.00301742553711, 98.83535766601562, 43.084468841552734, 32.6727409362793, 62.7611198425293, 61.33081817626953, 50.86690902709961, 73.06709289550781, 50.55263900756836, 73.06709289550781, 63.87009811401367, 64.82452392578125, 73.06709289550781, 79.66427612304688, 57.76313781738281, 63.87010192871094]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,42.79999923706055,42.0,"[71.88092041015625, 61.54753875732422, 55.19666290283203, 121.53339385986328, 60.35734558105469, 82.30927276611328, 148.56192016601562, 116.93142700195312, 111.4909896850586, 121.53339385986328, 119.81983184814453, 121.53339385986328, 96.55743408203125, 103.87338256835938, 69.20496368408203, 59.54941940307617, 149.5589599609375, 140.38279724121094, 77.8559341430664, 92.02142333984375, 165.373291015625, 70.01124572753906, 57.06755828857422, 103.87338256835938, 100.52508544921875, 85.65498352050781, 121.53339385986328, 82.74808502197266, 121.53339385986328, 105.6763687133789, 107.10691833496094, 121.53339385986328, 132.07699584960938, 95.15196990966797, 105.67636108398438]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,37.75757598876953,42.0,"[51.739051818847656, 44.76604461669922, 102.01853942871094, 56.14372634887695, 69.39798736572266, 124.2708511352539, 97.81105041503906, 93.15660858154297, 102.0185546875, 100.69595336914062, 102.0185546875, 47.452842712402344, 87.33631896972656, 58.311824798583984, 50.33564758300781, 125.18994140625, 117.57746887207031, 65.6839599609375, 61.01110076904297, 138.35397338867188, 59.17705535888672, 47.12590026855469, 87.33631896972656, 84.2399673461914, 72.66754150390625, 102.0185546875, 102.01853942871094, 88.80070495605469, 89.91719055175781, 102.0185546875, 110.51070404052734, 80.02970123291016, 88.80071258544922]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[30 20]
 [ 0 37]]",0.7686170339584351,23.1875,14.0,"[37.224605560302734, 34.523990631103516, 80.10220336914062, 51.3752326965332, 46.06800079345703, 15.562312126159668, 63.67827606201172, 47.81964111328125, 80.10220336914062, 78.87765502929688, 80.10220336914062, 16.14727020263672, 35.748783111572266, 48.55496597290039, 42.60092544555664, 14.858766555786133, 13.466865539550781, 42.7133903503418, 41.21017837524414, 107.19761657714844, 40.511138916015625, 28.635921478271484, 69.26402282714844, 7.61769437789917, 41.19153594970703, 80.10220336914062, 65.08692932128906, 9.235918998718262, 80.10220336914062, 10.979432106018066, 24.574960708618164, 37.721858978271484]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[32 18]
 [ 0 37]]",0.7924178242683411,17.266666412353516,14.0,"[32.139122009277344, 33.49633026123047, 11.329080581665039, 41.70570373535156, 36.00263977050781, -57.41792297363281, 41.74703598022461, 34.99921417236328, 60.62451934814453, 59.81905746459961, 60.62451934814453, 22.072986602783203, 39.6058464050293, 35.38880920410156, -60.938289642333984, -57.446571350097656, 34.462669372558594, 6.40468692779541, 79.62979125976562, 33.2498779296875, 27.56484603881836, 9.746474266052246, 5.8117475509643555, 28.842937469482422, 11.329080581665039, 11.983335494995117, 6.5799713134765625, 60.62451934814453, -37.60942459106445, 19.8585262298584]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
