CF1,f11,MAE1,MAE2,pred,date,countries
"[[75  2]
 [ 9  1]]",0.5427615642547607,88.19999694824219,98.0,"[2.307560920715332, 2.1619625091552734, 2.662031650543213, 8.01121997833252, 2.930142402648926, 2.4192824363708496, 2.6017227172851562, 2.2460238933563232, 2.3004019260406494, 2.8952698707580566]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'India', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[67 10]
 [ 1  9]]",0.7724137902259827,45.11111068725586,42.0,"[35.04877853393555, 52.0893669128418, 20.433513641357422, 66.29393768310547, 76.75729370117188, 37.77443313598633, 44.385826110839844, 50.202911376953125, 31.7762451171875]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[67 10]
 [ 1  9]]",0.7724137902259827,32.66666793823242,28.0,"[37.15918731689453, 51.67599105834961, 28.125953674316406, 66.7651596069336, 74.26298522949219, 40.54527282714844, 45.175289154052734, 50.48046112060547, 33.65659713745117]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[69  8]
 [ 1  9]]",0.8027210831642151,34.22222137451172,28.0,"[28.1568660736084, 36.58096694946289, 27.759876251220703, 47.49234390258789, 50.82224655151367, 30.89085578918457, 32.85281753540039, 36.18356704711914, 26.157119750976562]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[67 10]
 [ 1  9]]",0.7724137902259827,26.44444465637207,28.0,"[26.39829444885254, 30.114513397216797, 28.45895004272461, 34.80629348754883, 46.20021438598633, 28.92904281616211, 18.081220626831055, 30.489652633666992, 24.557327270507812]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[67 10]
 [ 1  9]]",0.7724137902259827,20.0,14.0,"[34.08049011230469, 39.98640060424805, 36.284732818603516, 35.92668914794922, 61.58906173706055, 40.25443649291992, 31.619342803955078]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[66 11]
 [ 1  9]]",0.7583333253860474,14.0,14.0,"[30.631229400634766, 36.45338821411133, 36.119049072265625, 20.5492000579834, 0.7687094211578369, 36.343292236328125, 28.67499542236328]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[66 11]
 [ 1  9]]",0.7583333253860474,9.333333015441895,14.0,"[29.06805419921875, 33.000972747802734, 35.293087005615234, 35.7398681640625, 14.216824531555176, 7.381352424621582]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand']"
"[[66 11]
 [ 1  9]]",0.7583333253860474,3.5,0.0,"[35.4286994934082, 6.03333854675293, 40.14253616333008, 1.137612223625183]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia']"
"[[66 11]
 [ 1  9]]",0.7583333253860474,7.0,0.0,"[5.428914546966553, 37.071502685546875]",2022-10-24T00:00:00.000000000,"['Australia', 'Georgia']"
"[[66 11]
 [ 1  9]]",0.7583333253860474,42.0,42.0,[43.02937698364258],2022-11-07T00:00:00.000000000,['Georgia']
"[[66 11]
 [ 1  9]]",0.7583333253860474,-1,-1,"[[0.1141497790813446], [0.11530651152133942], [0.8945450782775879], [0.11671209335327148], [0.8546562194824219], [0.653782844543457], [0.11507534980773926], [0.11530651152133942], [0.11527836322784424], [0.9460735321044922], [0.19541697204113007], [0.9172462821006775], [0.11333750188350677], [0.1141497790813446], [0.545113742351532], [0.11675772070884705], [0.1131935566663742], [0.1103282943367958], [0.11155479401350021], [0.10738486051559448], [0.11530651152133942], [0.10988173633813858], [0.1123683899641037], [0.11530651152133942], [0.106960728764534], [0.10897432267665863], [0.43603649735450745], [0.10254142433404922], [0.11530651152133942], [0.19739365577697754], [0.11530651152133942], [0.1131935566663742], [0.11530651152133942], [0.11530651152133942], [0.8421509861946106], [0.8941829800605774], [0.1131935566663742], [0.11530651152133942], [0.11639853566884995], [0.11530651152133942], [0.11333750188350677], [0.1131935566663742], [0.11083327233791351], [0.11530651152133942], [0.11441033333539963], [0.10759936273097992], [0.9608659744262695], [0.11530651152133942], [0.9790915846824646], [0.10691040754318237], [0.6388326287269592], [0.10572778433561325], [0.11530651152133942], [0.11530651152133942], [0.1123683899641037], [0.6388326287269592], [0.11530382931232452], [0.8906149864196777], [0.11675772070884705], [0.8905940055847168], [0.10593482851982117], [0.1131935566663742], [0.8832756876945496], [0.11159580200910568], [0.11530651152133942], [0.1131935566663742], [0.11530651152133942], [0.869568407535553], [0.11454067379236221], [0.11446326225996017], [0.11530651152133942], [0.11530651152133942], [0.11463499069213867], [0.653782844543457], [0.10802405327558517], [0.1154589131474495], [0.10996045917272568], [0.18612703680992126], [0.9210638403892517], [0.11530651152133942], [0.38797393441200256], [0.11530651152133942], [0.11675817519426346], [0.10942798852920532], [0.8546562194824219], [0.11463499069213867], [0.9495201706886292]]",2022-11-21T00:00:00.000000000,[]
