CF1,f11,MAE1,MAE2,pred,date,countries
"[[47  4]
 [34  2]]",0.40367963910102844,109.86111450195312,119.0,"[2.0805349349975586, 2.3365721702575684, 2.0805349349975586, -1.4455286264419556, 2.1720433235168457, 2.195403814315796, 2.4546923637390137, 2.017263889312744, 2.195404052734375, 2.593568801879883, 2.5489487648010254, 2.69415283203125, -2.868062973022461, 2.2348084449768066, 2.0805349349975586, 2.305210590362549, 2.0805349349975586, 1.9556509256362915, 2.5946927070617676, 1.9125949144363403, 2.4753503799438477, 2.0805349349975586, 2.3829846382141113, 2.195404052734375, 2.195404052734375, 2.017263889312744, 2.109997272491455, 2.195404052734375, 2.127429962158203, 2.210780143737793, 2.009037971496582, 2.073173999786377, 2.292243003845215, 2.195404052734375, 2.127429723739624, 1.446508526802063]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[46  5]
 [26 10]]",0.5700621604919434,71.55555725097656,77.0,"[33.5231819152832, 5.771925449371338, 33.5231819152832, 26.757648468017578, 5.341126918792725, 5.402292728424072, 6.0812087059021, 4.935854911804199, 73.51165771484375, 6.444839000701904, 6.328007221221924, 6.708206653594971, 8.692837715148926, 28.336383819580078, 5.101521968841553, 5.6898088455200195, 5.101521968841553, 4.774528980255127, 6.447782039642334, 4.661792278289795, 6.1352972984313965, 5.101521968841553, 29.112409591674805, 5.4022932052612305, 73.51165771484375, 22.016517639160156, 5.178666591644287, 73.51165771484375, 5.224311351776123, 5.442554950714111, 4.914316654205322, 8.895275115966797, 5.65585470199585, 5.4022932052612305, 5.224311351776123, 3.519679546356201]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[39 12]
 [ 3 33]]",0.8267622590065002,40.599998474121094,35.0,"[59.59481430053711, 66.87615966796875, 80.45561981201172, 57.96525573730469, 95.81507873535156, 57.030120849609375, -6.78554630279541, 41.52169418334961, 103.7824478149414, 41.52394104003906, 114.81656646728516, 104.83734130859375, 63.866634368896484, 71.56910705566406, 88.33887481689453, 73.99702453613281, 9.409584045410156, 83.83316802978516, 1.7582542896270752, 72.9583511352539, 44.383689880371094, 49.248329162597656, 84.67588806152344, 10.007682800292969, 103.7824478149414, 58.11709976196289, 48.064292907714844, 103.7824478149414, 66.76350402832031, 55.80169677734375, 77.18170928955078, 55.675621032714844, 37.997867584228516, 98.6808090209961, 47.20549392700195]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[39 12]
 [ 2 34]]",0.8385471701622009,39.117645263671875,21.0,"[65.05604553222656, 70.33111572265625, 87.66619873046875, 33.45159912109375, 104.19334411621094, 62.15973663330078, 146.12213134765625, 37.86320495605469, 113.15687561035156, 45.47699737548828, 124.27953338623047, 113.6153793334961, 78.03273010253906, 96.07540893554688, 74.72097778320312, 10.60770034790039, 91.17166900634766, 120.19723510742188, 79.37796020507812, 48.542335510253906, 53.706825256347656, 92.26446533203125, 11.282644271850586, 113.15687561035156, 63.39014434814453, 45.26813507080078, 113.15687561035156, 72.6983642578125, 60.83079528808594, 82.62651062011719, 60.689910888671875, 41.547149658203125, 107.29216766357422, 46.81573486328125]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[38 13]
 [ 2 34]]",0.8272209763526917,34.588233947753906,28.0,"[54.03154373168945, 69.1456298828125, 72.00787353515625, 52.4477424621582, 85.3479995727539, 51.95423126220703, -28.389854431152344, 55.85210037231445, 92.25709533691406, 39.13102722167969, 104.5567626953125, 95.57818603515625, 64.53563690185547, 78.79476928710938, 81.42048645019531, 10.856289863586426, 74.76089477539062, -9.752954483032227, 65.33766174316406, 41.4377555847168, 45.109405517578125, 76.00957489013672, 11.518522262573242, 92.25709533691406, 52.679046630859375, 62.143798828125, 92.25709533691406, 60.25947570800781, 50.91428756713867, 74.68091583251953, 50.63990020751953, 35.670875549316406, 87.76345825195312, 43.29271697998047]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[38 13]
 [ 2 34]]",0.8272209763526917,47.14706039428711,35.0,"[72.52174377441406, 83.76715087890625, 97.35543823242188, 45.37805938720703, 115.54838562011719, 69.38868713378906, 161.69216918945312, 55.9211540222168, 125.37498474121094, 51.282535552978516, 139.07843017578125, 127.1033706665039, 86.82674407958984, 106.60244750976562, 93.95002746582031, 12.905292510986328, 101.17597961425781, 133.26315307617188, 88.20849609375, 54.58855056762695, 60.067256927490234, 102.50595092773438, 13.68886947631836, 125.37498474121094, 70.67584991455078, 63.948787689208984, 125.37498474121094, 80.94166564941406, 67.93403625488281, 94.9775161743164, 67.73324584960938, 46.780399322509766, 118.9375, 53.769020080566406]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[37 14]
 [ 2 34]]",0.8158730268478394,34.3636360168457,28.0,"[62.034461975097656, 79.46072387695312, 82.88578796386719, 60.26549530029297, 98.35011291503906, 59.60340118408203, -95.85724639892578, 64.19773864746094, 106.25960540771484, 44.25788879394531, 120.43132019042969, 109.94154357910156, 74.14549255371094, 90.796630859375, 93.70804595947266, 11.754875183105469, 86.18284606933594, -57.51380157470703, 75.27503967285156, 47.06238555908203, 51.723876953125, 87.37651824951172, 12.418932914733887, 106.25960540771484, 60.51411437988281, 71.44660949707031, 106.25960540771484, 69.27243041992188, 58.38909912109375, 86.05580139160156, 58.13758850097656, 101.17520141601562, 49.63842010498047]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[42  9]
 [ 2 34]]",0.8724849820137024,36.90909194946289,35.0,"[56.84048843383789, 58.1298828125, 74.02568054199219, 40.23337936401367, 86.83229064941406, 54.9597053527832, 119.61678314208984, 28.53591537475586, 93.84473419189453, 43.61566162109375, 102.44992065429688, 95.00514221191406, 67.19331359863281, 80.36561584472656, 58.768272399902344, 15.48985481262207, 76.23379516601562, 100.36581420898438, 67.13029479980469, 45.55079650878906, 48.162723541259766, 78.49122619628906, 16.357986450195312, 93.84473419189453, 55.3486328125, 34.379905700683594, 93.84473419189453, 62.749488830566406, 53.99944305419922, 67.84870910644531, 53.4533576965332, 89.04303741455078, 44.06699752807617]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[37 14]
 [ 2 34]]",0.8158730268478394,42.46666717529297,42.0,"[75.52872467041016, 81.9843978881836, 99.69705963134766, 46.58701705932617, 111.47368621826172, 72.88758087158203, 56.166683197021484, 127.0084228515625, 56.081912994384766, 125.19185638427734, 122.28548431396484, 89.8239517211914, 71.6713638305664, 17.6661376953125, 96.26283264160156, -16.774106979370117, 90.57361602783203, 59.054264068603516, 63.56019592285156, 105.41077423095703, 18.64832878112793, 127.0084228515625, 73.65233612060547, 64.11643981933594, 127.0084228515625, 75.8659896850586, 71.50613403320312, 85.70887756347656, 70.98409271240234, 56.677433013916016]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[42  9]
 [ 2 34]]",0.8724849820137024,45.96666717529297,49.0,"[69.11727905273438, 77.30260467529297, 90.4749755859375, 48.7922477722168, 106.34564971923828, 66.71256256103516, 45.02755355834961, 114.94108581542969, 52.15398025512695, 127.03538513183594, 117.28550720214844, 81.84676361083984, 98.39490509033203, 17.622087478637695, 93.37725830078125, 122.7677993774414, 82.10392761230469, 54.69197463989258, 58.37327575683594, 95.7479248046875, 18.610273361206055, 114.94108581542969, 67.33894348144531, 52.58546829223633, 114.94108581542969, 76.45757293701172, 65.50470733642578, 86.77445220947266, 64.949951171875, 53.35251998901367]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
