CF1,f11,MAE1,MAE2,pred,date,countries
"[[73  1]
 [11  2]]",0.5870253443717957,134.61538696289062,154.0,"[3.3488779067993164, 7.330379009246826, 2.9152238368988037, 3.7085821628570557, 11.826932907104492, 2.9152238368988037, 3.5489397048950195, 3.1097793579101562, 2.808061361312866, 3.1097793579101562, 2.9946508407592773, 3.135822296142578, 3.1097793579101562]",2023-01-02T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'India', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[63 11]
 [ 1 12]]",0.7898550629615784,61.83333206176758,70.0,"[49.45463943481445, 82.70088195800781, 75.90769958496094, 84.45939636230469, 89.45458221435547, 56.85106658935547, 171.30751037597656, 48.63539505004883, 171.30751037597656, 75.552490234375, 51.11287307739258, 171.30751037597656]",2023-01-16T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[61 13]
 [ 0 13]]",0.7851851582527161,117.83333587646484,126.0,"[3.5936295986175537, 3.950590133666992, 4.783527851104736, 5.301464557647705, 5.4156951904296875, 3.4488515853881836, 9.26850414276123, 3.48625111579895, 9.26850414276123, 4.780138969421387, 3.6502232551574707, 9.26850414276123]",2023-01-30T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[65  9]
 [ 1 12]]",0.8172268867492676,74.66666412353516,84.0,"[22.199684143066406, 25.827178955078125, 30.853172302246094, 34.9784049987793, 35.54357147216797, 25.639923095703125, 64.19589233398438, 21.191505432128906, 64.19589233398438, 30.85504722595215, 22.520793914794922, 64.19589233398438]",2023-02-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[61 13]
 [ 1 12]]",0.7643188834190369,63.0,70.0,"[27.21436882019043, 25.29106903076172, 35.05353546142578, 40.69792175292969, 39.82387924194336, 30.836896896362305, 69.97860717773438, 6.2953901290893555, 69.97860717773438, 35.215599060058594, 27.135276794433594, 69.97860717773438]",2023-02-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[63 11]
 [ 1 12]]",0.7898550629615784,67.45454406738281,70.0,"[17.183177947998047, 10.887682914733887, 20.13117790222168, 23.684709548950195, 22.238367080688477, 23.444780349731445, 35.74152755737305, 35.74152755737305, 20.303133010864258, 16.87825584411621, 35.74152755737305]",2023-03-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[63 11]
 [ 1 12]]",0.7898550629615784,35.6363639831543,14.0,"[75.17786407470703, 93.82715606689453, 79.89685821533203, 99.07428741455078, 88.90491485595703, 145.97378540039062, 145.5025177001953, 145.5025177001953, 80.8204116821289, 70.09046936035156, 145.5025177001953]",2023-03-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[66  8]
 [ 2 11]]",0.8085387349128723,36.90909194946289,42.0,"[23.337039947509766, 24.558435440063477, 28.984445571899414, 33.674034118652344, 32.68074417114258, 26.060365676879883, 55.42363739013672, 55.42363739013672, 29.135190963745117, 23.01499366760254, 55.42363739013672]",2023-04-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[66  8]
 [ 2 11]]",0.8085387349128723,133.0,112.0,"[148.1272430419922, 146.61456298828125, 174.56378173828125, 210.45640563964844, 195.70840454101562, 188.6256866455078, 155.51451110839844, 176.37889099121094, 144.25694274902344, 331.3106689453125]",2023-04-24T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[67  7]
 [ 1 12]]",0.8468309640884399,12.600000381469727,14.0,"[22.10745620727539, 25.11162567138672, 29.764232635498047, 28.80301284790039, 33.880699157714844, 19.962902069091797, 11.909186363220215, 15.041301727294922, 22.409412384033203, 58.99089050292969]",2023-05-08T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[66  8]
 [ 2 11]]",0.8085387349128723,15.399999618530273,14.0,"[12.754546165466309, 33.99144744873047, 40.666412353515625, 19.378694534301758, 40.64379119873047, 22.84184455871582, 8.624039649963379, 9.97514533996582, 29.936189651489258, 21.23887825012207]",2023-05-22T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[66  8]
 [ 2 11]]",0.8085387349128723,7.0,0.0,"[7.396265983581543, 8.751031875610352, 9.632091522216797, 23.708240509033203, 10.501540184020996, 7.284092903137207, 20.04885482788086, 10.045875549316406]",2023-06-05T00:00:00.000000000,"['Austria', 'Costa Rica', 'France', 'Ireland', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[67  7]
 [ 2 11]]",0.8233701586723328,11.199999809265137,14.0,"[10.537959098815918, 28.67746353149414, 9.762052536010742, 25.149932861328125, 8.13884162902832]",2023-06-19T00:00:00.000000000,"['France', 'Ireland', 'Spain', 'Sweden', 'USA']"
"[[68  6]
 [ 2 11]]",0.8388888835906982,0.0,0.0,[10.650667190551758],2023-07-03T00:00:00.000000000,['USA']
"[[68  6]
 [ 3 10]]",0.8137931227684021,-1,-1,"[[0.13789348304271698], [0.13546928763389587], [0.13843446969985962], [0.6999741792678833], [0.13843446969985962], [0.8351437449455261], [0.3007024824619293], [0.13546928763389587], [0.1299799531698227], [0.21528108417987823], [0.13301126658916473], [0.13546928763389587], [0.9872798919677734], [0.13789348304271698], [0.14901767671108246], [0.20908868312835693], [0.8383727073669434], [0.1595047563314438], [0.14233219623565674], [0.6814711093902588], [0.13546928763389587], [0.1403539627790451], [0.18362268805503845], [0.13546928763389587], [0.30828049778938293], [0.7400305271148682], [0.12921100854873657], [0.4248591661453247], [0.13546928763389587], [0.1383551061153412], [0.13546928763389587], [0.40860623121261597], [0.13546928763389587], [0.13546928763389587], [0.39898449182510376], [0.4303409159183502], [0.8746119737625122], [0.13546928763389587], [0.32589712738990784], [0.13546928763389587], [0.4621804356575012], [0.13843446969985962], [0.12766094505786896], [0.13546928763389587], [0.12953051924705505], [0.4351184070110321], [0.3369760513305664], [0.13546928763389587], [0.13546928763389587], [0.6152153015136719], [0.2252342402935028], [0.20437943935394287], [0.13546928763389587], [0.13546928763389587], [0.30233415961265564], [0.2252342402935028], [0.4705369770526886], [0.22223323583602905], [0.1317848116159439], [0.21528108417987823], [0.1963583379983902], [0.8847649693489075], [0.1307423859834671], [0.13935156166553497], [0.13546928763389587], [0.13843446969985962], [0.13546928763389587], [0.6472901105880737], [0.13428106904029846], [0.16366343200206757], [0.13546928763389587], [0.991956353187561], [0.8591817617416382], [0.2469947636127472], [0.13964441418647766], [0.7980151772499084], [0.625412106513977], [0.12991751730442047], [0.19518910348415375], [0.13546928763389587], [0.13301126658916473], [0.9893803596496582], [0.1307423859834671], [0.15457308292388916], [0.138434499502182], [0.8303834199905396], [0.13966062664985657]]",2023-07-17T00:00:00.000000000,[]
