CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  4]
 [ 0  6]]",0.8623417615890503,89.5999984741211,84.0,"[24.126983642578125, 9.842065811157227, 24.126983642578125, 21.237518310546875, 19.74556541442871]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,75.5999984741211,70.0,"[24.96586036682129, 13.437036514282227, 24.96586036682129, 22.438213348388672, 22.194360733032227]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,47.599998474121094,42.0,"[41.25545883178711, 25.416187286376953, 41.25545883178711, 37.45538330078125, 38.0993766784668]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,25.200000762939453,28.0,"[42.00165557861328, 30.51553726196289, 42.00165557861328, 40.1100959777832, 38.56972885131836]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,16.799999237060547,14.0,"[53.56399917602539, 35.48564910888672, 53.56399917602539, 49.35070037841797, 48.144195556640625]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,30.799999237060547,28.0,"[67.84636688232422, 58.54616928100586, 67.84636688232422, 64.50592803955078, 62.870460510253906]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,30.799999237060547,28.0,"[55.104522705078125, 43.52775573730469, 55.104522705078125, 51.5489387512207, 50.33483123779297]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,9.333333015441895,0.0,"[7.639993667602539, 34.35163116455078, 45.012474060058594]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,0.0,0.0,[36.20307159423828],2021-03-29T00:00:00.000000000,['Panama']
"[[77  4]
 [ 0  6]]",0.8623417615890503,14.0,14.0,[34.2675895690918],2021-04-12T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,14.0,14.0,[26.394330978393555],2021-04-26T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,-1,-1,"[[0.7785179018974304], [0.042558327317237854], [0.046182725578546524], [0.038475725799798965], [0.046182725578546524], [0.0513482391834259], [0.043272681534290314], [0.042558327317237854], [0.9206667542457581], [0.0513482391834259], [0.039715494960546494], [0.042558327317237854], [0.05190535634756088], [0.7719135880470276], [0.01993272453546524], [0.7455289959907532], [0.7644386887550354], [0.04830267280340195], [0.0473782904446125], [0.05063075199723244], [0.042558327317237854], [0.5421657562255859], [0.03483032435178757], [0.042558327317237854], [0.03198961541056633], [0.03303447738289833], [0.03559819236397743], [0.029750168323516846], [0.042558327317237854], [0.04608282074332237], [0.042558327317237854], [0.046182725578546524], [0.042558327317237854], [0.042558327317237854], [0.03080694191157818], [0.041378818452358246], [0.046182725578546524], [0.042558327317237854], [0.039348918944597244], [0.042558327317237854], [0.03535108640789986], [0.046182725578546524], [0.03401269391179085], [0.042558327317237854], [0.03593173623085022], [0.050455641001462936], [0.029185837134718895], [0.042558327317237854], [0.042558327317237854], [0.031963709741830826], [0.05205730348825455], [0.05201377719640732], [0.042558327317237854], [0.042558327317237854], [0.03483032435178757], [0.05205730348825455], [0.7652761936187744], [0.04142387583851814], [0.7894352078437805], [0.0513482391834259], [0.03146317973732948], [0.046182725578546524], [0.03721754997968674], [0.04734781011939049], [0.042558327317237854], [0.046182725578546524], [0.042558327317237854], [0.04830267280340195], [0.04497392475605011], [0.04522603005170822], [0.042558327317237854], [0.042558327317237854], [0.04466888681054115], [0.0513482391834259], [0.7504822611808777], [0.04209428280591965], [0.04858500510454178], [0.053132932633161545], [0.04642472043633461], [0.042558327317237854], [0.039715494960546494], [0.042558327317237854], [0.03721754997968674], [0.03327202424407005], [0.046182721853256226], [0.044668883085250854], [0.04774531349539757]]",2021-05-10T00:00:00.000000000,[]
