CF1,f11,MAE1,MAE2,pred,date,countries
"[[ 0 51]
 [ 0 36]]",0.2926829159259796,109.86111450195312,119.0,"[2.739084243774414, 3.06331729888916, 2.739084243774414, 0.3062283396720886, 2.854966163635254, 2.8845484256744385, 3.2128987312316895, 2.658961057662964, 2.8845486640930176, 3.3887648582458496, 3.3322601318359375, 3.516139507293701, 0.05589306354522705, 2.934448719024658, 2.739084243774414, 3.0236024856567383, 2.739084243774414, 2.580937385559082, 3.390188217163086, 2.5264134407043457, 3.239058494567871, 2.739084243774414, 3.122091293334961, 2.8845486640930176, 2.8845486640930176, 2.658961057662964, 2.7763938903808594, 2.8845486640930176, 2.7984697818756104, 2.9040205478668213, 2.6485440731048584, 2.7297627925872803, 3.007181167602539, 2.8845486640930176, 2.7984697818756104, 1.9413686990737915]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[41 10]
 [24 12]]",0.5603448152542114,68.83333587646484,63.0,"[43.77347946166992, 10.331575393676758, 43.77347946166992, 31.424654006958008, 9.463205337524414, 9.586499214172363, 10.95500659942627, 8.64628791809082, 95.21088409423828, 11.68798542022705, 11.452483177185059, 12.218860626220703, 2.611149311065674, 37.746498107910156, 8.980226516723633, 10.166051864624023, 8.980226516723633, 8.321099281311035, 11.693918228149414, 8.093852996826172, 11.064035415649414, 8.980226516723633, 38.985107421875, 9.586499214172363, 95.21088409423828, 29.564964294433594, 9.13572883605957, 95.21088409423828, 9.227737426757812, 9.667655944824219, 8.602871894836426, 13.599814414978027, 10.097610473632812, 9.586499214172363, 9.227736473083496, 4.379866600036621]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[32 19]
 [ 2 34]]",0.7584930658340454,37.79999923706055,28.0,"[62.60103988647461, 70.34178161621094, 83.35257720947266, 60.71501922607422, 98.86246490478516, 60.31867599487305, 8.220439910888672, 44.60068893432617, 106.62919616699219, 49.509830474853516, 118.37753295898438, 108.68585968017578, 67.74827575683594, 74.77977752685547, 91.27657318115234, 77.37459564208984, 18.114643096923828, 86.59131622314453, 8.8704195022583, 75.70343017578125, 51.15176773071289, 52.39080810546875, 88.05778503417969, 19.439132690429688, 106.62919616699219, 61.06096649169922, 51.260005950927734, 106.62919616699219, 69.89051818847656, 59.121707916259766, 80.06153869628906, 58.76150894165039, 41.54157638549805, 101.64060974121094, 50.27658462524414]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[37 14]
 [ 2 34]]",0.8158730268478394,36.64706039428711,21.0,"[45.87177276611328, 47.20333480834961, 59.56431579589844, 24.405717849731445, 69.72870635986328, 44.338863372802734, 95.91167449951172, 21.671506881713867, 75.46350860595703, 40.81597900390625, 82.4011459350586, 76.70864868164062, 54.14236068725586, 64.55638885498047, 46.435943603515625, 20.197711944580078, 61.23714065551758, 80.60364532470703, 53.974430084228516, 40.949642181396484, 38.89828872680664, 63.177188873291016, 21.675548553466797, 75.46350860595703, 44.64561462402344, 26.745662689208984, 75.46350860595703, 50.53069305419922, 43.57710266113281, 54.92063522338867, 43.11998748779297, 32.12710952758789, 71.48043823242188, 34.1794548034668]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[38 13]
 [ 2 34]]",0.8272209763526917,33.35293960571289,28.0,"[68.96092224121094, 87.89547729492188, 91.080322265625, 66.83192443847656, 107.68656921386719, 66.62055206298828, -17.94911766052246, 71.18222045898438, 115.97952270507812, 60.69820022583008, 131.70529174804688, 121.16744995117188, 82.06459045410156, 99.52836608886719, 102.94914245605469, 28.752477645874023, 94.4356689453125, -7.1168622970581055, 82.79609680175781, 61.00495529174805, 58.07939529418945, 96.33482360839844, 30.978185653686523, 115.97952270507812, 67.27006530761719, 79.018310546875, 115.97952270507812, 76.7696533203125, 65.35682678222656, 94.37635803222656, 64.8639907836914, 46.684417724609375, 110.61258697509766, 55.788665771484375]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[37 14]
 [ 2 34]]",0.8158730268478394,33.97058868408203,35.0,"[55.904136657714844, 60.247310638427734, 72.87615966796875, 32.8913688659668, 85.44417572021484, 53.95155334472656, 117.63594055175781, 34.68077087402344, 92.40107727050781, 51.49776077270508, 101.3246841430664, 94.02767181396484, 66.02313232421875, 79.11795043945312, 63.10221481323242, 26.460845947265625, 75.11959075927734, 98.53158569335938, 66.1573486328125, 51.191951751708984, 47.31450271606445, 77.08362579345703, 28.2933349609375, 92.40107727050781, 54.46463394165039, 40.372344970703125, 92.40107727050781, 61.6894645690918, 52.99308395385742, 68.48173522949219, 52.54695510864258, 38.72511672973633, 87.65686798095703, 42.045440673828125]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[38 13]
 [ 3 33]]",0.815482497215271,30.969696044921875,28.0,"[60.4962272644043, 76.69583892822266, 79.32688903808594, 58.652374267578125, 93.55809783935547, 58.59909439086914, -157.6255645751953, 62.426639556884766, 100.40553283691406, 55.22615432739258, 114.01972198486328, 104.97699737548828, 71.67753601074219, 86.60794830322266, 89.49325561523438, 28.5572509765625, 82.26570129394531, -119.41617584228516, 72.3543930053711, 55.06515121459961, 51.321659088134766, 83.8327865600586, 30.64158058166504, 100.40553283691406, 59.088993072509766, 69.1012191772461, 100.40553283691406, 67.23554992675781, 57.524085998535156, 82.20328521728516, 57.08523178100586, 96.04667663574219, 49.36268615722656]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[41 10]
 [ 5 31]]",0.8252778053283691,44.54545593261719,35.0,"[69.8019790649414, 80.1146240234375, 90.49290466308594, 49.67790985107422, 106.09174346923828, 67.75132751464844, 145.97659301757812, 53.360679626464844, 114.45792388916016, 62.11518096923828, 127.54325103759766, 118.54707336425781, 82.50098419189453, 98.17235565185547, 87.10302734375, 29.974206924438477, 93.01541900634766, 123.00277709960938, 81.99200439453125, 62.37774658203125, 59.400169372558594, 96.3192138671875, 32.01258850097656, 114.45792388916016, 67.93194580078125, 60.737274169921875, 114.45792388916016, 77.03101348876953, 66.61761474609375, 87.9539566040039, 65.753173828125, 108.68836975097656, 54.412750244140625]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[36 15]
 [ 3 33]]",0.7928571701049805,28.46666717529297,28.0,"[56.9663200378418, 61.484153747558594, 73.61839294433594, 12.721867561340332, 82.038818359375, 55.01467514038086, 26.565359115600586, 92.69232940673828, 51.92793655395508, 90.63574981689453, 90.95393371582031, 66.82393646240234, 22.4891414642334, 28.18817138671875, 71.55467224121094, -178.6044158935547, 67.12692260742188, 51.8089714050293, 48.55820846557617, 77.60411071777344, 30.065065383911133, 92.69232940673828, 55.592342376708984, 34.55833053588867, 92.69232940673828, 57.622650146484375, 54.06685256958008, 63.58971405029297, 53.69296646118164, 38.304542541503906]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[40 11]
 [ 3 33]]",0.8380318880081177,26.366666793823242,21.0,"[44.00331497192383, 49.31825637817383, 57.345462799072266, 31.704532623291016, 67.07169342041016, 42.269771575927734, 33.325626373291016, 72.44425964355469, 44.07744598388672, 79.39308166503906, 73.3770751953125, 51.66677474975586, 62.27382278442383, 27.57569122314453, 59.36989212036133, 76.55022430419922, 52.40694046020508, 42.91777038574219, 37.27231216430664, 60.0775032043457, 29.57269287109375, 72.44425964355469, 43.001529693603516, 37.514827728271484, 72.44425964355469, 48.48298263549805, 41.48683547973633, 55.36370849609375, 41.39691162109375, 34.52409362792969]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
