CF1,f11,MAE1,MAE2,pred,date,countries
"[[ 0 50]
 [ 0 37]]",0.2983871102333069,92.55555725097656,98.0,"[31.1760196685791, 25.077119827270508, 18.85369300842285, 56.40222930908203, 42.668495178222656, 36.930335998535156, 69.1395034790039, 52.984832763671875, 49.753135681152344, 56.40223693847656, 55.86033630371094, 56.40223693847656, 43.425025939941406, 47.649322509765625, 29.457700729370117, 24.825132369995117, 69.90532684326172, 65.40680694580078, 34.62273406982422, 39.64948272705078, 77.79254913330078, 30.711015701293945, 21.11671257019043, 47.649322509765625, 45.02887725830078, 43.00616455078125, 56.40223693847656, 36.95915985107422, 56.40222930908203, 48.43871307373047, 48.92829132080078, 42.4478759765625, 56.40223693847656, 60.812957763671875, 43.15856170654297, 48.43871307373047]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[23 27]
 [ 0 37]]",0.6814051270484924,71.16666412353516,70.0,"[38.75611114501953, 31.973541259765625, 27.876619338989258, 68.27466583251953, 52.40291213989258, 45.29493713378906, 83.6036148071289, 64.73626708984375, 61.15420913696289, 68.27467346191406, 67.50033569335938, 68.27467346191406, 53.212223052978516, 57.93882369995117, 36.89848709106445, 31.360675811767578, 84.38914489746094, 79.0554428100586, 42.613914489746094, 49.42184066772461, 93.68126678466797, 38.00511169433594, 29.47197723388672, 57.93882369995117, 55.26471710205078, 52.48820495605469, 68.27467346191406, 45.411495208740234, 68.27466583251953, 58.91655731201172, 59.59064865112305, 52.14601135253906, 68.27467346191406, 73.8395004272461, 52.70945358276367, 58.916561126708984]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[23 27]
 [ 0 37]]",0.6814051270484924,47.44444274902344,42.0,"[46.87712097167969, 39.45576477050781, 33.89933395385742, 80.89351654052734, 62.824981689453125, 54.19536209106445, 99.03126525878906, 77.32927703857422, 73.42381286621094, 80.89351654052734, 79.84487915039062, 80.89351654052734, 63.67293930053711, 68.87844848632812, 44.90707778930664, 38.39503860473633, 99.81317138671875, 93.58899688720703, 51.12724685668945, 60.00458526611328, 110.59122467041016, 45.78107833862305, 35.843204498291016, 68.87844848632812, 66.23410034179688, 62.57787322998047, 80.89351654052734, 54.4219856262207, 80.89351654052734, 70.06537628173828, 70.95500946044922, 62.53032302856445, 80.89351654052734, 87.75617980957031, 62.88071060180664, 70.06537628173828]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[24 26]
 [ 0 37]]",0.6943243145942688,31.11111068725586,28.0,"[78.3718490600586, 65.71424865722656, 53.31210708618164, 136.55519104003906, 105.56951141357422, 90.96797180175781, 167.40740966796875, 130.27267456054688, 123.5387954711914, 136.55520629882812, 134.81820678710938, 136.55520629882812, 107.05059051513672, 116.04183197021484, 74.94031524658203, 63.849082946777344, 168.78952026367188, 158.1715850830078, 85.71234130859375, 100.63858795166016, 187.199462890625, 76.5807113647461, 55.827392578125, 116.04183197021484, 111.36029815673828, 105.27205657958984, 136.55520629882812, 91.32213592529297, 136.55519104003906, 118.0501937866211, 119.53095245361328, 105.06501007080078, 136.55520629882812, 148.13037109375, 105.7726821899414, 118.0501937866211]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[26 24]
 [ 0 37]]",0.7196562886238098,25.200000762939453,28.0,"[63.87184143066406, 54.16022491455078, 45.04939270019531, 109.68917083740234, 54.005592346191406, 73.6341323852539, 134.32594299316406, 105.11272430419922, 99.94954681396484, 109.6891860961914, 108.20844268798828, 109.6891860961914, 86.55430603027344, 93.46027374267578, 61.29290771484375, 52.46473693847656, 135.32522583007812, 126.9078140258789, 69.51099395751953, 81.91900634765625, 149.873046875, 62.2947998046875, 47.53998565673828, 93.46027374267578, 90.0895767211914, 76.01873779296875, 109.6891860961914, 73.97972106933594, 109.68917083740234, 95.08528137207031, 96.33282470703125, 109.6891860961914, 119.12921142578125, 85.39422607421875, 95.08528137207031]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[26 24]
 [ 0 37]]",0.7196562886238098,27.200000762939453,28.0,"[63.868595123291016, 57.62710952758789, 38.03845977783203, 102.97512817382812, 42.28205108642578, 71.0230712890625, 126.57217407226562, 101.8563003540039, 98.65701293945312, 102.97514343261719, 101.4373779296875, 102.97514343261719, 83.97259521484375, 88.55679321289062, 62.59391403198242, 54.350650787353516, 126.75555419921875, 119.14881896972656, 67.62020874023438, 83.81493377685547, 140.0224609375, 61.270328521728516, 41.97661209106445, 88.55679321289062, 88.05387115478516, 70.16031646728516, 102.97514343261719, 71.8193359375, 102.97512817382812, 90.27078247070312, 91.94818878173828, 102.97514343261719, 113.47547149658203, 81.82658386230469, 90.27078247070312]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 23]
 [ 0 37]]",0.7320926785469055,26.399999618530273,28.0,"[56.3754768371582, 49.01314163208008, 40.36941909790039, 93.4410400390625, 50.125823974609375, 63.95164108276367, 114.07271575927734, 90.49925231933594, 86.65181732177734, 93.44104766845703, 92.01155853271484, 93.44104766845703, 74.9281997680664, 80.15753173828125, 54.54194259643555, 47.20686721801758, 114.69844818115234, 107.77367401123047, 60.647823333740234, 72.2147445678711, 126.57121276855469, 54.75801467895508, 42.60438919067383, 80.15753173828125, 78.07843017578125, 65.1084213256836, 93.44104766845703, 64.36798858642578, 93.4410400390625, 81.56136322021484, 82.73775482177734, 93.44104766845703, 101.74443817138672, 73.67434692382812, 81.56137084960938]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[28 22]
 [ 0 37]]",0.7443910241127014,32.66666793823242,28.0,"[51.01652908325195, 41.80105972290039, 96.81903076171875, 54.26778030395508, 66.26478576660156, 118.08795166015625, 93.59159851074219, 89.52114868164062, 96.81903839111328, 95.3868408203125, 96.81903839111328, 44.326515197753906, 83.05809020996094, 56.36210632324219, 48.78781509399414, 118.77915954589844, 111.61334228515625, 62.826332092285156, 56.51614761352539, 131.08645629882812, 56.72109603881836, 44.24247741699219, 83.05809020996094, 80.75215148925781, 68.03680419921875, 96.81903839111328, 96.81903076171875, 84.4958724975586, 85.67980194091797, 96.81903839111328, 105.29185485839844, 76.31526947021484, 84.4958724975586]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[28 22]
 [ 0 37]]",0.7443910241127014,22.75,14.0,"[37.80459976196289, 36.21297073364258, 80.28716278076172, 49.8476448059082, 45.671573638916016, 6.7544755935668945, 64.33028411865234, 50.73611831665039, 80.28716278076172, 79.27205657958984, 80.28716278076172, 16.84161949157715, 37.84220504760742, 47.0956916809082, 41.04151916503906, 7.486304759979248, 7.776387691497803, 42.745643615722656, 39.80156707763672, 107.84487915039062, 40.025115966796875, 27.84662628173828, 69.15736389160156, 4.780905723571777, 45.6487922668457, 80.28716278076172, 66.69088745117188, 15.958381652832031, 80.28716278076172, 5.879807472229004, 28.471046447753906, 39.759735107421875]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[30 20]
 [ 0 37]]",0.7686170339584351,18.200000762939453,14.0,"[30.339868545532227, 30.758691787719727, 34.193359375, 39.61780548095703, 33.45789337158203, -25.383121490478516, 41.63621520996094, 38.72545623779297, 58.816734313964844, 57.91875457763672, 58.816734313964844, 28.26996421813965, 36.87610626220703, 32.835304260253906, -13.376829147338867, -5.436399459838867, 31.80544090270996, 6.4102983474731445, 78.01265716552734, 30.39788246154785, 26.813692092895508, 29.93370819091797, 5.464560508728027, 36.329925537109375, 34.193359375, 30.623903274536133, 7.819367408752441, 58.816734313964844, 5.876506805419922, 29.478933334350586]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
