CF1,f11,MAE1,MAE2,pred,date,countries
"[[72  5]
 [ 9  1]]",0.5181962251663208,88.19999694824219,98.0,"[1.7607293128967285, 1.6465436220169067, 2.0387232303619385, 6.983002662658691, 2.2491931915283203, 1.8483469486236572, 1.9914261102676392, 1.7124687433242798, 1.7551146745681763, 2.252044439315796]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'India', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[67 10]
 [ 1  9]]",0.7724137902259827,48.22222137451172,42.0,"[30.842988967895508, 46.061222076416016, 17.582231521606445, 58.51601028442383, 67.96878814697266, 33.19260025024414, 39.177391052246094, 44.34516143798828, 28.338665008544922]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[66 11]
 [ 1  9]]",0.7583333253860474,34.22222137451172,28.0,"[37.75935363769531, 54.003700256347656, 24.952863693237305, 69.4243392944336, 78.50813293457031, 41.025909423828125, 46.699363708496094, 52.46455383300781, 34.359474182128906]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 2  8]]",0.8066666722297668,35.77777862548828,28.0,"[27.640336990356445, 35.67549133300781, 26.124670028686523, 46.33949661254883, 49.44587707519531, 30.336793899536133, 32.0981559753418, 35.31034469604492, 25.788232803344727]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[69  8]
 [ 1  9]]",0.8027210831642151,32.66666793823242,28.0,"[20.482105255126953, 23.113964080810547, 22.87643051147461, 27.11465835571289, 34.608299255371094, 22.502628326416016, 15.009129524230957, 23.41903305053711, 19.250741958618164]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[69  8]
 [ 1  9]]",0.8027210831642151,22.0,14.0,"[38.99043655395508, 46.58985900878906, 38.84413146972656, 35.18638610839844, 71.56928253173828, 46.70872497558594, 36.125946044921875]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[67 10]
 [ 1  9]]",0.7724137902259827,14.0,14.0,"[27.233985900878906, 31.24864387512207, 30.86420249938965, 24.113298416137695, 1.3367946147918701, 31.42757797241211, 25.60487174987793]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[67 10]
 [ 1  9]]",0.7724137902259827,7.0,0.0,"[25.870567321777344, 27.813783645629883, 32.38766098022461, 29.81265640258789, 4.342825889587402, 4.855276107788086]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand']"
"[[66 11]
 [ 1  9]]",0.7583333253860474,7.0,0.0,"[38.64208221435547, 6.291957855224609, 43.020721435546875, 5.54911994934082]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia']"
"[[67 10]
 [ 0 10]]",0.7986111044883728,7.0,0.0,"[3.7753963470458984, 38.164649963378906]",2022-10-24T00:00:00.000000000,"['Australia', 'Georgia']"
"[[67 10]
 [ 1  9]]",0.7724137902259827,28.0,28.0,[38.491153717041016],2022-11-07T00:00:00.000000000,['Georgia']
"[[67 10]
 [ 1  9]]",0.7724137902259827,-1,-1,"[[0.09969574958086014], [0.09840424358844757], [0.8750540018081665], [0.09649396687746048], [0.7963058948516846], [0.599287211894989], [0.09872357547283173], [0.09840424358844757], [0.09546329826116562], [0.9049407243728638], [0.16799317300319672], [0.8905718326568604], [0.09492110460996628], [0.09969574958086014], [0.42500001192092896], [0.09643284976482391], [0.09998343139886856], [0.10086281597614288], [0.10048313438892365], [0.10046115517616272], [0.09840424358844757], [0.10100232064723969], [0.09464842081069946], [0.09840424358844757], [0.09310125559568405], [0.09368251264095306], [0.3038860559463501], [0.09180276840925217], [0.09840424358844757], [0.17542767524719238], [0.09840424358844757], [0.09998343139886856], [0.09840424358844757], [0.09840424358844757], [0.79510897397995], [0.8505781888961792], [0.09998343139886856], [0.09840424358844757], [0.09691547602415085], [0.09840424358844757], [0.09492110460996628], [0.09998343139886856], [0.09421367198228836], [0.09840424358844757], [0.09522148221731186], [0.100540392100811], [0.9260600209236145], [0.09840424358844757], [0.9847620725631714], [0.09308665990829468], [0.537247359752655], [0.09984620660543442], [0.09840424358844757], [0.09840424358844757], [0.09464842081069946], [0.537247359752655], [0.09840796142816544], [0.8685585260391235], [0.09643284976482391], [0.8286179900169373], [0.09280267357826233], [0.09998343139886856], [0.8352640867233276], [0.10047053545713425], [0.09840424358844757], [0.09998343139886856], [0.09840424358844757], [0.8062025308609009], [0.09946781396865845], [0.09957625716924667], [0.09840424358844757], [0.09840424358844757], [0.09933602809906006], [0.599287211894989], [0.10069703310728073], [0.09819456189870834], [0.10097766667604446], [0.20514996349811554], [0.8268895745277405], [0.09840424358844757], [0.271864116191864], [0.09840424358844757], [0.09587316960096359], [0.09381259977817535], [0.7963058948516846], [0.09933602809906006], [0.8896669149398804]]",2022-11-21T00:00:00.000000000,[]
