CF1,f11,MAE1,MAE2,pred,date,countries
"[[70  4]
 [11  2]]",0.5568760633468628,134.61538696289062,154.0,"[2.858062267303467, 0.7173302173614502, 2.610382556915283, 3.0635056495666504, 0.7286922931671143, 2.610382556915283, 2.9723262786865234, 2.7215018272399902, 2.5491771697998047, 2.7215018272399902, 2.6557469367980957, 2.7363767623901367, 2.7215018272399902]",2023-01-02T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'India', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[54 20]
 [ 0 13]]",0.704483687877655,98.0,112.0,"[24.15577507019043, 26.09246253967285, 36.31129455566406, 40.025794982910156, 42.39455032348633, 25.020854949951172, 79.16105651855469, 23.996055603027344, 79.16105651855469, 36.15271759033203, 25.052217483520508, 79.16105651855469]",2023-01-16T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[56 18]
 [ 0 13]]",0.7262237668037415,78.16666412353516,84.0,"[28.090620040893555, 29.177431106567383, 38.16526412963867, 42.663822174072266, 43.59175491333008, 29.124216079711914, 76.68285369873047, 27.142751693725586, 76.68285369873047, 38.141273498535156, 28.554906845092773, 76.68285369873047]",2023-01-30T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[58 16]
 [ 0 13]]",0.7489177584648132,78.16666412353516,84.0,"[24.006351470947266, 25.800655364990234, 30.05458641052246, 33.667999267578125, 33.50151824951172, 24.721040725708008, 54.964115142822266, 22.93427848815918, 54.964115142822266, 30.115129470825195, 24.11651039123535, 54.964115142822266]",2023-02-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[57 17]
 [ 0 13]]",0.7374401092529297,73.5,84.0,"[17.21724510192871, 15.574892044067383, 21.124439239501953, 23.710569381713867, 23.44844627380371, 17.762216567993164, 37.77963638305664, 2.9744935035705566, 37.77963638305664, 21.18026351928711, 17.217933654785156, 37.77963638305664]",2023-02-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[64 10]
 [ 1 12]]",0.8032888174057007,50.90909194946289,56.0,"[33.3640022277832, 29.037626266479492, 39.4846305847168, 44.826446533203125, 43.36559295654297, 34.15284729003906, 67.54875946044922, 67.54875946044922, 39.6802864074707, 33.12831497192383, 67.54875946044922]",2023-03-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[60 14]
 [ 1 12]]",0.752136766910553,48.3636360168457,56.0,"[26.034198760986328, 23.96567153930664, 29.98956298828125, 33.13902282714844, 32.27067565917969, 26.861682891845703, 46.30599594116211, 46.30599594116211, 30.09191131591797, 25.94121742248535, 46.30599594116211]",2023-03-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[64 10]
 [ 2 11]]",0.7806722521781921,31.81818199157715,42.0,"[30.535837173461914, 30.98610496520996, 34.60506820678711, 38.65719985961914, 37.30276870727539, 32.4286994934082, 54.19589614868164, 54.19589614868164, 34.77500915527344, 30.280975341796875, 54.19589614868164]",2023-04-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[65  9]
 [ 2 11]]",0.7943262457847595,12.600000381469727,14.0,"[35.810367584228516, 38.74132537841797, 43.6634407043457, 47.54657745361328, 47.96648406982422, 38.524417877197266, 6.149260520935059, 43.675865173339844, 36.08741760253906, 72.60810852050781]",2023-04-24T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[64 10]
 [ 2 11]]",0.7806722521781921,14.0,14.0,"[34.036827087402344, 36.54505157470703, 40.58869552612305, 25.896543502807617, 43.84751892089844, 1.9594424962997437, -204.46585083007812, 5.222768783569336, 34.39019012451172, 64.00508117675781]",2023-05-08T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[68  6]
 [ 2 11]]",0.8388888835906982,16.799999237060547,14.0,"[3.1448402404785156, 31.135591506958008, 33.985687255859375, -8.872384071350098, 34.64130401611328, -74.74813079833984, -574.0844116210938, -73.80529022216797, 29.5164737701416, -3.0744049549102783]",2023-05-22T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
