CF1,f11,MAE1,MAE2,pred,date,countries
"[[ 0 25]
 [ 0  5]]",0.1428571492433548,78.4000015258789,98.0,"[2.7334747314453125, 9.876343727111816, 3.041717767715454, 2.7334747314453125, 2.657381296157837]",2022-06-20T00:00:00.000000000,"['Australia', 'India', 'Malaysia', 'Mauritius', 'Singapore']"
"[[23  2]
 [ 0  5]]",0.8958333134651184,42.0,28.0,"[60.45741653442383, 41.68156814575195, 60.45741653442383, 37.79502487182617]",2022-07-04T00:00:00.000000000,"['Australia', 'Malaysia', 'Mauritius', 'Singapore']"
"[[23  2]
 [ 0  5]]",0.8958333134651184,28.0,14.0,"[58.72910690307617, 41.32425308227539, 58.72910690307617, 37.42525100708008]",2022-07-18T00:00:00.000000000,"['Australia', 'Malaysia', 'Mauritius', 'Singapore']"
"[[23  2]
 [ 0  5]]",0.8958333134651184,17.5,14.0,"[56.664371490478516, 42.448978424072266, 56.664371490478516, 38.254703521728516]",2022-08-01T00:00:00.000000000,"['Australia', 'Malaysia', 'Mauritius', 'Singapore']"
"[[23  2]
 [ 0  5]]",0.8958333134651184,28.0,14.0,"[33.302833557128906, 11.803948402404785, 33.302833557128906, 7.955661296844482]",2022-08-15T00:00:00.000000000,"['Australia', 'Malaysia', 'Mauritius', 'Singapore']"
"[[23  2]
 [ 0  5]]",0.8958333134651184,23.33333396911621,14.0,"[47.75871276855469, 11.69866943359375, 47.75871276855469]",2022-08-29T00:00:00.000000000,"['Australia', 'Malaysia', 'Mauritius']"
"[[23  2]
 [ 0  5]]",0.8958333134651184,9.333333015441895,0.0,"[47.55924606323242, 11.368096351623535, 5.3359174728393555]",2022-09-12T00:00:00.000000000,"['Australia', 'Malaysia', 'Mauritius']"
"[[23  2]
 [ 0  5]]",0.8958333134651184,9.333333015441895,14.0,"[53.978336334228516, 30.087646484375, 4.130846977233887]",2022-09-26T00:00:00.000000000,"['Australia', 'Malaysia', 'Mauritius']"
"[[23  2]
 [ 0  5]]",0.8958333134651184,14.0,0.0,"[43.56175231933594, -20.483104705810547]",2022-10-10T00:00:00.000000000,"['Australia', 'Malaysia']"
"[[23  2]
 [ 0  5]]",0.8958333134651184,0.0,0.0,[8.770844459533691],2022-10-24T00:00:00.000000000,['Australia']
"[[23  2]
 [ 0  5]]",0.8958333134651184,-1,-1,"[[0.9602407813072205], [0.12201517820358276], [0.12220809608697891], [0.12043002247810364], [0.12386854737997055], [0.1226930022239685], [0.11995989084243774], [0.11911465972661972], [0.12228893488645554], [0.958640992641449], [0.8193314075469971], [0.12312036007642746], [0.12228893488645554], [0.12228893488645554], [0.12374771386384964], [0.8349039554595947], [0.979646623134613], [0.12043002247810364], [0.12414725124835968], [0.1226930022239685], [0.6995382308959961], [0.12312036007642746], [0.8193314075469971], [0.12361825257539749], [0.12228893488645554], [0.12265260517597198], [0.12124452739953995], [0.12350697815418243], [0.12228896468877792], [0.12265260517597198]]",2022-11-07T00:00:00.000000000,[]
