CF1,f11,MAE1,MAE2,pred,date,countries
"[[21  0]
 [ 8  1]]",0.5199999809265137,129.11111450195312,168.0,"[-2.4362847805023193, -2.7640910148620605, -54.80003356933594, -2.261976957321167, -2.392979621887207, -2.329216957092285, -2.3355815410614014, -2.558640241622925, -2.392979621887207]",2023-01-02T00:00:00.000000000,"['Austria', 'France', 'India', 'Ireland', 'Mauritius', 'Singapore', 'Spain', 'Sweden', 'USA']"
"[[ 9 12]
 [ 0  9]]",0.6000000238418579,131.25,154.0,"[-19.254236221313477, -27.018918991088867, -27.789220809936523, -54.8184928894043, -16.766403198242188, -23.550626754760742, -17.005420684814453, -54.8184928894043]",2023-01-16T00:00:00.000000000,"['Austria', 'France', 'Ireland', 'Mauritius', 'Singapore', 'Spain', 'Sweden', 'USA']"
"[[11 10]
 [ 0  9]]",0.6651785969734192,117.25,140.0,"[-19.256027221679688, -27.021448135375977, -27.791791915893555, -54.823577880859375, -16.76795768737793, -23.552812576293945, -17.00701141357422, -54.82358169555664]",2023-01-30T00:00:00.000000000,"['Austria', 'France', 'Ireland', 'Mauritius', 'Singapore', 'Spain', 'Sweden', 'USA']"
"[[11 10]
 [ 0  9]]",0.6651785969734192,103.25,126.0,"[-19.256837844848633, -27.022592544555664, -27.792957305908203, -54.82588195800781, -16.768659591674805, -23.55379867553711, -17.00773048400879, -54.82588195800781]",2023-02-13T00:00:00.000000000,"['Austria', 'France', 'Ireland', 'Mauritius', 'Singapore', 'Spain', 'Sweden', 'USA']"
"[[13  8]
 [ 0  9]]",0.7285068035125732,89.25,112.0,"[-19.258150100708008, -27.02445411682129, -27.794845581054688, -54.82961654663086, -16.66294288635254, -23.555400848388672, -17.00889778137207, -54.829620361328125]",2023-02-27T00:00:00.000000000,"['Austria', 'France', 'Ireland', 'Mauritius', 'Singapore', 'Spain', 'Sweden', 'USA']"
"[[17  4]
 [ 1  8]]",0.8168498277664185,88.0,98.0,"[-19.257854461669922, -27.024030685424805, -27.79442024230957, -54.828773498535156, -23.555038452148438, -17.00863265991211, -54.82877731323242]",2023-03-13T00:00:00.000000000,"['Austria', 'France', 'Ireland', 'Mauritius', 'Spain', 'Sweden', 'USA']"
"[[16  5]
 [ 1  8]]",0.7846890091896057,74.0,84.0,"[-19.25919532775879, -27.025924682617188, -27.79634666442871, -54.832576751708984, -23.55667495727539, -17.009822845458984, -54.832576751708984]",2023-03-27T00:00:00.000000000,"['Austria', 'France', 'Ireland', 'Mauritius', 'Spain', 'Sweden', 'USA']"
"[[13  8]
 [ 1  8]]",0.691428542137146,60.0,70.0,"[-19.260629653930664, -27.027950286865234, -27.798404693603516, -54.83665466308594, -23.558420181274414, -17.01109504699707, -54.83665084838867]",2023-04-10T00:00:00.000000000,"['Austria', 'France', 'Ireland', 'Mauritius', 'Spain', 'Sweden', 'USA']"
"[[15  6]
 [ 3  6]]",0.6703296899795532,56.0,56.0,"[-19.262311935424805, -27.030330657958984, -27.800823211669922, -23.560476303100586, -17.012590408325195, -54.841434478759766]",2023-04-24T00:00:00.000000000,"['Austria', 'France', 'Ireland', 'Spain', 'Sweden', 'USA']"
"[[15  6]
 [ 2  7]]",0.7129186391830444,42.0,42.0,"[-19.262174606323242, -26.984006881713867, -27.800622940063477, -23.43986701965332, -17.012466430664062, -54.841041564941406]",2023-05-08T00:00:00.000000000,"['Austria', 'France', 'Ireland', 'Spain', 'Sweden', 'USA']"
"[[15  6]
 [ 3  6]]",0.6703296899795532,28.0,28.0,"[-19.14395523071289, -25.075525283813477, -27.733291625976562, -18.09016990661621, -17.009319305419922, -54.604949951171875]",2023-05-22T00:00:00.000000000,"['Austria', 'France', 'Ireland', 'Spain', 'Sweden', 'USA']"
"[[14  7]
 [ 2  7]]",0.6827262043952942,14.0,14.0,"[-13.719013214111328, -18.807310104370117, -26.278587341308594, -11.359844207763672, -17.014013290405273, -38.85369110107422]",2023-06-05T00:00:00.000000000,"['Austria', 'France', 'Ireland', 'Spain', 'Sweden', 'USA']"
"[[11 10]
 [ 2  7]]",0.5927602052688599,2.799999952316284,0.0,"[-11.746440887451172, -24.7011775970459, -3.559391975402832, -17.014198303222656, -22.909330368041992]",2023-06-19T00:00:00.000000000,"['France', 'Ireland', 'Spain', 'Sweden', 'USA']"
"[[12  9]
 [ 2  7]]",0.6228571534156799,0.0,0.0,[-3.8540406227111816],2023-07-03T00:00:00.000000000,['USA']
"[[12  9]
 [ 3  6]]",0.5833333134651184,-1,-1,"[[0.14331907033920288], [0.5364207625389099], [0.47900864481925964], [0.9953649044036865], [0.4230984151363373], [0.452517569065094], [0.5615836381912231], [0.36738428473472595], [0.14331907033920288], [0.14331907033920288], [0.6217944025993347], [0.7096837162971497], [0.14331907033920288], [0.14331907033920288], [0.5148700475692749], [0.596961498260498], [0.14331907033920288], [0.9953649044036865], [0.4262946844100952], [0.452517569065094], [0.47274383902549744], [0.8466272354125977], [0.6217944025993347], [0.5007687211036682], [0.14331907033920288], [0.8321329951286316], [0.48550546169281006], [0.5058587789535522], [0.9955039620399475], [0.6435779929161072]]",2023-07-17T00:00:00.000000000,[]
