CF1,f11,MAE1,MAE2,pred,date,countries
"[[53  1]
 [ 0  6]]",0.9568655490875244,78.4000015258789,70.0,"[28.175933837890625, 12.121944427490234, 28.175931930541992, 33.69410705566406, 29.609289169311523]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[53  1]
 [ 0  6]]",0.9568655490875244,75.5999984741211,70.0,"[16.69487762451172, 8.242764472961426, 16.69487762451172, 20.007770538330078, 18.301023483276367]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[53  1]
 [ 0  6]]",0.9568655490875244,47.599998474121094,42.0,"[28.53108024597168, 14.023104667663574, 28.53108024597168, 34.13908386230469, 30.95745277404785]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[53  1]
 [ 0  6]]",0.9568655490875244,22.399999618530273,14.0,"[45.3564567565918, 23.022296905517578, 45.3564567565918, 54.08212661743164, 48.453094482421875]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[53  1]
 [ 0  6]]",0.9568655490875244,19.600000381469727,14.0,"[43.650638580322266, 26.09572410583496, 43.650638580322266, 51.538700103759766, 46.29270935058594]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[53  1]
 [ 0  6]]",0.9568655490875244,28.0,42.0,"[60.62904739379883, 37.90119171142578, 60.62904739379883, 71.75743865966797, 64.36882019042969]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[53  1]
 [ 0  6]]",0.9568655490875244,28.0,28.0,"[47.34941101074219, 32.16162872314453, 47.34941101074219, 55.98783874511719, 50.11505126953125]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[53  1]
 [ 0  6]]",0.9568655490875244,18.66666603088379,14.0,"[5.4582014083862305, 46.631866455078125, 58.920204162597656]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Panama']"
"[[53  1]
 [ 0  6]]",0.9568655490875244,0.0,0.0,[38.361785888671875],2021-03-29T00:00:00.000000000,['Panama']
"[[53  1]
 [ 1  5]]",0.9074074029922485,0.0,0.0,[23.088075637817383],2021-04-12T00:00:00.000000000,['Panama']
"[[53  1]
 [ 1  5]]",0.9074074029922485,14.0,14.0,[23.382585525512695],2021-04-26T00:00:00.000000000,['Panama']
"[[53  1]
 [ 1  5]]",0.9074074029922485,-1,-1,"[[0.826338529586792], [0.04077431187033653], [0.04349495843052864], [0.04077431932091713], [0.03919975832104683], [0.0407726988196373], [0.04077431932091713], [0.6126019358634949], [0.03723512962460518], [0.042148616164922714], [0.1340453326702118], [0.8292783498764038], [0.6534890532493591], [0.03919975832104683], [0.038573864847421646], [0.03765059635043144], [0.045377474278211594], [0.04542158544063568], [0.0444067157804966], [0.04852023348212242], [0.04077431187033653], [0.03924078866839409], [0.03919975832104683], [0.04077431187033653], [0.04077431187033653], [0.04347645491361618], [0.039100877940654755], [0.03919975832104683], [0.04077431187033653], [0.04455394297838211], [0.04077431187033653], [0.037891045212745667], [0.05056082084774971], [0.04077431187033653], [0.0467313714325428], [0.0371599942445755], [0.04077431187033653], [0.045377474278211594], [0.03919975832104683], [0.8265337347984314], [0.6381523013114929], [0.03723512962460518], [0.03919975832104683], [0.04077431932091713], [0.03924078866839409], [0.04077431187033653], [0.039100877940654755], [0.039979614317417145], [0.040378935635089874], [0.04077431932091713], [0.04077431187033653], [0.04007710888981819], [0.041456010192632675], [0.037574756890535355], [0.03723512962460518], [0.042148612439632416], [0.04077431187033653], [0.046132441610097885], [0.04007710888981819], [0.04077431187033653]]",2021-05-10T00:00:00.000000000,[]
