CF1,f11,MAE1,MAE2,pred,date,countries
"[[ 0 26]
 [ 0 34]]",0.3617021143436432,99.69696807861328,98.0,"[43.9360466003418, 23.075014114379883, 29.96836280822754, 43.93604278564453, 33.26821517944336, 29.946186065673828, 52.534847259521484, 44.84048843383789, 39.35380172729492, 43.9360466003418, 43.578739166259766, 43.9360466003418, 33.207603454589844, 37.26035690307617, 43.9360466003418, 43.9360466003418, 28.929855346679688, 34.73479080200195, 60.777530670166016, 24.876115798950195, 29.96836280822754, 37.26035690307617, 22.388526916503906, 36.61970901489258, 43.9360466003418, 33.207603454589844, 43.93604278564453, 39.001163482666016, 41.03351974487305, 32.712650299072266, 43.9360466003418, 49.9184684753418, 39.001163482666016]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Kingdom']"
"[[11 15]
 [ 0 34]]",0.7069358229637146,69.57575988769531,70.0,"[66.26866912841797, 35.751800537109375, 35.022037506103516, 66.2686538696289, 50.66329574584961, 45.51551055908203, 79.1610107421875, 67.85163116455078, 59.941036224365234, 66.26866912841797, 65.6512451171875, 66.26866912841797, 50.39847183227539, 56.3624267578125, 66.26866912841797, 66.26866912841797, 44.03622817993164, 53.247867584228516, 91.34800720214844, 38.03126525878906, 35.022037506103516, 56.3624267578125, 34.591121673583984, 55.42304229736328, 66.26866912841797, 50.39847183227539, 66.2686538696289, 58.97340393066406, 62.040428161621094, 49.84654235839844, 66.26866912841797, 75.35344696044922, 58.97340393066406]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Kingdom']"
"[[11 15]
 [ 0 34]]",0.7069358229637146,55.57575607299805,56.0,"[68.70215606689453, 37.61659240722656, 40.652183532714844, 68.7021484375, 52.80607986450195, 47.42950439453125, 81.97930908203125, 70.43445587158203, 62.4297981262207, 68.70215606689453, 68.02953338623047, 68.70215606689453, 52.45509338378906, 58.546478271484375, 68.70215606689453, 68.70215606689453, 45.92611312866211, 55.64133071899414, 94.45291137695312, 39.77470779418945, 40.652183532714844, 58.546478271484375, 36.36214828491211, 57.58856964111328, 68.70215606689453, 52.45509338378906, 68.7021484375, 61.23580551147461, 64.40330505371094, 51.97224044799805, 68.70215606689453, 78.10993957519531, 61.23580551147461]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Kingdom']"
"[[12 14]
 [ 0 34]]",0.730423629283905,28.0,28.0,"[93.45897674560547, 51.291473388671875, 45.029666900634766, 93.45896911621094, 71.89603424072266, 64.53775024414062, 111.54009246826172, 95.86746978759766, 85.03524017333984, 93.45897674560547, 92.52521514892578, 93.45897674560547, 71.38018798828125, 79.65110778808594, 93.45897674560547, 93.45897674560547, 62.50008010864258, 75.84107971191406, 128.48963928222656, 54.13882064819336, 45.029666900634766, 79.65110778808594, 49.55454635620117, 78.3512191772461, 93.45897674560547, 71.38018798828125, 93.45896911621094, 83.3136978149414, 87.63159942626953, 70.7640151977539, 93.45897674560547, 106.2957763671875, 83.3136978149414]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Kingdom']"
"[[12 14]
 [ 0 34]]",0.730423629283905,29.3125,28.0,"[70.06073760986328, 40.0753288269043, 44.235748291015625, 70.06072998046875, 38.030677795410156, 48.8915901184082, 83.5459213256836, 72.26390075683594, 64.75882720947266, 70.06073760986328, 69.21783447265625, 70.06073760986328, 53.979854583740234, 59.946868896484375, 70.06073760986328, 70.06073760986328, 47.46155548095703, 58.36665344238281, 95.87979125976562, 41.38176727294922, 44.235748291015625, 59.946868896484375, 38.52970504760742, 54.51144027709961, 70.06073760986328, 53.979854583740234, 70.06072998046875, 62.6801872253418, 65.93616485595703, 70.06073760986328, 79.84121704101562, 62.6801872253418]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Kingdom']"
"[[13 13]
 [ 0 34]]",0.7530864477157593,21.4375,14.0,"[95.95793151855469, 54.74227523803711, 63.746681213378906, 95.95792388916016, 56.942115783691406, 66.83226013183594, 114.55233001708984, 99.0646743774414, 88.80126953125, 95.95793151855469, 94.77088165283203, 95.95793151855469, 73.84967041015625, 82.04334259033203, 95.95793151855469, 95.95793151855469, 64.86034393310547, 79.99063873291016, 131.5072021484375, 56.46405792236328, 63.746681213378906, 82.04334259033203, 52.55333709716797, 74.9600830078125, 95.95793151855469, 73.84967041015625, 95.95792388916016, 85.8125228881836, 90.30815887451172, 95.95793151855469, 109.47896575927734, 85.8125228881836]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Kingdom']"
"[[12 14]
 [ 0 34]]",0.730423629283905,21.4375,14.0,"[73.65955352783203, 41.37460708618164, 41.86134719848633, 73.65955352783203, 34.1738166809082, 51.33396911621094, 87.7017822265625, 75.66829681396484, 67.44807434082031, 73.65955352783203, 72.88460540771484, 73.65955352783203, 56.643760681152344, 62.998653411865234, 73.65955352783203, 73.65955352783203, 49.77860641479492, 60.44914627075195, 100.7607650756836, 43.32946014404297, 41.86134719848633, 62.998653411865234, 39.94560241699219, 55.972251892089844, 73.65955352783203, 56.643760681152344, 73.65955352783203, 65.84368896484375, 69.20917510986328, 73.65955352783203, 83.69910430908203, 65.84368896484375]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Kingdom']"
"[[13 13]
 [ 0 34]]",0.7530864477157593,15.399999618530273,14.0,"[38.830318450927734, 40.39442825317383, 68.98666381835938, 41.65211868286133, 48.14909744262695, 82.0855941772461, 70.84847259521484, 63.16378402709961, 68.9866714477539, 68.2680892944336, 68.9866714477539, 38.34461975097656, 59.036495208740234, 68.9866714477539, 68.9866714477539, 46.69586944580078, 46.18730926513672, 94.2763671875, 40.67609786987305, 40.39442825317383, 59.036495208740234, 37.5042610168457, 54.011878967285156, 68.9866714477539, 68.98666381835938, 61.69035720825195, 64.8287124633789, 68.9866714477539, 78.34571838378906, 61.69035720825195]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Kingdom']"
"[[13 13]
 [ 0 34]]",0.7530864477157593,28.0,28.0,"[40.921260833740234, 47.24011993408203, 82.17127990722656, 49.329017639160156, 48.16987991333008, 2.7594480514526367, 70.24114990234375, 59.86308288574219, 82.17127990722656, 81.27310943603516, 82.17127990722656, 38.995304107666016, 48.44727325439453, 82.17127990722656, 82.17127990722656, 46.33971405029297, 50.771724700927734, 111.56946563720703, 41.63688278198242, 47.24011993408203, 70.63028717041016, -9.518474578857422, 54.330379486083984, 82.17127990722656, 68.91011047363281, 28.659284591674805, 82.17127990722656, 5.5895094871521, 50.797760009765625]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Kingdom']"
"[[13 13]
 [ 0 34]]",0.7530864477157593,26.962963104248047,28.0,"[35.3874397277832, 44.2364501953125, 45.176475524902344, 42.263450622558594, 40.792991638183594, -0.9948965311050415, 54.61532974243164, 51.88490676879883, 70.89745330810547, 70.15838623046875, 70.89745330810547, 36.35029602050781, 70.89745330810547, 70.89745330810547, 39.67511749267578, 20.659297943115234, 96.3466567993164, 36.26497268676758, 44.2364501953125, 38.79515075683594, 5.297479152679443, 44.46885681152344, 45.176475524902344, 40.72106170654297, 18.685659408569336, 70.89745330810547, 6.763323783874512]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Ireland', 'Israel', 'Kenya', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine']"
