CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  4]
 [ 0  6]]",0.8623417615890503,89.5999984741211,84.0,"[22.561115264892578, 9.772738456726074, 22.561115264892578, 19.924898147583008, 18.858827590942383]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,67.19999694824219,70.0,"[28.600292205810547, 16.210174560546875, 28.600292205810547, 25.82377052307129, 26.494380950927734]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,47.599998474121094,42.0,"[38.28096008300781, 22.618070602416992, 38.28096008300781, 35.09395980834961, 35.02348709106445]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,22.399999618530273,14.0,"[46.209754943847656, 29.483844757080078, 46.209754943847656, 42.95454788208008, 41.931968688964844]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,16.799999237060547,14.0,"[50.01158142089844, 38.399681091308594, 50.01158142089844, 47.48509979248047, 46.26429748535156]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,28.0,28.0,"[62.476097106933594, 49.112823486328125, 62.476097106933594, 58.9991455078125, 57.587249755859375]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,36.400001525878906,42.0,"[61.01668167114258, 48.519996643066406, 61.01668167114258, 57.52825164794922, 56.14379119873047]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,18.66666603088379,14.0,"[9.391281127929688, 52.291748046875, 69.72899627685547]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,14.0,14.0,[45.57772445678711],2021-03-29T00:00:00.000000000,['Panama']
"[[77  4]
 [ 0  6]]",0.8623417615890503,14.0,14.0,[38.47518539428711],2021-04-12T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,28.0,28.0,[30.721376419067383],2021-04-26T00:00:00.000000000,['Panama']
"[[78  3]
 [ 1  5]]",0.8446428775787354,-1,-1,"[[0.8304347395896912], [0.04082682356238365], [0.041138481348752975], [0.040446870028972626], [0.041138481348752975], [0.04154808074235916], [0.040890004485845566], [0.040826816111803055], [0.9301878809928894], [0.04154808074235916], [0.04056582227349281], [0.04082682356238365], [0.06475209444761276], [0.8276374340057373], [0.03808043524622917], [0.5418040156364441], [0.7815061211585999], [0.04131113737821579], [0.04123668372631073], [0.04149337112903595], [0.04082682356238365], [0.4527468681335449], [0.04007667303085327], [0.04082682356238365], [0.039763905107975006], [0.039881687611341476], [0.04015739634633064], [0.03949960321187973], [0.04082682356238365], [0.041130196303129196], [0.04082682356238365], [0.041138481348752975], [0.04082682356238365], [0.04082682356238365], [0.039626434445381165], [0.04072042927145958], [0.041138481348752975], [0.040826816111803055], [0.040531009435653687], [0.04082682356238365], [0.0401315912604332], [0.041138481348752975], [0.03998902440071106], [0.040826816111803055], [0.040191974490880966], [0.041479919105768204], [0.039430249482393265], [0.04082682356238365], [0.04082682356238365], [0.03976094722747803], [0.04160151258111], [0.04159826040267944], [0.04082682356238365], [0.04082682356238365], [0.040076691657304764], [0.04160151258111], [0.7842373251914978], [0.04072454571723938], [0.7764450311660767], [0.04154808074235916], [0.03970326855778694], [0.041138481348752975], [0.04032272845506668], [0.04123419523239136], [0.04082682356238365], [0.041138481348752975], [0.04082682356238365], [0.04131113737821579], [0.04103697091341019], [0.04105833172798157], [0.040826816111803055], [0.04082682356238365], [0.04101097211241722], [0.04154808074235916], [0.7766772508621216], [0.04078526794910431], [0.0413336381316185], [0.04168139398097992], [0.04115854576230049], [0.04082682356238365], [0.04056582227349281], [0.04082682356238365], [0.04032272845506668], [0.039907995611429214], [0.04113848879933357], [0.041010983288288116], [0.04126637428998947]]",2021-05-10T00:00:00.000000000,[]
