CF1,f11,MAE1,MAE2,pred,date,countries
"[[46  5]
 [33  3]]",0.42202797532081604,109.86111450195312,119.0,"[3.603198528289795, 4.103943347930908, 3.603198528289795, 0.37686455249786377, 3.7821667194366455, 3.8278534412384033, 4.323398113250732, 3.4794564247131348, 3.8278534412384033, 4.579713344573975, 4.497361183166504, 4.765354633331299, -0.21088987588882446, 3.904918909072876, 3.603198528289795, 4.042608261108398, 3.603198528289795, 3.358957052230835, 4.581788063049316, 3.274749994277954, 4.3615241050720215, 3.603198528289795, 4.191051006317139, 3.8278534412384033, 3.8278534412384033, 3.4794564247131348, 3.6608197689056396, 3.8278534412384033, 3.694913148880005, 3.8579258918762207, 3.4633684158325195, 3.5888025760650635, 4.017246723175049, 3.8278534412384033, 3.694913148880005, 3.157676935195923]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[44  7]
 [26 10]]",0.5523155927658081,71.55555725097656,77.0,"[38.1390380859375, 7.557554244995117, 38.1390380859375, 27.12824249267578, 6.936254978179932, 7.024468898773193, 8.0036039352417, 6.351770401000977, 83.08504486083984, 8.528032302856445, 8.359537124633789, 8.907861709594727, 11.302044868469238, 32.39999008178711, 6.590695381164551, 7.4391255378723145, 6.590695381164551, 6.119105815887451, 8.532278060913086, 5.956515312194824, 8.081611633300781, 6.590695381164551, 33.4919319152832, 7.024468898773193, 83.08504486083984, 25.18814468383789, 6.701953411102295, 83.08504486083984, 6.767782688140869, 7.082534313201904, 6.320706844329834, 10.734870910644531, 7.390156269073486, 7.024468898773193, 6.767782688140869, 4.944583892822266]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[33 18]
 [ 2 34]]",0.77008455991745,40.599998474121094,28.0,"[68.23625946044922, 76.66159057617188, 92.69542694091797, 66.40327453613281, 110.67668914794922, 65.18848419189453, -14.945865631103516, 47.104736328125, 119.94853210449219, 48.1348876953125, 132.74473571777344, 120.9942855834961, 72.92253112792969, 82.19430541992188, 101.96215057373047, 85.02056884765625, 11.284120559692383, 96.7491683959961, -3.9515438079833984, 84.02264404296875, 51.21029281616211, 56.128719329833984, 97.47860717773438, 12.107979774475098, 119.94853210449219, 66.54855346679688, 54.72394943237305, 119.94853210449219, 76.63890075683594, 63.73955535888672, 88.92048645019531, 63.66564178466797, 42.81904983520508, 114.06172180175781, 53.75811004638672]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[33 18]
 [ 2 34]]",0.77008455991745,35.411766052246094,21.0,"[51.619136810302734, 55.35255813598633, 68.83492279052734, 28.06292724609375, 81.492431640625, 49.516517639160156, 113.7717056274414, 26.74469757080078, 88.44544982910156, 40.776119232177734, 97.10145568847656, 89.27987670898438, 61.684871673583984, 75.19670104980469, 56.206565856933594, 14.809462547302246, 71.3065185546875, 94.20732116699219, 62.27265548706055, 42.080108642578125, 42.93647384643555, 72.70730590820312, 15.940948486328125, 88.44544982910156, 50.25499725341797, 32.85929870605469, 88.44544982910156, 57.4556999206543, 48.52389144897461, 64.5034408569336, 48.249794006347656, 33.942970275878906, 83.79606628417969, 37.77470397949219]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[37 14]
 [ 2 34]]",0.8158730268478394,35.411766052246094,28.0,"[66.8118667602539, 86.13409423828125, 89.4664077758789, 64.81350708007812, 106.3089370727539, 64.22361755371094, 10.093620300292969, 69.12579345703125, 114.93143463134766, 55.20195388793945, 130.49722290039062, 119.47162628173828, 80.04952239990234, 98.05438995361328, 101.33808135986328, 22.2062931060791, 92.97635650634766, 10.570616722106934, 81.10271453857422, 56.29192352294922, 55.60263442993164, 94.50231170654297, 23.983842849731445, 114.93143463134766, 65.1241683959961, 77.05013275146484, 114.93143463134766, 74.69329833984375, 62.91233825683594, 92.86737823486328, 62.56808853149414, 44.067840576171875, 109.35501098632812, 53.31281280517578]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[37 14]
 [ 2 34]]",0.8158730268478394,33.55882263183594,35.0,"[51.20161437988281, 53.97710418701172, 67.49771118164062, 27.682086944580078, 79.5780258178711, 49.3353157043457, 110.4352798461914, 24.263031005859375, 86.18195343017578, 47.612274169921875, 94.55025482177734, 87.71897888183594, 60.89488983154297, 73.52071380615234, 53.229026794433594, 25.548763275146484, 69.70476531982422, 92.06584167480469, 61.1074333190918, 47.16056823730469, 42.9838981628418, 71.48699188232422, 27.58844757080078, 86.18195343017578, 49.84310531616211, 30.345623016357422, 86.18195343017578, 56.77765655517578, 48.41216278076172, 62.837642669677734, 48.00535202026367, 34.69733810424805, 81.71085357666016, 37.857540130615234]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[37 14]
 [ 2 34]]",0.8158730268478394,30.969696044921875,28.0,"[60.86930465698242, 78.102294921875, 80.77725219726562, 58.95243835449219, 95.76001739501953, 58.79806900024414, -63.41715621948242, 62.893802642822266, 103.1183090209961, 58.474857330322266, 117.34761810302734, 107.94985961914062, 72.6604995727539, 88.42396545410156, 91.46784973144531, 33.38655090332031, 83.84927368164062, -33.62774658203125, 73.37646484375, 57.05097579956055, 51.11898422241211, 85.49288940429688, 36.0869255065918, 103.1183090209961, 59.36929702758789, 69.93917846679688, 103.1183090209961, 67.93728637695312, 57.65959548950195, 83.78491973876953, 57.22001266479492, 98.39667510986328, 49.05754089355469]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[40 11]
 [ 4 32]]",0.8261159062385559,42.42424392700195,35.0,"[64.3304672241211, 70.14081573486328, 85.30754089355469, 44.419376373291016, 100.68273162841797, 61.73014450073242, 140.1278076171875, 38.76556396484375, 109.36685943603516, 58.367679595947266, 120.04324340820312, 111.106689453125, 76.64058685302734, 92.97478485107422, 73.54580688476562, 33.080806732177734, 88.18456268310547, 116.34522247314453, 77.15971374511719, 58.09408187866211, 53.66640090942383, 90.13184356689453, 35.69768142700195, 109.36685943603516, 62.609127044677734, 45.832855224609375, 109.36685943603516, 71.37659454345703, 60.526824951171875, 80.36244201660156, 60.148868560791016, 103.47176361083984, 48.84700393676758]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[36 15]
 [ 3 33]]",0.7928571701049805,25.200000762939453,21.0,"[43.08277130126953, 44.44575119018555, 56.50123977661133, 13.084775924682617, 61.72123336791992, 41.71657943725586, 23.762704849243164, 71.6255111694336, 41.49235153198242, 66.61270141601562, 67.90533447265625, 51.08761978149414, 27.304773330688477, 26.300487518310547, 53.0302848815918, -270.5021057128906, 51.432376861572266, 40.817562103271484, 36.49583053588867, 59.795047760009766, 28.177732467651367, 71.6255111694336, 42.04103469848633, 28.51708221435547, 71.6255111694336, 41.52484130859375, 40.95521926879883, 44.684547424316406, 40.69345474243164, 29.92439842224121]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[40 11]
 [ 4 32]]",0.8261159062385559,41.766666412353516,35.0,"[65.52848815917969, 72.42162322998047, 87.08707427978516, 45.25273513793945, 102.8836441040039, 62.83594512939453, 42.492919921875, 111.66096496582031, 62.71181869506836, 122.7434310913086, 113.3077392578125, 78.08970642089844, 95.02196502685547, 38.54703903198242, 90.18074798583984, 118.70348358154297, 78.87847900390625, 60.59806442260742, 54.623897552490234, 91.85713958740234, 41.73789596557617, 111.66096496582031, 63.822906494140625, 49.52838134765625, 111.66096496582031, 72.79432678222656, 61.589195251464844, 82.59880828857422, 61.28354263305664, 49.87848663330078]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
