CF1,f11,MAE1,MAE2,pred,date,countries
"[[72  5]
 [ 9  1]]",0.5181962251663208,88.19999694824219,98.0,"[1.928411841392517, 1.7683444023132324, 2.3181092739105225, 9.583654403686523, 2.6128642559051514, 2.051236152648926, 2.2518069744110107, 1.8607594966888428, 1.9205414056777954, 2.510087490081787]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'India', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[65 12]
 [ 0 10]]",0.7702465057373047,45.11111068725586,42.0,"[35.80582046508789, 53.15200424194336, 21.16337013244629, 68.18551635742188, 78.564453125, 38.782554626464844, 45.322818756103516, 51.31138229370117, 32.17923355102539]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[66 11]
 [ 1  9]]",0.7583333253860474,43.55555725097656,42.0,"[26.622365951538086, 37.52193832397461, 19.577577590942383, 48.58883285522461, 54.34272384643555, 29.07107925415039, 32.63566970825195, 36.58822250366211, 23.8475399017334]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 2  8]]",0.8066666722297668,38.88888931274414,42.0,"[18.198755264282227, 24.866708755493164, 16.194564819335938, 32.10166549682617, 35.399375915527344, 19.88553810119629, 21.881084442138672, 24.353219985961914, 16.835596084594727]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,21.77777862548828,14.0,"[37.371219635009766, 48.56117630004883, 32.93788528442383, 54.456172943115234, 75.17549896240234, 40.7069206237793, 27.378984451293945, 47.960662841796875, 34.25510787963867]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[69  8]
 [ 1  9]]",0.8027210831642151,20.0,14.0,"[24.194473266601562, 30.324174880981445, 20.230445861816406, 30.846515655517578, 48.232940673828125, 30.090274810791016, 22.212923049926758]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[66 11]
 [ 1  9]]",0.7583333253860474,12.0,14.0,"[29.246950149536133, 36.71885299682617, 27.505807876586914, 30.631513595581055, -15.694769859313965, 36.3369026184082, 26.873626708984375]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[66 11]
 [ 1  9]]",0.7583333253860474,7.0,0.0,"[28.342731475830078, 33.55467224121094, 29.77593994140625, 33.77634048461914, 3.8304855823516846, 8.059959411621094]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand']"
"[[66 11]
 [ 1  9]]",0.7583333253860474,7.0,0.0,"[38.64052963256836, 23.028766632080078, 35.22599792480469, 3.551802635192871]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia']"
"[[66 11]
 [ 1  9]]",0.7583333253860474,7.0,0.0,"[3.404740810394287, 33.9510383605957]",2022-10-24T00:00:00.000000000,"['Australia', 'Georgia']"
"[[69  8]
 [ 1  9]]",0.8027210831642151,28.0,28.0,[40.849308013916016],2022-11-07T00:00:00.000000000,['Georgia']
"[[67 10]
 [ 1  9]]",0.7724137902259827,-1,-1,"[[0.09663072228431702], [0.09507019817829132], [0.8578066825866699], [0.09277057647705078], [0.7593116164207458], [0.5881398320198059], [0.09545565396547318], [0.09507019817829132], [0.09153411537408829], [0.8830103278160095], [0.20918333530426025], [0.9087405800819397], [0.09088489413261414], [0.09663072228431702], [0.4977571666240692], [0.09269718825817108], [0.09697895497083664], [0.09780826419591904], [0.09758435189723969], [0.09730067849159241], [0.09507019817829132], [0.09773186594247818], [0.09055869281291962], [0.09507019817829132], [0.08871204406023026], [0.08940500020980835], [0.38443702459335327], [0.08716769516468048], [0.09507019817829132], [0.22685198485851288], [0.09507019817829132], [0.09697895497083664], [0.09507019817829132], [0.09507019817829132], [0.7699070572853088], [0.8282133936882019], [0.09697895497083664], [0.09507019817829132], [0.09327708184719086], [0.09507019817829132], [0.09088489413261414], [0.09697895497083664], [0.09003905951976776], [0.09507019817829132], [0.09124442934989929], [0.0973379984498024], [0.9002572894096375], [0.09507019817829132], [0.9889644384384155], [0.08869463950395584], [0.5088557600975037], [0.09701056033372879], [0.09507019817829132], [0.09507019817829132], [0.09055869281291962], [0.5088557600975037], [0.09507475793361664], [0.852982759475708], [0.09269718825817108], [0.7949691414833069], [0.08835648000240326], [0.09697895497083664], [0.8229067921638489], [0.09756909310817719], [0.09507019817829132], [0.09697895497083664], [0.09507019817829132], [0.7747506499290466], [0.09635501354932785], [0.0964861512184143], [0.09507019817829132], [0.09507019817829132], [0.09619561582803726], [0.5881398320198059], [0.09741171449422836], [0.09481726586818695], [0.09774535149335861], [0.21357092261314392], [0.8903854489326477], [0.09507019817829132], [0.33829358220100403], [0.09507019817829132], [0.09202548861503601], [0.08956024795770645], [0.7593116164207458], [0.09619564563035965], [0.8742677569389343]]",2022-11-21T00:00:00.000000000,[]
