CF1,f11,MAE1,MAE2,pred,date,countries
"[[ 0 74]
 [ 0 13]]",0.12999999523162842,134.61538696289062,154.0,"[3.8855011463165283, 2.3881642818450928, 3.4136719703674316, 4.2768707275390625, 3.289891481399536, 3.4136719703674316, 4.103174209594727, 3.625354766845703, 3.2970759868621826, 3.625354766845703, 3.500091075897217, 3.6536903381347656, 3.625354766845703]",2023-01-02T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'India', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[63 11]
 [ 1 12]]",0.7898550629615784,99.16666412353516,112.0,"[24.874290466308594, 23.3365478515625, 34.5928955078125, 39.07158660888672, 39.856815338134766, 27.95414161682129, 72.12553405761719, 23.835432052612305, 72.12553405761719, 34.5813102722168, 25.276538848876953, 72.12553405761719]",2023-01-16T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[63 11]
 [ 1 12]]",0.7898550629615784,96.83333587646484,112.0,"[17.09497833251953, 14.098320007324219, 23.225814819335938, 25.980039596557617, 26.503982543945312, 24.142681121826172, 46.807647705078125, 16.489416122436523, 46.807647705078125, 23.215091705322266, 17.36797523498535, 46.807647705078125]",2023-01-30T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[68  6]
 [ 2 11]]",0.8388888835906982,82.83333587646484,98.0,"[17.62505340576172, 20.043771743774414, 24.033716201782227, 26.777172088623047, 27.428619384765625, 24.903596878051758, 48.109920501708984, 17.072126388549805, 48.109920501708984, 24.01171112060547, 17.93700408935547, 48.109920501708984]",2023-02-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[65  9]
 [ 3 10]]",0.7702465057373047,67.66666412353516,84.0,"[18.5196475982666, 17.699556350708008, 24.94587516784668, 27.615821838378906, 28.33107566833496, 29.464839935302734, 48.9371337890625, 1.0977654457092285, 48.9371337890625, 24.917360305786133, 18.84834098815918, 48.9371337890625]",2023-02-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[65  9]
 [ 2 11]]",0.7943262457847595,50.90909194946289,56.0,"[27.768339157104492, 29.011415481567383, 38.7369270324707, 42.79463577270508, 44.397743225097656, 38.11034393310547, 78.75588989257812, 78.75588989257812, 38.648494720458984, 28.42729377746582, 78.75588989257812]",2023-03-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[65  9]
 [ 1 12]]",0.8172268867492676,45.818180084228516,42.0,"[23.04047393798828, 23.805683135986328, 30.767038345336914, 33.90766525268555, 34.82089614868164, 33.19479751586914, 59.483272552490234, 59.483272552490234, 30.727214813232422, 23.44931411743164, 59.483272552490234]",2023-03-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[63 11]
 [ 2 11]]",0.7675231099128723,40.727272033691406,42.0,"[18.187721252441406, 20.5343017578125, 23.718420028686523, 25.910680770874023, 26.619985580444336, 29.11790657043457, 44.258514404296875, 44.258514404296875, 23.684345245361328, 18.494203567504883, 44.258514404296875]",2023-04-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[67  7]
 [ 2 11]]",0.8233701586723328,16.799999237060547,14.0,"[28.44371223449707, 32.552406311035156, 38.06840515136719, 41.85066223144531, 43.08018493652344, 40.928924560546875, 1.485921859741211, 38.00592041015625, 28.984712600708008, 73.81656646728516]",2023-04-24T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[64 10]
 [ 2 11]]",0.7806722521781921,18.200000762939453,14.0,"[21.673852920532227, 24.54118537902832, 28.16593360900879, 25.91559410095215, 31.503355026245117, 3.7861623764038086, -116.33633422851562, 3.285900592803955, 22.074817657470703, 51.74836730957031]",2023-05-08T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[63 11]
 [ 2 11]]",0.7675231099128723,18.200000762939453,14.0,"[3.4269227981567383, 30.115127563476562, 34.67310333251953, 3.063143730163574, 35.163169860839844, -31.369464874267578, -319.817138671875, -24.59553337097168, 26.708335876464844, 5.560040473937988]",2023-05-22T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[66  8]
 [ 3 10]]",0.7841191291809082,8.75,0.0,"[-42.271331787109375, 4.143051624298096, -62.354915618896484, 30.580190658569336, 3.7925798892974854, -131.9375, 24.182159423828125, -180.36737060546875]",2023-06-05T00:00:00.000000000,"['Austria', 'Costa Rica', 'France', 'Ireland', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[66  8]
 [ 1 12]]",0.8317214846611023,11.199999809265137,14.0,"[-77.62300109863281, 33.46306228637695, -23.99980354309082, 26.779802322387695, -406.06756591796875]",2023-06-19T00:00:00.000000000,"['France', 'Ireland', 'Spain', 'Sweden', 'USA']"
"[[68  6]
 [ 1 12]]",0.8626212477684021,0.0,0.0,[4.275797367095947],2023-07-03T00:00:00.000000000,['USA']
