CF1,f11,MAE1,MAE2,pred,date,countries
"[[ 0 77]
 [ 0 10]]",0.10309278219938278,88.19999694824219,98.0,"[2.5556275844573975, 2.360229015350342, 3.0313408374786377, 6.150151252746582, 3.391155958175659, 2.705562114715576, 2.950404405593872, 2.4730424880981445, 2.5460197925567627, 2.7873849868774414]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'India', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[62 15]
 [ 0 10]]",0.7317574620246887,45.11111068725586,42.0,"[33.55695343017578, 49.43455123901367, 20.141311645507812, 63.44255828857422, 72.85469055175781, 36.39961624145508, 42.258548736572266, 47.776100158691406, 30.170150756835938]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[65 12]
 [ 0 10]]",0.7702465057373047,38.88888931274414,42.0,"[30.459575653076172, 42.46091079711914, 21.548236846923828, 55.438873291015625, 61.398948669433594, 33.43857192993164, 37.09697723388672, 41.541770935058594, 27.39136505126953]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[70  7]
 [ 1  9]]",0.8191268444061279,38.88888931274414,42.0,"[17.33943748474121, 22.596452713012695, 14.558837890625, 29.82656478881836, 31.705141067504883, 19.195775985717773, 20.278554916381836, 22.406343460083008, 16.0520076751709]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,24.88888931274414,28.0,"[29.775056838989258, 34.11720657348633, 28.206130981445312, 37.56386947631836, 53.012603759765625, 33.17726516723633, 16.552595138549805, 34.71990966796875, 27.635238647460938]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[67 10]
 [ 0 10]]",0.7986111044883728,24.0,28.0,"[21.154296875, 25.26436996459961, 19.17243194580078, 25.35117530822754, 39.825748443603516, 25.376625061035156, 19.61604118347168]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[67 10]
 [ 1  9]]",0.7724137902259827,12.0,14.0,"[34.85635757446289, 40.96337127685547, 36.02098083496094, 35.00922393798828, -43.86347961425781, 41.27174758911133, 32.44767379760742]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[67 10]
 [ 1  9]]",0.7724137902259827,9.333333015441895,0.0,"[36.063331604003906, 39.12846374511719, 36.80723190307617, 43.32459259033203, 12.913249015808105, 7.231542587280273]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand']"
"[[67 10]
 [ 1  9]]",0.7724137902259827,3.5,0.0,"[30.523136138916016, 5.705840110778809, 33.46843338012695, -7.4648895263671875]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia']"
"[[67 10]
 [ 1  9]]",0.7724137902259827,7.0,0.0,"[5.574385643005371, 33.3037223815918]",2022-10-24T00:00:00.000000000,"['Australia', 'Georgia']"
"[[67 10]
 [ 1  9]]",0.7724137902259827,28.0,28.0,[37.91727066040039],2022-11-07T00:00:00.000000000,['Georgia']
"[[67 10]
 [ 1  9]]",0.7724137902259827,-1,-1,"[[0.13605304062366486], [0.1337166428565979], [0.7895430326461792], [0.13027410209178925], [0.7072668671607971], [0.5999295711517334], [0.13429372012615204], [0.13371668756008148], [0.12842337787151337], [0.8314355611801147], [0.3063485324382782], [0.6423431038856506], [0.12745176255702972], [0.13605304062366486], [0.42391014099121094], [0.1301642656326294], [0.136574387550354], [0.13817031681537628], [0.13748082518577576], [0.13986486196517944], [0.1337166428565979], [0.13842371106147766], [0.12696358561515808], [0.1337166428565979], [0.12420044094324112], [0.12523724138736725], [0.4093257486820221], [0.12189025431871414], [0.1337166428565979], [0.3357108235359192], [0.1337166428565979], [0.136574387550354], [0.1337166428565979], [0.1337166428565979], [0.7007458806037903], [0.7216554284095764], [0.136574387550354], [0.13371668756008148], [0.131032332777977], [0.1337166428565979], [0.12745176255702972], [0.136574387550354], [0.12618602812290192], [0.13371668756008148], [0.12798985838890076], [0.13973940908908844], [0.8351631760597229], [0.1337166428565979], [0.7783120274543762], [0.12417443841695786], [0.5525650382041931], [0.14084477722644806], [0.1337166428565979], [0.1337166428565979], [0.12696358561515808], [0.5525650382041931], [0.13372346758842468], [0.7800395488739014], [0.1301642507314682], [0.6725844144821167], [0.12366846203804016], [0.136574387550354], [0.7728922963142395], [0.1374579668045044], [0.1337166428565979], [0.136574387550354], [0.1337166428565979], [0.652327299118042], [0.1356402337551117], [0.13583655655384064], [0.13371668756008148], [0.1337166428565979], [0.13540156185626984], [0.5999295711517334], [0.1394919753074646], [0.13333798944950104], [0.13837893307209015], [0.36773577332496643], [0.6243858933448792], [0.1337166428565979], [0.3945498466491699], [0.1337166428565979], [0.1291588693857193], [0.12546953558921814], [0.7072668075561523], [0.13540156185626984], [0.6550686955451965]]",2022-11-21T00:00:00.000000000,[]
