CF1,f11,MAE1,MAE2,pred,date,countries
"[[80  1]
 [ 3  3]]",0.787804901599884,86.80000305175781,84.0,"[18.210357666015625, 23.3250732421875, 18.212974548339844, 21.457746505737305, 19.572105407714844]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[78  3]
 [ 1  5]]",0.8446428775787354,84.0,70.0,"[10.734423637390137, 15.698806762695312, 10.721084594726562, 13.29984188079834, 12.545145034790039]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[78  3]
 [ 1  5]]",0.8446428775787354,70.0,56.0,"[5.401642799377441, 23.117708206176758, 5.279425144195557, 11.794240951538086, 13.595867156982422]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[78  3]
 [ 2  4]]",0.7921643853187561,56.0,42.0,"[1.6482012271881104, 24.98916244506836, 1.6484538316726685, 3.2772088050842285, 7.196077346801758]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[78  3]
 [ 1  5]]",0.8446428775787354,42.0,28.0,"[1.895551323890686, 25.519609451293945, 1.8933510780334473, 2.102896213531494, 5.323099136352539]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[78  3]
 [ 1  5]]",0.8446428775787354,25.200000762939453,14.0,"[2.2908644676208496, 29.720914840698242, 2.2891571521759033, 2.460197925567627, 2.5976438522338867]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[78  3]
 [ 1  5]]",0.8446428775787354,16.799999237060547,14.0,"[3.494656562805176, 28.773059844970703, 3.456846237182617, 4.433902740478516, 4.849786758422852]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,18.66666603088379,14.0,"[27.858196258544922, 6.256832122802734, 7.497519016265869]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,28.0,28.0,[9.267509460449219],2021-03-29T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,0.0,0.0,[14.007950782775879],2021-04-12T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,0.0,0.0,[13.284292221069336],2021-04-26T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,-1,-1,"[[0.9468660354614258], [0.06442593783140182], [0.06257930397987366], [0.06676483154296875], [0.06257930397987366], [0.06024681031703949], [0.06404633074998856], [0.06442593783140182], [0.948967695236206], [0.06024681031703949], [0.06602201610803604], [0.06442593783140182], [0.2742326855659485], [0.946437656879425], [0.061519891023635864], [0.874423086643219], [0.7328371405601501], [0.06158337742090225], [0.062010619789361954], [0.060552358627319336], [0.06442593783140182], [0.812457799911499], [0.06914075464010239], [0.06442593783140182], [0.07122622430324554], [0.07043233513832092], [0.0686144307255745], [0.07248441129922867], [0.06442593783140182], [0.06262766569852829], [0.06442593783140182], [0.06257930397987366], [0.06442593783140182], [0.06442593783140182], [0.0721660777926445], [0.06507104635238647], [0.06257930397987366], [0.06442593783140182], [0.06623851507902145], [0.06442593783140182], [0.06878221780061722], [0.06257930397987366], [0.06971791386604309], [0.06442593783140182], [0.06839033216238022], [0.06062778830528259], [0.07191845774650574], [0.06442593783140182], [0.06442593783140182], [0.07124631851911545], [0.05995020642876625], [0.05996827036142349], [0.06442593783140182], [0.06442593783140182], [0.06914075464010239], [0.05995020642876625], [0.7870652079582214], [0.06504595279693604], [0.9082349538803101], [0.06024681031703949], [0.07163894176483154], [0.06257930397987366], [0.0675508975982666], [0.06202487275004387], [0.06442593783140182], [0.06257930397987366], [0.06442593783140182], [0.06158337742090225], [0.06317386031150818], [0.06304816901683807], [0.06442593783140182], [0.06442593783140182], [0.06332715600728989], [0.06024681031703949], [0.8597258925437927], [0.06467696279287338], [0.06145497411489487], [0.05950996279716492], [0.06246268004179001], [0.06442593783140182], [0.06602201610803604], [0.06442593783140182], [0.0675508975982666], [0.07025639712810516], [0.06257930397987366], [0.06332715600728989], [0.06183972954750061]]",2021-05-10T00:00:00.000000000,[]
