CF1,f11,MAE1,MAE2,pred,date,countries
"[[51  0]
 [36  0]]",0.3695652186870575,95.86111450195312,105.0,"[18.71875762939453, 22.03390121459961, 18.71875762939453, 16.528079986572266, 19.903602600097656, 20.206069946289062, 23.563308715820312, 17.899534225463867, 20.206069946289062, 25.361459732055664, 24.783723831176758, 26.663808822631836, 25.60980987548828, 20.716276168823242, 18.71875762939453, 21.627836227416992, 18.71875762939453, 17.101776123046875, 25.376014709472656, 16.544292449951172, 23.83077621459961, 18.71875762939453, 22.63484001159668, 20.206069946289062, 20.206069946289062, 17.899534225463867, 19.100234985351562, 20.206069946289062, 19.32594871520996, 20.405160903930664, 17.793025970458984, 18.623451232910156, 21.459932327270508, 20.206069946289062, 19.325950622558594, 18.072927474975586]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [33  3]]",0.45470085740089417,69.61111450195312,77.0,"[17.55803108215332, 21.818710327148438, 17.461135864257812, 15.550504684448242, 19.778234481811523, 20.067947387695312, 23.28363037109375, 17.858667373657227, 11.279801368713379, 25.005962371826172, 24.452587127685547, 26.253398895263672, 24.333518981933594, 19.887313842773438, 18.643348693847656, 21.429763793945312, 18.643348693847656, 17.094547271728516, 25.019901275634766, 16.560569763183594, 23.53982162475586, 18.643348693847656, 21.429039001464844, 20.067949295043945, 11.279801368713379, 17.440256118774414, 19.00874137878418, 18.27117919921875, 19.224937438964844, 20.258644104003906, 17.756649017333984, 18.459081649780273, 21.26894187927246, 20.067949295043945, 19.224937438964844, 17.97874641418457]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[36 15]
 [ 7 29]]",0.7454787492752075,64.5999984741211,70.0,"[23.22848129272461, 24.562450408935547, 21.10356330871582, 21.866249084472656, 20.028541564941406, 21.468990325927734, 20.46135711669922, 20.63933563232422, 26.2394962310791, 29.97087860107422, 25.339082717895508, 28.205114364624023, 33.406429290771484, 23.871902465820312, 20.510028839111328, 23.442827224731445, 24.34074592590332, 17.266498565673828, 24.19151496887207, 17.04865264892578, 27.680347442626953, 20.780838012695312, 25.108325958251953, 26.2394962310791, 26.2394962310791, 20.71709442138672, 21.81542205810547, 26.2394962310791, 20.53814697265625, 22.334138870239258, 18.52163314819336, 20.053600311279297, 25.34197998046875, 20.317031860351562, 19.995389938354492]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[50  1]
 [27  9]]",0.586277186870575,48.17647171020508,49.0,"[27.723358154296875, 35.247032165527344, 27.392398834228516, 24.11526107788086, 32.01911163330078, 32.48853302001953, 37.69890213012695, 28.74854278564453, 6.173870086669922, 40.48958969116211, 39.5711555480957, 42.49409866333008, 31.96234893798828, 30.180255889892578, 34.56016159057617, 30.180255889892578, 27.670738220214844, 40.51218032836914, 26.80553436279297, 38.11400604248047, 30.180255889892578, 33.98165512084961, 32.4885368347168, 6.173870086669922, 28.17019271850586, 30.607059478759766, 28.655658721923828, 31.122608184814453, 32.797523498535156, 28.692333221435547, 29.86821746826172, 34.43450164794922, 31.122608184814453, 29.014694213867188]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[35 16]
 [ 7 29]]",0.7343688011169434,50.235294342041016,56.0,"[29.137014389038086, 26.251211166381836, 23.627208709716797, 28.832927703857422, 16.92733383178711, 20.72429847717285, 9.662253379821777, 24.076597213745117, 33.773685455322266, 33.6888542175293, 21.955810546875, 26.23222541809082, 27.460359573364258, 21.960031509399414, 23.775175094604492, 31.628768920898438, 15.084905624389648, 16.46532440185547, 15.688549995422363, 30.572050094604492, 22.607938766479492, 26.742483139038086, 33.773685455322266, 33.773685455322266, 24.3260555267334, 24.918039321899414, 33.773685455322266, 20.264596939086914, 23.2838077545166, 17.511152267456055, 20.21916389465332, 30.20431137084961, 19.735584259033203, 21.239944458007812]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[49  2]
 [27  9]]",0.5773161053657532,40.97058868408203,35.0,"[21.668048858642578, 32.797149658203125, 20.254568099975586, 20.93402099609375, 30.02968978881836, 30.340667724609375, 33.792381286621094, 29.151081085205078, 1.7602459192276, 35.641136169433594, 35.20797348022461, 37.103431701660156, 27.716991424560547, 28.811500549316406, 32.797325134277344, 28.811500549316406, 27.149017333984375, 35.656097412109375, 26.575847625732422, 34.067378997802734, 28.811500549316406, 25.851078033447266, 30.340667724609375, 1.7602459192276, 26.521671295166016, 30.422189712524414, 17.891578674316406, 29.435781478881836, 30.54536247253418, 28.237529754638672, 28.395797729492188, 31.62981414794922, 29.435781478881836, 28.127424240112305]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[36 15]
 [ 7 29]]",0.7454787492752075,47.51515197753906,49.0,"[24.030893325805664, 11.638394355773926, 12.077353477478027, 27.659942626953125, 5.297913551330566, 7.347971439361572, 0.1282787322998047, 15.401510238647461, 29.759197235107422, 15.802865028381348, 5.559447765350342, 7.302839279174805, 16.040586471557617, 9.569942474365234, 9.284130096435547, 28.84775733947754, 5.6486287117004395, 2.9703521728515625, 6.249499797821045, 13.603243827819824, 10.65910530090332, 11.111671447753906, 29.759197235107422, 29.759197235107422, 16.076763153076172, 13.957633018493652, 29.759197235107422, 7.739114761352539, 9.694906234741211, 6.690299034118652, 8.68345832824707, 7.11939001083374, 10.567580223083496]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[46  5]
 [27  9]]",0.5509677529335022,30.969696044921875,35.0,"[23.241268157958984, 31.344280242919922, 19.522075653076172, 22.683948516845703, 29.139846801757812, 29.183834075927734, 29.590106964111328, 32.73151397705078, -12.318269729614258, 29.797481536865234, 30.26877212524414, 30.36007308959961, 32.474308013916016, 28.967540740966797, 32.65937423706055, 28.967540740966797, 28.73238754272461, 29.79916000366211, 28.65131378173828, 29.620952606201172, 28.967540740966797, 21.71869659423828, 29.183837890625, -12.318269729614258, 33.311397552490234, 33.02643966674805, 10.80798625946045, 29.055843353271484, 29.212787628173828, 30.07424545288086, 29.935832977294922, 29.055843353271484, 29.628841400146484]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[36 15]
 [ 6 30]]",0.7574671506881714,40.13333511352539,42.0,"[12.28744125366211, 5.473694324493408, 6.7154741287231445, 39.299686431884766, 0.6068568229675293, 3.2614498138427734, 7.845157623291016, 31.441661834716797, 4.831630706787109, -1.0180482864379883, 0.4169278144836426, 7.434525489807129, 5.180927276611328, 31.52950668334961, 2.2190184593200684, -4.314361572265625, 3.350322961807251, 4.7678022384643555, 5.954165935516357, 4.844439506530762, 31.441661834716797, 31.441661834716797, 7.934695243835449, 7.297512054443359, 31.441661834716797, 3.5721933841705322, 4.731928825378418, 3.2054431438446045, 4.510422229766846, 5.895530700683594]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[47  4]
 [25 11]]",0.597800076007843,24.03333282470703,21.0,"[35.720855712890625, 31.645551681518555, 30.702075958251953, 26.339719772338867, 30.68911361694336, 30.465133666992188, 37.3614501953125, -11.621919631958008, 26.647539138793945, 27.781394958496094, 26.22443199157715, 43.280853271484375, 31.566497802734375, 31.566497802734375, 32.763877868652344, 26.636760711669922, 33.176700592041016, 27.78101921081543, 31.566497802734375, 27.960817337036133, 30.465133666992188, -11.621919631958008, 43.92259216308594, 36.63307189941406, 11.816007614135742, 31.11686897277832, 30.317705154418945, 33.910579681396484, 34.2498664855957, 33.84843063354492]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
